Taxa	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__hymenobacteraceae|g__rufibacter|s__rufibacter_radiotolerans	0.000949078452933983	0.000602858659305039	0	0	0.00150549205892767	0	0	0.000665587851878017	0.00032170976456402	0.000397216523268493	0.000682612161710821	0.0018205699836037	0.000155497626778852	0.00138972740081776	0.000437114095035404	0	0.00323090935397262	0	0.00109084845112481	0.00482167958642409	0.00167337485459767	0.00105684229366668	0.0054809261604952	0	0.00262364918506541	0.000220086187952064	0.00107498282243944	7.77416365547394e-05	0.000473370367888885	0.000734476514825408	0.000599822087552988	0.000748644314703776	0.000805066962652219	0.000498458151652667	0.000513365768363747	0.000728244641227639	0.00209298985119349	0.00288578006558821	0.00151379685376832	0	0.00153847117110751	0.000819487559860152	0.000579322418705857	0.000683884388722373	0.000968234914505983	0.00190161819785228	0	0	0.00234266993155031	0	0.000180805652860188	0	0.000873552693045092	0	0	0	0	0.000229050900524027	0	0.000112067711575022	0.00020332540146419	0.000741731061032659
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__hymenobacteraceae|g__rufibacter|s__rufibacter_sp._dg15c	0.00109509052261613	0.000578744312932837	0.000422184242196669	0	0.00148956092602896	0	0	0.000506221746498774	0.000263217080097835	0	0.000950781225240072	0.000826516434274073	0.000310995253557704	0.00136204358805246	0.000469492916889878	0	0.00245848115366554	0	0.000766834059701596	0.0050682427470935	0.00198573816078924	0.00128551577241328	0.00488347923304785	0	0.00357593666705212	0.000209081878554461	0.000853336879668418	0	0.000154755697194443	0.000331234506685968	0.000625901308750944	0.000748644314703776	0.00136056316688225	0.000527779219396942	0.000523051914936648	0.000686027560576761	0.00692036966926878	0.00318954638828171	0.000936369187897928	0.000177404030021991	0.00169947396808388	0.00213066765563639	0.00156417053050582	0.000657239542408515	0.00261198256006265	0.0021305166846308	0	0.000361690770806157	0.00336303283507	0	0.000133225217896981	0	0.000783424240588059	0	0	0	0	0	0.000987369351835904	0	0.000188802158502462	0.000401140267701336
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__hymenobacteraceae|g__rufibacter|s__rufibacter_tibetensis	0.000843625291496874	0.000442096350157029	0.000447018609384709	0.000648709048720888	0.00106738590421327	0	0	0.000206238489314315	0.000594675625406219	0.000288884744195267	0.00104829724834162	0.000904700421299999	0.00018823396925861	0.000802830570193525	0.000283314691226651	0.000405056025034777	0.00305649008293553	0	0.00220329786167782	0.00191771347187322	0.00152834903386587	0.00043880586462184	0.00273613375468639	0	0.0026625180618812	0.000231090497349667	0.000587361748343197	0	0.00038233760483333	0	0.000408574465434644	0.000812552975715074	0.00040253348132611	0.000527779219396942	0.000319642836905729	0.000949884314644746	0.00293693737183602	0.00172134249526314	0.00116265840830659	0	0.00198570116270853	0.00182108346635589	0.00112967871647642	0.000648357926970562	0.00213912364832717	0.00168152349902679	0	0	0.00216566820338873	0	0.000133225217896981	0	0.000575435504148751	0	0	0	0	0.000249873709662575	0	0.000102179384083109	0.000116185943693823	0.00037086553051633
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__mangrovivirgaceae	0.000819289946549848	0.000916345162143659	0.000894037218769417	0.00129741809744178	0.0010275580719665	0	0	0.000731209189387117	0.000701912213594226	0.00102915190119564	0.000755749179036981	0.00158601802252592	0.00150587175406888	0.000603507118283409	0.000752807608116529	0	0.00216778236860373	0	0.000399617749421958	0.00117802398986498	0.000290051641463596	0.000537691693269015	0.00047622581173339	0	0.000962004701190651	0.000297116353735286	0.000232728239909568	0	0.000345924499611108	0.000187219503779026	0.000669366677414203	0.00031954330505649	0.000394482811699587	0.000820989896839687	0.000145292198593513	0.00138260939131624	0.00276814786770751	0.00245544444177243	0.000483790747080596	0.000112044650540205	0.0020572579613647	0.00179376721436055	0.000782085265252908	0.000595068234342844	0.00031523927449032	0.00109166970617446	0	0	0.00116612903259393	0	0.000114193043911698	0.000369586523397011	0.000325849020421582	0.000431925195492429	0.00039410617793679	0	0	0.000208228091385479	0	0.000217543204822102	0.000479267017737019	0.00191487712695166
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__mangrovivirgaceae|g__mangrovivirga	0.000819289946549848	0.000916345162143659	0.000894037218769417	0.00129741809744178	0.0010275580719665	0	0	0.000731209189387117	0.000701912213594226	0.00102915190119564	0.000755749179036981	0.00158601802252592	0.00150587175406888	0.000603507118283409	0.000752807608116529	0	0.00216778236860373	0	0.000399617749421958	0.00117802398986498	0.000290051641463596	0.000537691693269015	0.00047622581173339	0	0.000962004701190651	0.000297116353735286	0.000232728239909568	0	0.000345924499611108	0.000187219503779026	0.000669366677414203	0.00031954330505649	0.000394482811699587	0.000820989896839687	0.000145292198593513	0.00138260939131624	0.00276814786770751	0.00245544444177243	0.000483790747080596	0.000112044650540205	0.0020572579613647	0.00179376721436055	0.000782085265252908	0.000595068234342844	0.00031523927449032	0.00109166970617446	0	0	0.00116612903259393	0	0.000114193043911698	0.000369586523397011	0.000325849020421582	0.000431925195492429	0.00039410617793679	0	0	0.000208228091385479	0	0.000217543204822102	0.000479267017737019	0.00191487712695166
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__mangrovivirgaceae|g__mangrovivirga|s__mangrovivirga_cuniculi	0.000819289946549848	0.000916345162143659	0.000894037218769417	0.00129741809744178	0.0010275580719665	0	0	0.000731209189387117	0.000701912213594226	0.00102915190119564	0.000755749179036981	0.00158601802252592	0.00150587175406888	0.000603507118283409	0.000752807608116529	0	0.00216778236860373	0	0.000399617749421958	0.00117802398986498	0.000290051641463596	0.000537691693269015	0.00047622581173339	0	0.000962004701190651	0.000297116353735286	0.000232728239909568	0	0.000345924499611108	0.000187219503779026	0.000669366677414203	0.00031954330505649	0.000394482811699587	0.000820989896839687	0.000145292198593513	0.00138260939131624	0.00276814786770751	0.00245544444177243	0.000483790747080596	0.000112044650540205	0.0020572579613647	0.00179376721436055	0.000782085265252908	0.000595068234342844	0.00031523927449032	0.00109166970617446	0	0	0.00116612903259393	0	0.000114193043911698	0.000369586523397011	0.000325849020421582	0.000431925195492429	0.00039410617793679	0	0	0.000208228091385479	0	0.000217543204822102	0.000479267017737019	0.00191487712695166
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__marivirgaceae	0.00207661610214615	0.000514439389273633	0.00079469975001726	0.000851430626446165	0.00148956092602896	0	0	0.000599966514368917	0.00117960247006807	0.00135414723841532	0.00136522432342164	0.00275877782791481	0.000147313541158912	0.00142294797613611	0.000922796422852519	0.000607584037552165	0.00705982763721523	0	0	0.00363452362764543	0.000669349941839068	0.000321378943103319	0.0015412398997917	0	0.00256534586984174	0.000253099116144874	0.00229403550768003	0	0.000245788460249998	0	0.00362501174651588	0.000830812593146873	0.000941928346303096	0.000733026693606864	0.000513365768363747	0.000664919020251322	0.000371336909082715	0.000582218785162534	0.000608639972133653	0.000130718758963572	0.00239715275498147	0.00175734554503344	0.000695186902447029	0.00110132031430616	0.00110333746071612	0.0028876424485905	0	0.000751203908597404	0.00553911290482117	0.000100759376919515	0	0.00198232771640215	0.00105380959795916	0	0.00021496700614734	0	0	0	0	0.000141732694050764	0.00171374266948389	0.00569165059078122
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__marivirgaceae|g__marivirga	0.00207661610214615	0.000514439389273633	0.00079469975001726	0.000851430626446165	0.00148956092602896	0	0	0.000599966514368917	0.00117960247006807	0.00135414723841532	0.00136522432342164	0.00275877782791481	0.000147313541158912	0.00142294797613611	0.000922796422852519	0.000607584037552165	0.00705982763721523	0	0	0.00363452362764543	0.000669349941839068	0.000321378943103319	0.0015412398997917	0	0.00256534586984174	0.000253099116144874	0.00229403550768003	0	0.000245788460249998	0	0.00362501174651588	0.000830812593146873	0.000941928346303096	0.000733026693606864	0.000513365768363747	0.000664919020251322	0.000371336909082715	0.000582218785162534	0.000608639972133653	0.000130718758963572	0.00239715275498147	0.00175734554503344	0.000695186902447029	0.00110132031430616	0.00110333746071612	0.0028876424485905	0	0.000751203908597404	0.00553911290482117	0.000100759376919515	0	0.00198232771640215	0.00105380959795916	0	0.00021496700614734	0	0	0	0	0.000141732694050764	0.00171374266948389	0.00569165059078122
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__marivirgaceae|g__marivirga|s__marivirga_tractuosa	0.00207661610214615	0.000514439389273633	0.00079469975001726	0.000851430626446165	0.00148956092602896	0	0	0.000599966514368917	0.00117960247006807	0.00135414723841532	0.00136522432342164	0.00275877782791481	0.000147313541158912	0.00142294797613611	0.000922796422852519	0.000607584037552165	0.00705982763721523	0	0	0.00363452362764543	0.000669349941839068	0.000321378943103319	0.0015412398997917	0	0.00256534586984174	0.000253099116144874	0.00229403550768003	0	0.000245788460249998	0	0.00362501174651588	0.000830812593146873	0.000941928346303096	0.000733026693606864	0.000513365768363747	0.000664919020251322	0.000371336909082715	0.000582218785162534	0.000608639972133653	0.000130718758963572	0.00239715275498147	0.00175734554503344	0.000695186902447029	0.00110132031430616	0.00110333746071612	0.0028876424485905	0	0.000751203908597404	0.00553911290482117	0.000100759376919515	0	0.00198232771640215	0.00105380959795916	0	0.00021496700614734	0	0	0	0	0.000141732694050764	0.00171374266948389	0.00569165059078122
k__bacteria|p__bacteroidetes|c__cytophagia|o__cytophagales|f__spirosomaceae	0.00978280866870413	0.00577136689841357	0.00367548634382983	0.00510858375867699	0.0126732162209202	0.00510602142895073	0.00330651383224953	0.00489347688282148	0.00507911476781378	0.00519992539551481	0.0102391824256623	0.0168318954925815	0.00409204280996979	0.0153202219843137	0.00971364655634231	0.00425308826286516	0.037558283029985	0	0.0104224629241132	0.0204282144599066	0.0102075866130458	0.00670569525513656	0.0248849633258502	0	0.0192109423662012	0.00258601270843675	0.00504244519804065	0.000995092947900665	0.00379606621941663	0.00450766959098731	0.00707616201837872	0.0094950010645357	0.00862226717000527	0.00797533042644268	0.00401975082775387	0.0103537390296277	0.0219510750119123	0.0172893665333048	0.0125239378881348	0.00174602913758486	0.035035997542024	0.0212338332177097	0.0122816352765642	0.0166441473307237	0.0172255746417925	0.0165335137757712	0.000130411521162367	0.00180845385403079	0.02017819701042	0.00202293825969179	0.00220773218229283	0.0079293108656086	0.00591381307275765	0.00141918278518941	0.00041799140084205	0.00045814080033179	0	0.00154088787625254	0.000573855691665311	0.000797658417681042	0.00527919881658807	0.0129273127779978
