feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2293035	participant	H4016	0.19999999999999	0.963256830047912	96	58	0.836188416355421	0.955672924420055
X328814	participant	M2042	-0.108347882552426	0.522967462626126	96	44	0.836538263757726	0.955672924420055
X454154	participant	H4022	-0.207185930681771	0.991189437196392	96	28	0.835101113120421	0.955672924420055
X454154	participant	M2041	-0.207185930681773	0.99118943719639	96	28	0.835101113120419	0.955672924420055
X745368	participant	M2047	0.182549929021638	0.913966889201038	96	82	0.842332205529058	0.961257423314362
X745368	participant	M2041	-0.242307057898266	1.23751701807248	96	82	0.845396115358709	0.964001961628831
X2293015	participant	H4022	0.291288264920491	1.51989564390844	96	82	0.84863260045583	0.966938858619065
X2293047	participant	H4018	0.162716390336151	0.865290596232133	96	63	0.85144321594654	0.969386322902559
X2293011	participant	H4045	0.138849906112319	0.756278922822964	96	94	0.85491990800408	0.972587733600287
X1898205	participant	M2075	-0.306663216619941	1.72925669083841	96	44	0.8598117046007	0.977392792409342
X28117	participant	M2075	-0.149595090470059	0.849962496419827	96	92	0.860856901669398	0.97782115461361
X301301	participant	H4016	-0.164637028423835	0.948531387341774	96	85	0.862759551160584	0.979222050696613
X1965537	participant	P6018	-0.105053800176204	0.611580506408414	96	48	0.864165569880802	0.979298395612404
X45851	participant	H4023	-0.123539218443294	0.717792253560751	96	54	0.863902746197326	0.979298395612404
X328813	participant	H4008	-0.136128490467941	0.797689380038434	96	69	0.865043113273744	0.979534113559974
X1519439	participant	M2047	-0.145869612494518	0.865138893728311	96	91	0.866644899002551	0.980588930580613
X2086273	participant	M2041	-0.22836836087162	1.36156337975741	96	84	0.867336800817903	0.980613399997366
X165179	participant	H4008	-0.150361874794318	0.930940739401139	96	81	0.8722038359486	0.985002617553388
X39485	participant	H4016	0.152530438507114	0.947071293308372	96	72	0.8725655450097	0.985002617553388
X301301	participant	M2060	0.17903202345734	1.13999285114925	96	85	0.875710333265975	0.987029443426905
X818	participant	M2061	-0.0480313099045149	0.305587637418221	96	47	0.875608105446255	0.987029443426905
X39491	participant	H4045	-0.103440849646492	0.66333788584126	96	96	0.876578992306284	0.987247933598224
X39492	participant	M2042	0.0867278464575034	0.561648335846503	96	60	0.87777486134401	0.987834324727913
X853	participant	M2061	-0.0879580705561878	0.579981841177294	96	96	0.879942400071759	0.989512476022277
X301301	participant	H4008	0.168111076958811	1.13999285114925	96	85	0.883234533707698	0.992451707230693
X239935	participant	M2060	0.173618189944812	1.19679894926946	96	31	0.885119673152904	0.993806662949116
X1160721	participant	H4009	-4.23340130960252e-15	1.15606819423925	96	63	0.999999999999997	1
X1160721	participant	H4018	7.82859384834517e-15	1.15606819423925	96	63	0.999999999999995	1
X1160721	participant	M2041	6.96294674822561e-15	1.56532373472963	96	63	0.999999999999996	1
X1160721	participant	P6018	6.05805901744034e-15	0.982469046911647	96	63	0.999999999999995	1
X1519439	participant	H4016	0.0817648414710062	0.611745578423518	96	91	0.894098868548499	1
X165179	participant	H4022	0.129728496708384	1.48322600044457	96	81	0.93058032076606	1
X165179	participant	M2039	0.0863049009277485	0.836652300398428	96	81	0.918167588230879	1
X165179	participant	M2041	0.16233906160039	1.48322600044457	96	81	0.913193478234678	1
X165179	participant	M2075	0.0560317515076236	1.09543499912421	96	81	0.959367646147735	1
X166486	participant	H4022	-0.182348319466195	1.35811813815636	96	95	0.893620700805824	1
X166486	participant	M2041	-0.131170452164427	1.35811813815635	96	95	0.923364541646422	1
X1796635	participant	H4022	-0.133444113422243	1.25101359181337	96	18	0.915390687033416	1
X204516	participant	M2060	0.0324762095915551	0.596909814232773	96	87	0.956782887940941	1
X2086584	participant	H4008	1.53887615878392e-14	0.335151251022389	96	12	0.999999999999964	1
X2086584	participant	H4009	-3.50326264374908e-16	0.394371408223429	96	12	0.999999999999999	1
X2086584	participant	H4016	-3.3769702835533e-17	0.278862697060875	96	12	1	1
X2086584	participant	H4018	1.66412678938526e-15	0.394371408223429	96	12	0.999999999999997	1
X2086584	participant	H4022	-1.06174016061565e-16	0.533981411016252	96	12	1	1
X2086584	participant	H4023	1.55693037510804e-16	0.262914272148954	96	12	1	1
X2086584	participant	H4045	-3.62023461684116e-16	0.335151251022388	96	12	0.999999999999999	1
X2086584	participant	M2039	-1.08857254460723e-15	0.301206138351699	96	12	0.999999999999997	1
X2086584	participant	M2041	-1.39468041540884e-15	0.53398141101625	96	12	0.999999999999998	1
X2086584	participant	M2047	-6.86618285521144e-16	0.394371408223429	96	12	0.999999999999999	1
X2086584	participant	M2072	-3.96168167620774e-17	0.250902643308696	96	12	1	1
X2086584	participant	M2075	2.88936534540845e-16	0.394371408223429	96	12	1	1
X2086584	participant	P6014	2.56738983464399e-16	0.335151251022389	96	12	0.999999999999999	1
X2086584	participant	P6018	2.63582315371329e-16	0.335151251022389	96	12	0.999999999999999	1
X2137880	participant	H4008	-1.83076705143532e-14	0.632137344747959	96	14	0.999999999999977	1
X2137880	participant	H4009	-2.68497553346844e-15	0.743833997570902	96	14	0.999999999999997	1
X2137880	participant	H4013	-3.55590865853431e-15	0.568112599725042	96	14	0.999999999999995	1
X2137880	participant	H4016	-4.3101549930609e-15	0.525970063759483	96	14	0.999999999999994	1
X2137880	participant	H4018	-2.09284541652006e-15	0.743833997570902	96	14	0.999999999999998	1
X2137880	participant	H4022	-2.08210310994942e-15	1.00715599382332	96	14	0.999999999999998	1
X2137880	participant	H4023	-1.98730684787034e-15	0.495889331713936	96	14	0.999999999999997	1
X2137880	participant	H4045	-8.67451002153362e-16	0.632137344747958	96	14	0.999999999999999	1
X2137880	participant	M2039	-2.44426993996421e-15	0.568112599725042	96	14	0.999999999999997	1
X2137880	participant	M2041	1.7218045910599e-15	1.00715599382331	96	14	0.999999999999999	1
X2137880	participant	M2061	-5.92476362409165e-16	0.525970063759483	96	14	0.999999999999999	1
X2137880	participant	M2072	-7.9404931228241e-16	0.473233891407461	96	14	0.999999999999999	1
X2137880	participant	M2075	-7.42856948192177e-16	0.743833997570902	96	14	0.999999999999999	1
X2137880	participant	M2084	-1.01940022779373e-15	0.441220766588099	96	14	0.999999999999998	1
X2137880	participant	P6018	-6.13240011088618e-16	0.632137344747959	96	14	0.999999999999999	1
X2293011	participant	H4018	0.052857177387508	0.889910996583054	96	94	0.952824686661275	1
