clade_name	reERR5004402_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004807_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_amylolytica	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_amylolytica|t__Unclassified_Haloarcula_amylolytica	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_hispanica	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_hispanica|t__Unclassified_Haloarcula_hispanica	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_japonica	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_japonica|t__Unclassified_Haloarcula_japonica	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_marismortui	0	0	0	0	0	0	0	0	0	0.0338384028273865	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_marismortui|t__Unclassified_Haloarcula_marismortui	0	0	0	0	0	0	0	0	0	0.0338384028273865	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_salaria	0	0	0	0	0	0	0	0	0	0.026318757754634	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_salaria|t__Unclassified_Haloarcula_salaria	0	0	0	0	0	0	0	0	0	0.026318757754634	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sinaiiensis	0	0	0	0	0	0	0	0	0	0.0300785802910103	0	0	0	0	0	0	0.139275766016713	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sinaiiensis|t__Unclassified_Haloarcula_sinaiiensis	0	0	0	0	0	0	0	0	0	0.0300785802910103	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._E200-6	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._E200-6|t__Unclassified_Haloarcula_sp._E200-6	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._G17	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._G17|t__Unclassified_Haloarcula_sp._G17	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._G9	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._G9|t__Unclassified_Haloarcula_sp._G9	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._MGG3	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._MGG3|t__Unclassified_Haloarcula_sp._MGG3	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._SS5-2	0	0	0	0	0	0	0	0	0	0.0150392901455051	0.209205020920502	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_sp._SS5-2|t__Unclassified_Haloarcula_sp._SS5-2	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_vallismortis	0	0	0	0	0	0	0	0	0	0.0225589352182577	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula_vallismortis|t__Unclassified_Haloarcula_vallismortis	0	0	0	0	0	0	0	0	0	0.0225589352182577	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Halobacterium_sp._NCIMB_714	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Halobacterium_sp._NCIMB_714|t__Unclassified_Halobacterium_sp._NCIMB_714	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Halobacterium_sp._NCIMB_720	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Halobacterium_sp._NCIMB_720|t__Unclassified_Halobacterium_sp._NCIMB_720	0	0	0	0	0	0	0	0	0	0.00751964507275257	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Unclassified_Haloarcula	0	0	0	0	0	0	0	0	0	5.42918374252735	0.627615062761506	0	1.51975683890578	2.31111111111111	7.40740740740741	4.59183673469388	3.27298050139276	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Unclassified_Haloarcula|t__	0	0	0	0	0	0	0	0	0	5.42918374252735	0	0	0	2.31111111111111	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__archaeon_BC8	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0.0888888888888889	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__archaeon_BC8|t__Unclassified_archaeon_BC8	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0.0888888888888889	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__archaeon_RC19	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0.529100529100529	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__archaeon_RC19|t__Unclassified_archaeon_RC19	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	0	0	0	0	0	0	0	0	0	0.560213557920066	0.418410041841004	0	1.21580547112462	1.06666666666667	0	0.38265306122449	0.626740947075209	0	0	0
