clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarchaeobius|s__Haloarchaeobius_iranensis|t__SGB290	2157|28890|183963|2235|2236|1269031|996166|SGB290	0	0	0	0	0	0	0.012067214080797731	0	0	0	0.013429293817840094	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacteriaceae_unclassified	2157|28890|183963|2235|2236|93814534	0	0	0	0	0	0	0	0	0	0	0.002552326973141738	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacteriaceae_unclassified|s__Halobacteriaceae_archaeon_SHR40	2157|28890|183963|2235|2236|93814534|2500550	0	0	0	0	0	0	0	0	0	0	0.002552326973141738	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacteriaceae_unclassified|s__Halobacteriaceae_archaeon_SHR40|t__SGB33542	2157|28890|183963|2235|2236|93814534|2500550|SGB33542	0	0	0	0	0	0	0	0	0	0	0.002552326973141738	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	2157|28890|183963|2235|2236|2239	0	0	0	0	0	0	0	0	0	0	0.0008844205945829881	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_jilantaiense	2157|28890|183963|2235|2236|2239|355548	0	0	0	0	0	0	0	0	0	0	0.0008844205945829881	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_jilantaiense|t__SGB259	2157|28890|183963|2235|2236|2239|355548|SGB259	0	0	0	0	0	0	0	0	0	0	0.0008844205945829881	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Salinirussus	2157|28890|183963|2235|2236|2036001	0	0	0	0	0.5499306450278127	0.12725242499434972	0.11831911702204223	0	0	0	0.5076863779985962	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Salinirussus|s__Salinirussus_salinus	2157|28890|183963|2235|2236|2036001|1198300	0	0	0	0	0.5499306450278127	0.12725242499434972	0.11831911702204223	0	0	0	0.5076863779985962	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Salinirussus|s__Salinirussus_salinus|t__SGB86059	2157|28890|183963|2235|2236|2036001|1198300|SGB86059	0	0	0	0	0.5499306450278127	0.12725242499434972	0.11831911702204223	0	0	0	0.5076863779985962	0	0	0	0	0	0	0	0	0
