clade_name	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244845991871113	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0.175956725837038	0.0328819038064984	0.0193480426230213	0.0256639843050478	0.69086584744323	0.842675535053371	0.287191269385411	2.89979573525762	1.21541501976285	1.87988073264234	3.44248132078875	4.67031668132346	0.0960453495244748	0.00233593010897114	2.7802748170027	0	0.0183415047088286	3.9856198127025	0.642858873997237	0.395422149122807	3.85324192546257	3.94190285116844	0.190420230245261	1.73740482747449	0.00269303688383316	0.918291962174941	0.525750037898102	0.0822126239324629	0.00501835882938416	2.90175837634503	3.39014937728111	3.95746722097857	3.33969932912198	0.0233046758647309	0.204181142195404	0.00351000351000351	0.244095834823303	0.000643968909181065	2.2161964535982	0.322168824484831	2.31854512506876
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.00177664072771204	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.00177664072771204	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.00177664072771204	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.000888320363856021	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.000888320363856021	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus|t__	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.000888320363856021	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Unclassified_Archaeoglobus|t__	0	0	0	0	0.00212356305566567	0.00590033792844499	0	0.0019090162839089	0.00380054727880815	0.000946566330635619	0	0.0113471958242319	0.000671645800870453	0	0.000917279715276376	0	0	0	0.00121179806597029	0.00137061403508772	0.0010530860687244	0.00188382454058229	0.00108811560140149	0.00485987364328527	0	0	0	0	0	0.00174962820400665	0.00150506076682846	0.000888320363856021	0	0	0	0.000702000702000702	0.000777375270137906	0	0.00304673694473219	0.000668400050798404	0
