meta-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
ext_mOTU_v3_16470	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16471	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
ext_mOTU_v3_16472	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	NA Firmicutes species incertae sedis
ext_mOTU_v3_16473	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16474	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16475	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16476	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16477	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16478	2 Bacteria	508458 Synergistetes	649775 Synergistia	649776 Synergistales	649777 Synergistaceae	NA Synergistaceae gen. incertae sedis	NA Synergistaceae species incertae sedis
ext_mOTU_v3_16479	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16480	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16481	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16482	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	NA Lachnospiraceae gen. incertae sedis	NA Lachnospiraceae species incertae sedis
ext_mOTU_v3_16483	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	NA Methanobrevibacter species incertae sedis
ext_mOTU_v3_16484	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	NA Methanobrevibacter species incertae sedis
ext_mOTU_v3_16485	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843491 Selenomonadaceae	NA Selenomonadaceae gen. incertae sedis	NA Selenomonadaceae species incertae sedis
ext_mOTU_v3_16486	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16487	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16488	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	NA Bacteroidales fam. incertae sedis	NA Bacteroidales gen. incertae sedis	NA Bacteroidales species incertae sedis
ext_mOTU_v3_16489	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16490	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	NA Ruminococcaceae gen. incertae sedis	NA Ruminococcaceae species incertae sedis
ext_mOTU_v3_16491	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	NA Alphaproteobacteria species incertae sedis
ext_mOTU_v3_16492	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16493	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16494	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16495	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16496	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16497	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16498	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16499	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16500	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16501	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16502	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16503	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16504	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16505	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16506	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16507	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	NA Methanobrevibacter species incertae sedis
ext_mOTU_v3_16508	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	NA Clostridiales fam. incertae sedis	NA Clostridiales gen. incertae sedis	NA Clostridiales species incertae sedis
ext_mOTU_v3_16509	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	NA Methanobacteriaceae gen. incertae sedis	NA Methanobacteriaceae species incertae sedis
ext_mOTU_v3_16510	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16511	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
ext_mOTU_v3_16512	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	NA Prevotella species incertae sedis
