Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Bacteria|p__Bacteroidota	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.44705794115523	0.347394294003107	0.230588695046897	0.0389365237710056	0.976001366002054	2.25924149186799	1.57289471526373	2.23201647224722	0.133561811684349	0.000212402497601635	0.050145524350112
k__Bacteria|p__Bacteroidota|c__Rhodothermia	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.44705794115523	0.347394294003107	0.230588695046897	0.0389365237710056	0.976001366002054	2.25924149186799	1.57289471526373	2.23201647224722	0.133561811684349	0.000212402497601635	0.050145524350112
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales|f__Balneolaceae	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales|f__Balneolaceae|g__Fodinibius	0	0	0	0	0	0	0	0	0	0.0826796496923676	0.120003916073545	0.000125844775975304	0.0107020281085719	0.00182327024836928	0.000454325498200677	0.0889569484001581	1.24110913632016	0.00451238635829729	6.55932287828067e-05	0.000593026791893906
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Rhodothermales	1.73361189329202e-05	6.83361127549655e-06	2.95333203092721e-05	2.07517610477608e-05	1.08943112520135e-05	0	0	0	4.28766509434672e-06	1.36437829146286	0.227390377929562	0.230462850270922	0.0282344956624337	0.974178095753685	2.25878716636979	1.48393776686358	0.990907335927059	0.129049425326052	0.000146809268818828	0.049552497558218
k__Bacteria|p__Myxococcota	0	0	0	0	0	0	0	0	0	0.519217945196736	0.716803474358381	0	0.0331583972578907	0.0566907491657315	0.145386297952487	0.479332203938133	0.0116314422622008	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia	0	0	0	0	0	0	0	0	0	0.519217945196736	0.716803474358381	0	0.0331583972578907	0.0566907491657315	0.145386297952487	0.479332203938133	0.0116314422622008	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia|o__Bradymonadales	0	0	0	0	0	0	0	0	0	0.519217945196736	0.716803474358381	0	0.0331583972578907	0.0566907491657315	0.145386297952487	0.479332203938133	0.0116314422622008	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia|o__Bradymonadales|f__Bradymonadaceae	0	0	0	0	0	0	0	0	0	0.519217945196736	0.716803474358381	0	0.0331583972578907	0.0566907491657315	0.145386297952487	0.479332203938133	0.0116314422622008	0	0	0
k__Bacteria|p__Planctomycetota	0	0	0	0	0	0	0	0	0	1.7124625061236	1.16486547412018	0	0.0165817940774648	3.0434537566868	5.43073633231467	2.41308339779949	0.0115624759023043	0	0	0
k__Bacteria|p__Planctomycetota|c__B129-G9	0	0	0	0	0	0	0	0	0	1.2257440789184	0.00116458143227261	0	0.015647959391868	2.61315802807602	5.09245909833488	1.96166533903823	0.000401545930670934	0	0	0
k__Bacteria|p__Planctomycetota|c__Phycisphaerae	0	0	0	0	0	0	0	0	0	0.486718427205203	1.16370089268791	0	0.000933834685596826	0.43029572861078	0.338277233979791	0.451418058761261	0.0111609299716334	0	0	0
k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__Phycisphaerales	0	0	0	0	0	0	0	0	0	0.486718427205203	1.16370089268791	0	0.000933834685596826	0.43029572861078	0.338277233979791	0.451418058761261	0.0111609299716334	0	0	0
k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae	0	0	0	0	0	0	0	0	0	0.486718427205203	1.16370089268791	0	0.000933834685596826	0.43029572861078	0.338277233979791	0.451418058761261	0.0111609299716334	0	0	0
UNKNOWN	99.9999826638811	99.9999931663887	99.9999704666797	99.9999792482389	99.9999891056887	100	100	100	99.9999957123349	85.5271495602052	96.7201795577456	99.7547191645623	99.7222536880737	95.0581974869458	89.8784980096361	85.8068499943429	91.5779619424567	99.8618923474581	99.9995726725163	99.9428866465879
