#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_salinus	2157|28890|183963|1644055|1644056|376170|1126245	0	0	0	0	0	0	0	0	0	0	0.02474715378116989	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina_pelagica	2157|28890|183963|1644055|1963271|1075397|699431	0	0	0	0	0	0	0	0	0	0	0.010673978478142462	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus|s__Halopenitus_persicus	2157|28890|183963|1644055|1963271|1209988|1048396	0	0	0	0	0	0	0	0	0	0	0.005926459243386645	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_halodurans	2157|28890|183963|1644055|1963271|56688|1383851	0	0	0	0	0	0	0	0	0	0	0.03627141266553712	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_kocurii	2157|28890|183963|1644055|1963271|56688|478441	0	0	0	0	0	0	0	0	0	0	0.004173447630553132	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_lipolyticum	2157|28890|183963|1644055|1963271|56688|368624	0	0	0	0	0	0	0	0	0	0	0.0010249560075035362	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_persicum	2157|28890|183963|1644055|1963271|56688|1383844	0	0	0	0	0	0	0	0	0	0	0.00694227245082325	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_sodomense	2157|28890|183963|1644055|1963271|56688|35743	0	0	0	0	0	0	0	0	0	0	0.02930171181451307	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_sp_48_1_W	2157|28890|183963|1644055|1963271|56688|2249761	0	0	0	0	0	0	0	0	0	0	0.0009840540072040991	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_sp_WN019	2157|28890|183963|1644055|1963271|56688|2032630	0	0	0	0	0	0	0	0	0	0	0.004850014835506171	0	0	0	0	0	0	0	0	0
