Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__GGB6665	0	0	0	0	0	0	0.901389188102812	0.587736279061862	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10417	0	1.361217463393	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10417|o__OFGB10417	0	1.361217463393	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10417|o__OFGB10417|f__FGB10417	0	1.361217463393	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10444	0	1.42916288763538	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10444|o__OFGB10444	0	1.42916288763538	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB10444|o__OFGB10444|f__FGB10444	0	1.42916288763538	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11780	1.24886321772448	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11780|o__OFGB11780	1.24886321772448	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB11780|o__OFGB11780|f__FGB11780	1.24886321772448	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897	0	0	0	0	0	0	0.561667375101303	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897|o__OFGB12897	0	0	0	0	0	0	0.561667375101303	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12897|o__OFGB12897|f__FGB12897	0	0	0	0	0	0	0.561667375101303	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13172	0.821098289205592	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13172|o__OFGB13172	0.821098289205592	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13172|o__OFGB13172|f__FGB13172	0.821098289205592	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14538	0	0	0	0	0	0	0.921390201341109	0.685695046455877	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14538|o__OFGB14538	0	0	0	0	0	0	0.921390201341109	0.685695046455877	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14538|o__OFGB14538|f__FGB14538	0	0	0	0	0	0	0.921390201341109	0.685695046455877	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB21857	0	0	0	0	0	0	0.425052435325039	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB21857|o__OFGB21857	0	0	0	0	0	0	0.425052435325039	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB21857|o__OFGB21857|f__FGB21857	0	0	0	0	0	0	0.425052435325039	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2229	1.31167967636854	0.985106126229294	0	0.897620515771089	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2229|o__OFGB2229	1.31167967636854	0.985106126229294	0	0.897620515771089	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2229|o__OFGB2229|f__FGB2229	1.31167967636854	0.985106126229294	0	0.897620515771089	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB25809	0	0.738380290314326	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB25809|o__OFGB25809	0	0.738380290314326	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB25809|o__OFGB25809|f__FGB25809	0	0.738380290314326	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3683	0	0	0	0	0	0	0	0	1.18854937808014	0	0.694025560350471
k__Bacteria|p__Proteobacteria|c__CFGB3683|o__OFGB3683	0	0	0	0	0	0	0	0	1.18854937808014	0	0.694025560350471
k__Bacteria|p__Proteobacteria|c__CFGB3683|o__OFGB3683|f__FGB3683	0	0	0	0	0	0	0	0	1.18854937808014	0	0.694025560350471
k__Bacteria|p__Proteobacteria|c__CFGB37505	0	0	0	0	0	0	0	0	0	0.596497640349729	0
k__Bacteria|p__Proteobacteria|c__CFGB37505|o__OFGB37505	0	0	0	0	0	0	0	0	0	0.596497640349729	0
k__Bacteria|p__Proteobacteria|c__CFGB37505|o__OFGB37505|f__FGB37505	0	0	0	0	0	0	0	0	0	0.596497640349729	0
k__Bacteria|p__Proteobacteria|c__CFGB3756	0	0	0	0	0	0	0	0	0.96435331092601	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3756|o__OFGB3756	0	0	0	0	0	0	0	0	0.96435331092601	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3756|o__OFGB3756|f__FGB3756	0	0	0	0	0	0	0	0	0.96435331092601	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38203	0	1.18822891175866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38203|o__OFGB38203	0	1.18822891175866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38203|o__OFGB38203|f__FGB38203	0	1.18822891175866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38666	1.43636101422291	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38666|o__OFGB38666	1.43636101422291	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38666|o__OFGB38666|f__FGB38666	1.43636101422291	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB38666|o__OFGB38666|f__FGB38666|g__GGB44506	1.43636101422291	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB4088	0	0	0	0	0	0	0.475602533027254	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB4088|o__OFGB4088	0	0	0	0	0	0	0.475602533027254	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB4088|o__OFGB4088|f__FGB4088	0	0	0	0	0	0	0.475602533027254	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB42879	0	0	0	0	0	0	0	0.84094934100521	1.64416600704824	1.40243551441897	1.72327668339024
k__Bacteria|p__Proteobacteria|c__CFGB42879|o__OFGB42879	0	0	0	0	0	0	0	0.84094934100521	1.64416600704824	1.40243551441897	1.72327668339024
k__Bacteria|p__Proteobacteria|c__CFGB42879|o__OFGB42879|f__FGB42879	0	0	0	0	0	0	0	0.84094934100521	1.64416600704824	1.40243551441897	1.72327668339024
k__Bacteria|p__Proteobacteria|c__CFGB43181	1.46374752201083	0.738771841483024	0	1.1017454254928	0	0	2.66705796812317	1.56750635416459	0.864000953110472	1.09258297334638	0.806292150304511
k__Bacteria|p__Proteobacteria|c__CFGB43181|o__OFGB43181	1.46374752201083	0.738771841483024	0	1.1017454254928	0	0	2.66705796812317	1.56750635416459	0.864000953110472	1.09258297334638	0.806292150304511
k__Bacteria|p__Proteobacteria|c__CFGB43181|o__OFGB43181|f__FGB43181	1.46374752201083	0.738771841483024	0	1.1017454254928	0	0	2.66705796812317	1.56750635416459	0.864000953110472	1.09258297334638	0.806292150304511
k__Bacteria|p__Proteobacteria|c__CFGB44372	1.65750920940528	0.822829025558566	0	1.20062420523255	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB44372|o__OFGB44372	1.65750920940528	0.822829025558566	0	1.20062420523255	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB44372|o__OFGB44372|f__FGB44372	1.65750920940528	0.822829025558566	0	1.20062420523255	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408	0	0	0	0	0	0	0.482169236041237	1.42415435445964	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408|o__OFGB5408	0	0	0	0	0	0	0.482169236041237	1.42415435445964	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408|o__OFGB5408|f__FGB5408	0	0	0	0	0	0	0.482169236041237	1.42415435445964	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408|o__OFGB5408|f__FGB5408|g__GGB15888	0	0	0	0	0	0	0.482169236041237	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408|o__OFGB5408|f__FGB5408|g__GGB15888|s__GGB15888_SGB24142	0	0	0	0	0	0	0.482169236041237	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB5408|o__OFGB5408|f__FGB5408|g__GGB15888|s__GGB15888_SGB24142|t__SGB24142	0	0	0	0	0	0	0.482169236041237	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6661	1.97593132764945	0.893168001596383	0	0	0	0	2.71793088049356	1.7385300298869	0	0.873839175351824	0.889375731469556
k__Bacteria|p__Proteobacteria|c__CFGB6661|o__OFGB6661	1.97593132764945	0.893168001596383	0	0	0	0	2.71793088049356	1.7385300298869	0	0.873839175351824	0.889375731469556
k__Bacteria|p__Proteobacteria|c__CFGB6661|o__OFGB6661|f__FGB6661	1.97593132764945	0.893168001596383	0	0	0	0	2.71793088049356	1.7385300298869	0	0.873839175351824	0.889375731469556
k__Bacteria|p__Proteobacteria|c__CFGB6665	0	0	0	0	0	0	1.9170370442766	1.3234658073152	1.08832056556849	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6665|o__OFGB6665	0	0	0	0	0	0	1.9170370442766	1.3234658073152	1.08832056556849	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6665|o__OFGB6665|f__FGB6665	0	0	0	0	0	0	1.9170370442766	1.3234658073152	1.08832056556849	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6665|o__OFGB6665|f__FGB6665|g__GGB48274	0	0	0	0	0	0	1.00987232220464	0.921161018340629	0.509999518475094	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6665|o__OFGB6665|f__FGB6665|g__GGB48274|s__GGB48274_SGB66285	0	0	0	0	0	0	1.00987232220464	0.921161018340629	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB6665|o__OFGB6665|f__FGB6665|g__GGB48274|s__GGB48274_SGB66285|t__SGB66285	0	0	0	0	0	0	1.00987232220464	0.921161018340629	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB7808	1.30967673456156	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB7808|o__OFGB7808	1.30967673456156	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB7808|o__OFGB7808|f__FGB7808	1.30967673456156	0.853383116049744	0	0.873347495644567	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes	0	0	0	0	0	0	0	0.679063122467988	0	0.781766683641373	0
k__Bacteria|p__Tenericutes|c__CFGB23549	0	0	0	0	0	0	0	0.679063122467988	0	0.781766683641373	0
k__Bacteria|p__Tenericutes|c__CFGB23549|o__OFGB23549	0	0	0	0	0	0	0	0.679063122467988	0	0.781766683641373	0
k__Bacteria|p__Tenericutes|c__CFGB23549|o__OFGB23549|f__FGB23549	0	0	0	0	0	0	0	0.679063122467988	0	0.781766683641373	0
sgb_01	0.82143778258484	0	0	0	0	0	0	0	0	0	0
sgb_02	0	0	0	0	1.50744359098239	0	0	0	0	0	0
sgb_03	0	0	0	0	0	0	0.462610291862855	0	0	0	0.660097599136408
sgb_04	0	0	0	0	0	0	0.640703011913585	0	0	0	0
sgb_05	0	0	0	0	0	0	0.396992239955797	0.460902007789478	0	0	0
sgb_06	0	0	0	0	0	0	0	0.504606883629772	0	0	0
sgb_07	0	0	0	0	0	0	1.36763038342245	2.25991586421207	0.622586154606972	0.938037144741738	0.666790150123819
sgb_08	0	0	0	0	0	0	0.502591728695741	0.928525642202468	3.11141756969184	1.90683595337988	3.21448637552758
sgb_09	0	0	0	0	0	0	0	0	0.783430182911101	0	0.675164376859604
sgb_10	0	0	0	0	0	0	0	0	0	0.585923992544822	0
sgb_11	0	0	0	0	0	0	0	0.678241473226689	0	1.39028104426639	2.15075017412373
sgb_12	0.855078071271348	0	0	0	0	0	0	0	0	0	0
sgb_13	0	0	0	0	0	0	0	0	0.86632757962479	0	0.796101136809636
sgb_14	0.738735730812733	0	0	0	0	0	0	0	0	0	0
sgb_15	2.21643791523337	0	0	1.74449809229902	0	0	0	0	0	0	0
sgb_16	0	0.999132608426135	0	0	0	0	0	0	0	0	0
sgb_17	1.03482351763686	0.941014325173431	0	1.22903561116269	0	0	0	0	0	0	0
sgb_18	0	0.780554867782603	0	0	0	0	0	0	0	0	0
sgb_19	0	0.73470459159199	0	0	0	0	0	0	0	0	0
sgb_20	0	0	0	0	1.54573035928061	0	0	0	0	0	0
UNKNOWN	77.7986259191686	81.1543901267599	97.7017706288599	87.327942251815	94.965131789036	100	80.6668296739382	83.3677745937445	83.0865119167173	88.6253175863079	84.9012261291985
