centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	1143004		1143004		1143004	1143004	1143004	1143004	1143004
	1145345			1145345	1145345	1145345	1145345	1145345	1145345
114627	114627	114627	114627	114627	114627	114627	114627	114627	114627
	1146845				1146845	1146845	1146845	1146845	1146845
	1146865				1146865	1146865		1146865	1146865
						1147735			1147735
	1148150				1148150	1148150		1148150	1148150
1148163	1148163	1148163			1148163	1148163		1148163	1148163
	1148783				1148783		1148783	1148783	1148783
	1150774			1150774	1150774		1150774	1150774	1150774
1152	1152	1152	1152	1152	1152	1152	1152	1152	1152
	1154		1154		1154	1154	1154	1154	1154
	1154586				1154586	1154586		1154586	1154586
	1155385			1155385	1155385	1155385	1155385	1155385	1155385
	115543			115543	115543	115543	115543	115543	115543
1155738	1155738	1155738	1155738	1155738	1155738		1155738	1155738	1155738
	1155934			1155934	1155934		1155934	1155934	1155934
	1156392				1156392	1156392		1156392	1156392
1156568	1156568	1156568		1156568	1156568	1156568		1156568	1156568
11572		11572	11572	11572					11572
	115780		115780	115780	115780	115780	115780	115780	115780
115782	115782	115782							115782
1158	1158	1158	1158	1158	1158	1158	1158	1158	1158
	1158296			1158296	1158296		1158296	1158296	1158296
11584		11584	11584	11584					11584
				1158982	1158982			1158982	1158982
	1159323				1159323			1159323	1159323
1159901		1159901	1159901	1159901					1159901
				1159909	1159909			1159909	1159909
116071	116071	116071		116071	116071			116071	116071
1160973	1160973	1160973			1160973			1160973	1160973
	1161125				1161125		1161125	1161125	1161125
1161127	1161127	1161127			1161127		1161127	1161127	1161127
11618		11618	11618	11618					11618
1163	1163	1163	1163	1163	1163	1163	1163	1163	1163
11640		11640	11640	11640					11640
11646		11646	11646	11646					11646
	1164863			1164863	1164863		1164863	1164863	1164863
1164882	1164882	1164882	1164882	1164882	1164882		1164882	1164882	1164882
	1165076		1165076	1165076	1165076		1165076	1165076	1165076
	1167830				1167830			1167830	1167830
	1170227		1170227	1170227	1170227		1170227	1170227	1170227
	117156	117156	117156	117156	117156	117156	117156	117156	117156
1172191	1172191	1172191	1172191	1172191	1172191		1172191	1172191	1172191
1172428	1172428	1172428							1172428
				1175	1175	1175	1175	1175	1175
117563	117563	117563	117563	117563	117563	117563	117563	117563	117563
	1176327			1176327	1176327			1176327	1176327
1177	1177	1177	1177	1177	1177	1177	1177	1177	1177
1177214		1177214							1177214
117999	117999	117999	117999	117999	117999	117999	117999	117999	117999
118	118	118	118		118	118	118	118	118
	118004				118004	118004	118004	118004	118004
118139		118139	118139	118139					118139
1182780	1182780	1182780		1182780	1182780		1182780	1182780	1182780
					1183				1183
