centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	2814222								2814222
	2817523								2817523
	2819262								2819262
	2821824								2821824
28221		28221							28221
	2823878								2823878
2840070		2840070							2840070
2841637		2841637							2841637
2842243		2842243							2842243
	2843198								2843198
	2844882								2844882
	2844884								2844884
2847775	2847775	2847775							2847775
2856052		2856052							2856052
	2856582								2856582
	2881377								2881377
2885733		2885733							2885733
	2885734								2885734
	2885736								2885736
	2885737								2885737
	2885738								2885738
	2885748								2885748
	2885753								2885753
2887326		2887326							2887326
2887327		2887327							2887327
2897345		2897345							2897345
	29		29	29	29	29	29	29	29
	2900568								2900568
	2900649								2900649
	2900650								2900650
	2900651								2900651
	2900652								2900652
	2900653								2900653
	2905377								2905377
2907184		2907184							2907184
2910145	2910145	2910145							2910145
	2913913								2913913
	2914038								2914038
292625		292625							292625
	292629		292629	292629	292629	292629	292629	292629	292629
	2935804								2935804
	2945041		2945041	2945041	2945041	2945041			2945041
	2949322								2949322
29547		29547							29547
	2963098								2963098
2974821									2974821
	2975519								2975519
301297		301297							301297
	307595		307595	307595	307595		307595	307595	307595
			31932	31932	31932		31932	31932	31932
31969		31969							31969
32003		32003	32003	32003	32003	32003	32003	32003	32003
32061		32061							32061
	32064		32064	32064	32064	32064	32064	32064	32064
32069	32069	32069	32069	32069	32069	32069	32069	32069	32069
332160	332160	332160	332160	332160	332160		332160	332160	332160
356	356	356	356	356	356	356	356	356	356
362534		362534	362534	362534	362534	362534	362534	362534	362534
388447		388447							388447
	388448		388448	388448	388448	388448	388448	388448	388448
				414714	414714	414714	414714	414714	414714
414999		414999							414999
	415000			415000	415000	415000	415000	415000	415000
			415001	415001	415001	415001	415001	415001	415001
	453227		453227	453227	453227	453227	453227	453227	453227
						455492			455492
			464095	464095					464095
							471822	471822	471822
475962		475962							475962
	475963		475963	475963	475963	475963	475963	475963	475963
	48461		48461	48461	48461	48461	48461	48461	48461
	485256		485256	485256	485256	485256	485256	485256	485256
	510684			510684	510684	510684	510684	510684	510684
	51291		51291	51291	51291	51291	51291	51291	51291
			52604	52604	52604		52604	52604	52604
526524		526524							526524
	526525		526525	526525	526525	526525	526525	526525	526525
533206	533206	533206				533206			533206
	53433		53433	53433	53433	53433	53433	53433	53433
544448		544448							544448
54526	54526	54526		54526	54526		54526	54526	54526
			548681	548681					548681
	570264		570264	570264	570264	570264	570264	570264	570264
	574975		574975		574975	574975	574975	574975	574975
580371	580371	580371	580371	580371	580371		580371	580371	580371
	588673		588673	588673	588673	588673	588673	588673	588673
				588674	588674		588674	588674	588674
					588814				588814
	596497				596497	596497	596497	596497	596497
							597358	597358	597358
