centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(117747/1236)		(117747/1236)
							(117747/1853228)		(117747/1853228)
							(1236/1760)		(1236/1760)
							(1236/28211)		(1236/28211)
							(1236/28216)		(1236/28216)
							(1737404/186801)		(1737404/186801)
							(1760/768503)		(1760/768503)
							(1760/91061)		(1760/91061)
							(1807140/28216)		(1807140/28216)
							(183967/224756)		(183967/224756)
							(186801/526524)		(186801/526524)
							(186801/909932)		(186801/909932)
							(186801/91061)		(186801/91061)
							(200643/204429)		(200643/204429)
							(2008785/28216)		(2008785/28216)
							(28211/91061)		(28211/91061)
							(909932/91061)		(909932/91061)
							c__candidatus firestonebacteria class incertae sedis		c__candidatus firestonebacteria class incertae sedis
							c__candidatus fischerbacteria class incertae sedis		c__candidatus fischerbacteria class incertae sedis
							c__candidatus fraserbacteria class incertae sedis		c__candidatus fraserbacteria class incertae sedis
							c__candidatus giovannonibacteria class incertae sedis		c__candidatus giovannonibacteria class incertae sedis
							c__candidatus glassbacteria class incertae sedis		c__candidatus glassbacteria class incertae sedis
							c__candidatus gottesmanbacteria class incertae sedis		c__candidatus gottesmanbacteria class incertae sedis
							c__candidatus gracilibacteria class incertae sedis		c__candidatus gracilibacteria class incertae sedis
							c__candidatus harrisonbacteria class incertae sedis		c__candidatus harrisonbacteria class incertae sedis
							c__candidatus heimdallarchaeota class incertae sedis		c__candidatus heimdallarchaeota class incertae sedis
							c__candidatus hydrogenedentes class incertae sedis		c__candidatus hydrogenedentes class incertae sedis
							c__candidatus jorgensenbacteria class incertae sedis		c__candidatus jorgensenbacteria class incertae sedis
							c__candidatus kaiserbacteria class incertae sedis		c__candidatus kaiserbacteria class incertae sedis
							c__candidatus kapabacteria class incertae sedis		c__candidatus kapabacteria class incertae sedis
							c__candidatus kerfeldbacteria class incertae sedis		c__candidatus kerfeldbacteria class incertae sedis
							c__candidatus komeilibacteria class incertae sedis		c__candidatus komeilibacteria class incertae sedis
							c__candidatus korarchaeota class incertae sedis		c__candidatus korarchaeota class incertae sedis
							c__candidatus kryptonia class incertae sedis		c__candidatus kryptonia class incertae sedis
							c__candidatus kuenenbacteria class incertae sedis		c__candidatus kuenenbacteria class incertae sedis
							c__candidatus latescibacteria class incertae sedis		c__candidatus latescibacteria class incertae sedis
							c__candidatus levybacteria class incertae sedis		c__candidatus levybacteria class incertae sedis
							c__candidatus lindowbacteria class incertae sedis		c__candidatus lindowbacteria class incertae sedis
							c__candidatus liptonbacteria class incertae sedis		c__candidatus liptonbacteria class incertae sedis
							c__candidatus lloydbacteria class incertae sedis		c__candidatus lloydbacteria class incertae sedis
							c__candidatus magasanikbacteria class incertae sedis		c__candidatus magasanikbacteria class incertae sedis
							c__candidatus marinimicrobia class incertae sedis		c__candidatus marinimicrobia class incertae sedis
							c__candidatus melainabacteria class incertae sedis		c__candidatus melainabacteria class incertae sedis
							c__candidatus micrarchaeota class incertae sedis		c__candidatus micrarchaeota class incertae sedis
							c__candidatus microgenomates class incertae sedis		c__candidatus microgenomates class incertae sedis
							c__candidatus moranbacteria class incertae sedis		c__candidatus moranbacteria class incertae sedis
							c__candidatus nealsonbacteria class incertae sedis		c__candidatus nealsonbacteria class incertae sedis
