centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
				1890497	1890497		1890497	1890497	1890497
				1890498	1890498		1890498	1890498	1890498
	1890499			1890499	1890499		1890499	1890499	1890499
				1890500	1890500		1890500	1890500	1890500
	1890528			1890528	1890528		1890528	1890528	1890528
	1890941			1890941	1890941		1890941	1890941	1890941
	1890942			1890942			1890942	1890942	1890942
				1892249	1892249		1892249	1892249	1892249
	1892251			1892251	1892251		1892251	1892251	1892251
	1892252			1892252	1892252		1892252	1892252	1892252
	1892254			1892254	1892254		1892254	1892254	1892254
				1892255	1892255		1892255	1892255	1892255
					1892258		1892258	1892258	1892258
				1892259	1892259		1892259	1892259	1892259
					1892261		1892261	1892261	1892261
				1892263	1892263		1892263	1892263	1892263
				1892264	1892264		1892264	1892264	1892264
189770	189770	189770	189770	189770	189770	189770	189770	189770	189770
	189773		189773	189773	189773	189773	189773	189773	189773
189776		189776							189776
	189777		189777	189777	189777	189777	189777	189777	189777
189779	189779	189779	189779	189779	189779	189779	189779	189779	189779
	1902584			1902584	1902584		1902584	1902584	1902584
				1903335	1903335			1903335	1903335
1903409		1903409		1903409	1903409		1903409	1903409	1903409
1903410		1903410		1903410	1903410		1903410	1903410	1903410
1903411		1903411		1903411	1903411		1903411	1903411	1903411
1903412		1903412		1903412	1903412		1903412	1903412	1903412
1903414		1903414		1903414	1903414		1903414	1903414	1903414
1903416		1903416		1903416	1903416		1903416	1903416	1903416
191033	191033	191033			191033	191033		191033	191033
				1910928					1910928
				1911603					1911603
191394	191394	191394	191394	191394	191394	191394	191394	191394	191394
191410		191410							191410
	191412		191412	191412	191412	191412	191412	191412	191412
	1914233			1914233	1914233		1914233	1914233	1914233
				1914302					1914302
	1915415						1915415		1915415
1920240	1920240	1920240		1920240	1920240		1920240	1920240	1920240
	1921568				1921568				1921568
1921782		1921782							1921782
	1921783			1921783	1921783		1921783	1921783	1921783
1934946	1934946	1934946		1934946	1934946		1934946	1934946	1934946
1937959		1937959							1937959
				1937960	1937960		1937960	1937960	1937960
				1937961	1937961		1937961	1937961	1937961
	1937962			1937962	1937962		1937962	1937962	1937962
	1937968			1937968	1937968		1937968	1937968	1937968
	194924		194924	194924	194924	194924	194924	194924	194924
	1955043			1955043	1955043		1955043	1955043	1955043
	196117		196117	196117	196117	196117	196117	196117	196117
	196137		196137	196137	196137	196137	196137	196137	196137
1962854	1962854	1962854		1962854	1962854		1962854	1962854	1962854
1962910	1962910	1962910			1962910		1962910	1962910	1962910
	1963268			1963268	1963268		1963268	1963268	1963268
	1963270			1963270	1963270		1963270	1963270	1963270
				1963271	1963271		1963271	1963271	1963271
1963360		1963360							1963360
1968909		1968909							1968909
	1968910				1968910			1968910	1968910
196937		196937							196937
	1969992			1969992	1969992		1969992	1969992	1969992
	1970190			1970190	1970190		1970190	1970190	1970190
1978007									1978007
				1980412					1980412
				1980413					1980413
				1980415					1980415
			1980416	1980416					1980416
				1980418					1980418
1993640		1993640		1993640					1993640
			199704	199704					199704
	2004		2004	2004	2004	2004	2004	2004	2004
	2005473			2005473	2005473		2005473	2005473	2005473
	2005519			2005519	2005519		2005519	2005519	2005519
	2005520			2005520	2005520		2005520	2005520	2005520
	2005523			2005523	2005523		2005523	2005523	2005523
	2005525			2005525	2005525		2005525	2005525	2005525
200643		200643							200643
	200667		200667	200667	200667	200667	200667	200667	200667
2008790	2008790	2008790		2008790	2008790		2008790	2008790	2008790
2008793		2008793		2008793	2008793		2008793	2008793	2008793
2008794		2008794		2008794	2008794		2008794	2008794	2008794
2008795		2008795		2008795	2008795		2008795	2008795	2008795
			2012	2012	2012	2012	2012	2012	2012
				2022639					2022639
	2024974	2024974		2024974	2024974		2024974	2024974	2024974
				2024981	2024981			2024981	2024981
203488	203488	203488	203488	203488	203488	203488	203488	203488	203488
203492	203492	203492	203492	203492	203492	203492	203492	203492	203492
	203557		203557	203557	203557	203557	203557	203557	203557
2035710		2035710			2035710			2035710	2035710
2036754		2036754		2036754	2036754		2036754	2036754	2036754
2037		2037							2037
	2038695			2038695	2038695		2038695	2038695	2038695
2039638		2039638							2039638
	2042895			2042895	2042895		2042895	2042895	2042895
	204431		204431	204431	204431	204431	204431	204431	204431
204434	204434	204434	204434	204434	204434	204434	204434	204434	204434
	2048906			2048906	2048906		2048906	2048906	2048906
	2049		2049	2049	2049	2049	2049	2049	2049
		2056687			2056687		2056687	2056687	2056687
			205957	205957		205957	205957		205957
	2062		2062	2062	2062	2062	2062	2062	2062
206349		206349	206349	206349	206349	206349	206349	206349	206349
206379	206379	206379	206379	206379	206379	206379	206379	206379	206379
	2066434			2066434	2066434		2066434	2066434	2066434
	2066474	2066474		2066474	2066474		2066474	2066474	2066474
					2066485				2066485
2066491	2066491	2066491			2066491			2066491	2066491
	2070		2070	2070	2070	2070	2070	2070	2070
				2071613	2071613			2071613	2071613
2085		2085							2085
	2092		2092	2092	2092	2092	2092	2092	2092
2093818		2093818							2093818
	2093822				2093822				2093822
2100208	2100208	2100208			2100208		2100208	2100208	2100208
				2109261	2109261			2109261	2109261
			2131	2131	2131	2131	2131	2131	2131
213113		213113							213113
213115		213115							213115
	213116		213116	213116	213116	213116	213116	213116	213116
	213117		213117	213117	213117	213117	213117	213117	213117
213118		213118							213118
	213119		213119	213119	213119	213119	213119	213119	213119
	213121		213121	213121	213121	213121	213121	213121	213121
	213421		213421	213421	213421	213421	213421	213421	213421
	213422		213422	213422	213422	213422	213422	213422	213422
213462		213462							213462
	213465		213465	213465	213465	213465	213465	213465	213465
	213468		213468	213468	213468	213468	213468	213468	213468
213483	213483	213483	213483	213483	213483	213483	213483	213483	213483
				2137278	2137278		2137278	2137278	2137278
2138247	2138247	2138247		2138247	2138247		2138247	2138247	2138247
213849		213849							213849
	2146		2146	2146	2146	2146	2146	2146	2146
	2152899						2152899		2152899
2158		2158							2158
	2159		2159	2159	2159	2159	2159	2159	2159
	2162846			2162846	2162846			2162846	2162846
	216572		216572	216572	216572	216572	216572	216572	216572
				2169529					2169529
2169561		2169561							2169561
				2169567					2169567
				2169570					2169570
2169572		2169572							2169572
				2169574					2169574
				2169577					2169577
	2171986								2171986
	2171987				2171987				2171987
	2171990				2171990				2171990
					2171994				2171994
	2172021				2172021			2172021	2172021
	2178		2178	2178	2178	2178	2178	2178	2178
2182		2182							2182
	2183		2183	2183	2183	2183	2183	2183	2183
218872		218872							218872
2191		2191							2191
	2194		2194	2194	2194	2194	2194	2194	2194
219686		219686							219686
	219687		219687	219687	219687	219687	219687	219687	219687
	2202724			2202724	2202724		2202724	2202724	2202724
	2206		2206	2206	2206	2206	2206	2206	2206
2211325	2211325	2211325		2211325	2211325		2211325	2211325	2211325
221235		221235							221235
					2212439		2212439	2212439	2212439
					2212440		2212440	2212440	2212440
2232	2232	2232	2232	2232	2232	2232	2232	2232	2232
2235		2235							2235
	2236		2236	2236	2236	2236	2236	2236	2236
224027	224027	224027	224027	224027	224027	224027	224027	224027	224027
224372	224372	224372	224372	224372	224372	224372	224372	224372	224372
224379		224379	224379	224379	224379	224379	224379	224379	224379
	224380			224380	224380	224380	224380	224380	224380
	224463		224463	224463	224463	224463	224463	224463	224463
	224464		224464	224464	224464	224464	224464	224464	224464
	224467		224467	224467	224467	224467	224467	224467	224467
						224469			224469
225058	225058	225058	225058	225058	225058	225058	225058	225058	225058
	225059				225059	225059	225059	225059	225059
2259	2259	2259	2259	2259	2259	2259	2259	2259	2259
2266		2266							2266
	2267		2267	2267	2267	2267	2267	2267	2267
	2272		2272	2272	2272	2272	2272	2272	2272
	227387		227387	227387	227387	227387	227387	227387	227387
2281		2281							2281
				2301193	2301193		2301193	2301193	2301193
					2303507				2303507
					2303527				2303527
	2303730		2303730	2303730	2303730		2303730	2303730	2303730
							2304686	2304686	2304686
	2307		2307	2307	2307	2307	2307	2307	2307
	2315421			2315421					2315421
2323		2323							2323
			232795	232795					232795
235899		235899							235899
2364208		2364208							2364208
	2419832			2419832					2419832
	2448023				2448023		2448023	2448023	2448023
	246874		246874	246874	246874	246874	246874	246874	246874
2483366		2483366							2483366
	2483367			2483367	2483367		2483367	2483367	2483367
			249184	249184					249184
			249310	249310					249310
	2493628				2493628				2493628
	2494208				2494208			2494208	2494208
2495578		2495578							2495578
2497572		2497572							2497572
2497573		2497573							2497573
2497574		2497574							2497574
2497575		2497575							2497575
2497576		2497576							2497576
2497577		2497577							2497577
	2497645				2497645		2497645	2497645	2497645
	2498708				2498708			2498708	2498708
	2507544								2507544
				2508209					2508209
	2508947				2508947			2508947	2508947
			251095	251095					251095
2517203	2517203	2517203			2517203			2517203	2517203
2545690	2545690	2545690							2545690
					2545691				2545691
			255472	255472	255472	255472	255472	255472	255472
255474	255474	255474	255474	255474	255474	255474	255474	255474	255474
255475		255475	255475	255475	255475	255475	255475	255475	255475
255526	255526	255526	255526	255526	255526	255526	255526	255526	255526
255527		255527		255527	255527	255527	255527	255527	255527
	255528			255528	255528	255528		255528	255528
2559587		2559587							2559587
2560062		2560062							2560062
	2562242				2562242			2562242	2562242
2562244	2562244	2562244							2562244
					2571193			2571193	2571193
	2599196								2599196
	2599197								2599197
					2600303				2600303
	2603322				2603322			2603322	2603322
	2603433	2603433			2603433				2603433
	2614438				2614438			2614438	2614438
263369	263369	263369	263369		263369	263369	263369	263369	263369
	2650922				2650922			2650922	2650922
					2661849			2661849	2661849
267888		267888	267888	267888	267888	267888	267888	267888	267888
267889		267889	267889	267889	267889	267889	267889	267889	267889
267890	267890	267890	267890	267890	267890	267890	267890	267890	267890
267891	267891	267891	267891	267891	267891	267891	267891	267891	267891
267892		267892	267892	267892	267892	267892	267892	267892	267892
267893		267893	267893	267893	267893	267893	267893	267893	267893
267894	267894	267894	267894	267894	267894	267894	267894	267894	267894
2682226		2682226							2682226
	2682227				2682227				2682227
	2685818				2685818				2685818
2689614	2689614	2689614			2689614				2689614
	2690158				2690158				2690158
2690195		2690195			2690195				2690195
2691354		2691354							2691354
2691355		2691355							2691355
2691356		2691356							2691356
	2691357				2691357				2691357
	2691358				2691358				2691358
	2691359				2691359				2691359
					2692416				2692416
	2698813								2698813
	2703813								2703813
	2705999				2705999				2705999
	2712270				2712270				2712270
					2714749				2714749
	2715733				2715733				2715733
	2717330				2717330				2717330
					2717338				2717338
2723775		2723775			2723775				2723775
	2726069				2726069				2726069
2731619									2731619
			2731689	2731689					2731689
			2731691	2731691					2731691
2732011		2732011							2732011
2732094		2732094							2732094
2732396		2732396							2732396
2732414		2732414							2732414
2732451		2732451							2732451
		2732501							2732501
2732502		2732502							2732502
2732503		2732503							2732503
2732504		2732504							2732504
2732515		2732515							2732515
2732524		2732524							2732524
2732526		2732526							2732526
2732527		2732527							2732527
		2732529							2732529
2732531		2732531							2732531
2732532		2732532							2732532
2732533		2732533							2732533
2732534		2732534							2732534
2732535		2732535							2732535
2732536		2732536							2732536
2732537		2732537							2732537
2732538		2732538							2732538
2732539		2732539							2732539
2732540		2732540							2732540
2732541		2732541							2732541
2732542		2732542							2732542
2732543		2732543							2732543
2732544		2732544							2732544
2732545		2732545							2732545
2732546		2732546							2732546
2732547		2732547							2732547
2732548		2732548							2732548
2732549		2732549							2732549
2732550		2732550							2732550
2732551		2732551							2732551
2732553		2732553							2732553
2732554		2732554							2732554
2732555		2732555							2732555
2732556		2732556							2732556
2732557		2732557							2732557
2732558		2732558							2732558
2732559		2732559							2732559
2732560		2732560							2732560
2732901		2732901							2732901
2732902		2732902							2732902
	2750653				2750653				2750653
	2759950				2759950				2759950
	2760872				2760872				2760872
2762275		2762275							2762275
					2762276				2762276
					2762284				2762284
					2762286				2762286
					2762301				2762301
					2762302				2762302
					2762306				2762306
	2762316				2762316				2762316
					2762317				2762317
	2762318				2762318				2762318
					2767072				2767072
2770089		2770089							2770089
	2770092				2770092				2770092
	2770093				2770093				2770093
	2771471				2771471				2771471
	2771472				2771472				2771472
2772226	2772226	2772226			2772226				2772226
	2772533				2772533				2772533
	2772534				2772534				2772534
	2772535				2772535				2772535
	2785443								2785443
2786987		2786987							2786987
	2786988								2786988
	2787155				2787155				2787155
2790996		2790996							2790996
	2790998								2790998
2791015	2791015	2791015							2791015
					2792775				2792775
					2793121				2793121
	2795691				2795691				2795691
2798275		2798275							2798275
	2798276				2798276				2798276
	2798924								2798924
	2798925								2798925
	2798926								2798926
	2798927								2798927
	2798928								2798928
	2798929								2798929
2800061	2800061	2800061			2800061				2800061
					2800062				2800062
	2802693								2802693
2803844	2803844	2803844			2803844				2803844
	2805400				2805400				2805400
	2805401				2805401				2805401
		2805415							2805415
	2805416				2805416				2805416
					2805426				2805426
					2805586				2805586
					2805590				2805590
					2805591				2805591
	28056		28056	28056	28056	28056	28056	28056	28056
	2806305				2806305				2806305
2808923		2808923							2808923
	2808963								2808963
	2810280								2810280
	2810281								2810281
2811504	2811504	2811504							2811504
2811505	2811505	2811505							2811505
2812006		2812006							2812006
	2812024								2812024
	2812940								2812940
2813035	2813035	2813035							2813035
	2813859								2813859
2813951	2813951	2813951							2813951
	2815910			2815910	2815910				2815910
2820280		2820280							2820280
	2821826								2821826
	2821827								2821827
2821832	2821832	2821832							2821832
		28221							28221
	2823879								2823879
28256	28256	28256	28256	28256	28256	28256	28256	28256	28256
	2829290								2829290
	2829291								2829291
	2829295								2829295
	2829802								2829802
2829815	2829815	2829815							2829815
2831090		2831090							2831090
2831100		2831100							2831100
2831104		2831104							2831104
2831106	2831106	2831106							2831106
2831111	2831111	2831111							2831111
2841641		2841641							2841641
2842242		2842242							2842242
2842247		2842247							2842247
2842249		2842249							2842249
			2842319	2842319					2842319
			2842333	2842333					2842333
2843198		2843198							2843198
	2843199								2843199
2843305	2843305	2843305							2843305
2843308	2843308	2843308							2843308
	2844374								2844374
	2844375								2844375
	2844403								2844403
2844601	2844601	2844601							2844601
	2844863								2844863
	2844864								2844864
2844866	2844866	2844866							2844866
