centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(120959/1787)		(120959/1787)
							(1211114/935851)		(1211114/935851)
							(1211115/1702325)		(1211115/1702325)
							(1211807/203192/271420/316)		(1211807/203192/271420/316)
							(121719/466044)		(121719/466044)
							(1217692/40373)		(1217692/40373)
							(1217702/1217703/1217707/1217708)		(1217702/1217703/1217707/1217708)
							(121872/413811/69525)		(121872/413811/69525)
							(1220495/640205)		(1220495/640205)
							(122202/36823)		(122202/36823)
							(122355/882211)		(122355/882211)
							(1224144/1225785)		(1224144/1225785)
							(1225127/333142)		(1225127/333142)
							(1226322/1226323/876091)		(1226322/1226323/876091)
							(1226325/1232457)		(1226325/1232457)
							(1226755/1227352/1926587/1926588)		(1226755/1227352/1926587/1926588)
							(1226757/1507734/576784)		(1226757/1507734/576784)
							(1226968/193)		(1226968/193)
							(1227351/1761877/481743/908341)		(1227351/1761877/481743/908341)
							(1230341/50717/908941)		(1230341/50717/908941)
							(1232426/1232436)		(1232426/1232436)
							(1232427/38286)		(1232427/38286)
							(1232430/489910)		(1232430/489910)
							(1232460/457421)		(1232460/457421)
							(1246/255248/33964)		(1246/255248/33964)
							(1246459/1500258)		(1246459/1500258)
							(1247023/57911)		(1247023/57911)
							(1247714/1736463/1736514)		(1247714/1736463/1736514)
							(1249480/1802245/1802247)		(1249480/1802245/1802247)
							(1249975/1336796)		(1249975/1336796)
							(1254334/1926478)		(1254334/1926478)
							(126157/365346)		(126157/365346)
							(1262684/1896965)		(1262684/1896965)
							(1262690/1896966/1916215/1916216/1916217/1916218/1916220/1916221/1916222/1916223/1916224/1916229/1916231/1916321)		(1262690/1896966/1916215/1916216/1916217/1916218/1916220/1916221/1916222/1916223/1916224/1916229/1916231/1916321)
							(1262706/1637506/1638782/1896971)		(1262706/1637506/1638782/1896971)
							(1262758/765821)		(1262758/765821)
							(1262773/1703332/1896985)		(1262773/1703332/1896985)
							(1262781/1930012)		(1262781/1930012)
							(1262784/1896986)		(1262784/1896986)
							(1262786/411489/458253)		(1262786/411489/458253)
							(1262787/1896982)		(1262787/1896982)
							(1262788/1896977)		(1262788/1896977)
							(1262790/1896984)		(1262790/1896984)
							(1262794/1637501/1637507/1638787/1916319)		(1262794/1637501/1637507/1638787/1916319)
							(1262795/1896987)		(1262795/1896987)
							(1262798/165186)		(1262798/165186)
							(1262799/1896989)		(1262799/1896989)
							(1262800/1896980)		(1262800/1896980)
							(1262812/1896981)		(1262812/1896981)
							(1262828/1896990)		(1262828/1896990)
							(1262834/1899017/1916214)		(1262834/1899017/1916214)
							(1262835/1897008/1906168)		(1262835/1897008/1906168)
							(1262836/1896983)		(1262836/1896983)
							(1262842/245014/59620)		(1262842/245014/59620)
							(1262843/1916322)		(1262843/1916322)
							(1262875/1897000)		(1262875/1897000)
							(1262879/165185/1897002)		(1262879/165185/1897002)
							(1262886/1637498)		(1262886/1637498)
							(1262891/165185)		(1262891/165185)
							(1262895/1897001)		(1262895/1897001)
							(1262897/1897005)		(1262897/1897005)
							(1262901/1916225/1916226/1916228)		(1262901/1916225/1916226/1916228)
							(1262903/1291540)		(1262903/1291540)
							(1262914/1637504)		(1262914/1637504)
							(1262917/1807750)		(1262917/1807750)
							(1262923/1676614)		(1262923/1676614)
							(1262924/1807756/1807757)		(1262924/1807756/1807757)
							(1262931/1602168/1602169/1602170/1602171/1602172)		(1262931/1602168/1602169/1602170/1602171/1602172)
							(1262936/1807752)		(1262936/1807752)
							(1262940/1897016)		(1262940/1897016)
							(1262947/512314)		(1262947/512314)
							(1262955/165186)		(1262955/165186)
							(1262974/1929997)		(1262974/1929997)
							(1262986/1637509)		(1262986/1637509)
							(1262994/1896998)		(1262994/1896998)
							(1263000/1896993)		(1263000/1896993)
							(1263008/1897037)		(1263008/1897037)
							(1263009/59620)		(1263009/59620)
							(1263012/59620)		(1263012/59620)
							(1263013/1897032)		(1263013/1897032)
							(1263018/1897034)		(1263018/1897034)
							(1263021/59620)		(1263021/59620)
							(1263031/165186)		(1263031/165186)
							(126333/876)		(126333/876)
							(1263550/1821960/636/67780)		(1263550/1821960/636/67780)
							(1268254/1720298)		(1268254/1720298)
							(1273103/1285585)		(1273103/1285585)
							(1276/1711)		(1276/1711)
							(1280/1283)		(1280/1283)
							(1280665/1280671)		(1280665/1280671)
							(1280667/1280683/1280684)		(1280667/1280683/1280684)
							(1280670/1280681/1520807/1761780)		(1280670/1280681/1520807/1761780)
							(1280673/1280676/1280678)		(1280673/1280676/1280678)
							(1280680/1410611)		(1280680/1410611)
							(1280682/1520808)		(1280682/1520808)
							(1280944/1848191)		(1280944/1848191)
							(1281/70255)		(1281/70255)
							(128104/200379/40571)		(128104/200379/40571)
							(1283288/1500890/1500891/1500892/1798240)		(1283288/1500890/1500891/1500892/1798240)
							(1286373/1562701)		(1286373/1562701)
							(1287074/1287085/1287086/1287089/1287094/1287100/1287105/1287106/1287117/1287120/1287256/1287258/1287264/1287268/1287270/1287273/1287274/1287275/1287276/1287277/1287280/1287281/1287285/1287287/1287289/1287294/1287296/1287298/1287303/1287307/1287308/1287313/1287321/1287322/1287325/1287326/1287334/1287338/1380351)		(1287074/1287085/1287086/1287089/1287094/1287100/1287105/1287106/1287117/1287120/1287256/1287258/1287264/1287268/1287270/1287273/1287274/1287275/1287276/1287277/1287280/1287281/1287285/1287287/1287289/1287294/1287296/1287298/1287303/1287307/1287308/1287313/1287321/1287322/1287325/1287326/1287334/1287338/1380351)
							(1287488/1384078)		(1287488/1384078)
							(1287640/33037)		(1287640/33037)
							(1288388/875328)		(1288388/875328)
							(1288410/303/76759)		(1288410/303/76759)
							(1292/29380)		(1292/29380)
							(1293051/1297860/1297861/1297862/1297863/1297864)		(1293051/1297860/1297861/1297862/1297863/1297864)
							(129338/1430331)		(129338/1430331)
							(1293573/332411)		(1293573/332411)
							(129789/160846)		(129789/160846)
							(129817/219574/294/78544)		(129817/219574/294/78544)
							(129847/294/298/307251/359110/76761)		(129847/294/298/307251/359110/76761)
							(1298601/1298602)		(1298601/1298602)
							(1298608/1298609/1699623/1867800)		(1298608/1298609/1699623/1867800)
							(1298859/1678678)		(1298859/1678678)
							(129921/208439/208441/31958/31959/36819/76020)		(129921/208439/208441/31958/31959/36819/76020)
							(129922/208085/52698)		(129922/208085/52698)
							(129958/54265)		(129958/54265)
							(1302245/1306159)		(1302245/1306159)
							(1303/257758/68892)		(1303/257758/68892)
							(1303/28037)		(1303/28037)
							(1306852/189426)		(1306852/189426)
							(1306993/78327)		(1306993/78327)
							(13076/136093)		(13076/136093)
							(1311/149015)		(1311/149015)
							(131110/1673722)		(131110/1673722)
							(1313/1392/1396/1405/1423/1428/155322/1890302/2026186/2026187/2026189/2026190/2026191/2026192/2026193/2026194/658666)		(1313/1392/1396/1405/1423/1428/155322/1890302/2026186/2026187/2026189/2026190/2026191/2026192/2026193/2026194/658666)
							(1314686/1414651/1761786/1857893)		(1314686/1414651/1761786/1857893)
							(1320555/1320556/1320557/1380604/1566387)		(1320555/1320556/1320557/1380604/1566387)
							(132473/1377/51665)		(132473/1377/51665)
							(1324934/480520/76832)		(1324934/480520/76832)
							(13264/84378)		(13264/84378)
							(132919/262776/37919/44752/99653)		(132919/262776/37919/44752/99653)
							(1329899/34068)		(1329899/34068)
							(1332069/592316)		(1332069/592316)
							(1333667/1861)		(1333667/1861)
							(1335/197614/315405/59310)		(1335/197614/315405/59310)
							(1336803/1336804)		(1336803/1336804)
							(1339239/1340502)		(1339239/1340502)
							(1340425/1510391)		(1340425/1510391)
							(1340430/1761753)		(1340430/1761753)
							(1340436/1449058/1793723)		(1340436/1449058/1793723)
							(1341643/367190/631/632/633)		(1341643/367190/631/632/633)
							(134536/420952)		(134536/420952)
							(134605/849)		(134605/849)
							(1346287/1380358/1380377/1761787/866350)		(1346287/1380358/1380377/1761787/866350)
							(1346502/341722)		(1346502/341722)
							(1347086/1705566)		(1347086/1705566)
							(1349432/1349434/1349435/1349436)		(1349432/1349434/1349435/1349436)
							(134964/257277/261477/300029/37330/508464/941182)		(134964/257277/261477/300029/37330/508464/941182)
							(1349819/1637747)		(1349819/1637747)
							(1352374/244362)		(1352374/244362)
							(1354300/652713)		(1354300/652713)
							(1354889/1678012)		(1354889/1678012)
							(1355477/375)		(1355477/375)
