;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40
ID27;0.739064;0.743254;0.653768;0.669352;0.607506;0.700958;0.719252;0.776722;0.733625;0.809845;0.916174;0.863662;0.793238;0.729052;0.867206;0.789209;0.692377;0.920287;0.661204;0.761392;0.752113;0.745426;0.716619;0.730807;0.733606;0.718787;0.755078;0.000000;0.634285;0.828596;0.959188;0.971203;0.948144;0.826073;0.759390;0.789387;0.699184;0.741363;0.958979;0.848307;0.898562
ID28;0.716814;0.695435;0.569516;0.536960;0.580449;0.623433;0.570172;0.822135;0.696898;0.837406;0.930997;0.857066;0.769815;0.646699;0.886752;0.765994;0.653214;0.941474;0.612553;0.614863;0.777784;0.753693;0.704395;0.699435;0.663716;0.718697;0.719429;0.634285;0.000000;0.835352;0.954951;0.977815;0.953983;0.781267;0.731638;0.738049;0.675405;0.644233;0.953129;0.785723;0.917150
ID29;0.753583;0.759027;0.739057;0.787573;0.691777;0.855602;0.835273;0.686706;0.616368;0.557231;0.691318;0.710648;0.755133;0.763976;0.808963;0.937581;0.734408;0.868124;0.754298;0.884012;0.746081;0.751679;0.622815;0.537492;0.762993;0.811972;0.753563;0.828596;0.835352;0.000000;0.785523;0.905396;0.902048;0.853241;0.638071;0.728114;0.723042;0.836067;0.782740;0.638021;0.806845
ID30;0.936451;0.945673;0.941158;0.949576;0.917802;0.962813;0.960348;0.922663;0.916593;0.865847;0.826395;0.885860;0.925560;0.943989;0.918748;0.977690;0.941822;0.941197;0.940245;0.968951;0.929659;0.933838;0.929695;0.875329;0.949138;0.945379;0.936656;0.959188;0.954951;0.785523;0.000000;0.833383;0.934933;0.945377;0.893317;0.926161;0.937322;0.959641;0.309428;0.822475;0.914535
ID31;0.958921;0.969213;0.969426;0.969542;0.966404;0.974667;0.978895;0.909027;0.966532;0.896489;0.775907;0.934473;0.965297;0.970778;0.826457;0.985271;0.968476;0.811018;0.962614;0.982693;0.915981;0.914061;0.963233;0.944171;0.971815;0.969995;0.951730;0.971203;0.977815;0.905396;0.833383;0.000000;0.805201;0.960578;0.942321;0.954648;0.949173;0.976334;0.839687;0.931968;0.838714
ID32;0.912357;0.941420;0.942206;0.950162;0.938852;0.947349;0.952373;0.798480;0.935112;0.851658;0.719675;0.906719;0.935625;0.939349;0.595502;0.972673;0.936767;0.497408;0.935468;0.954955;0.803630;0.803006;0.936965;0.915378;0.944882;0.933580;0.893395;0.948144;0.953983;0.902048;0.934933;0.805201;0.000000;0.924048;0.915744;0.942344;0.893169;0.948299;0.940001;0.917004;0.537083
ID33;0.561738;0.689149;0.711682;0.738407;0.795883;0.661676;0.682572;0.831129;0.826065;0.832329;0.883239;0.866654;0.755218;0.527824;0.801962;0.872882;0.670167;0.900714;0.684330;0.702994;0.755929;0.785047;0.853925;0.788347;0.570440;0.784143;0.704398;0.826073;0.781267;0.853241;0.945377;0.960578;0.924048;0.000000;0.723200;0.768941;0.550124;0.581028;0.947657;0.804060;0.826071
ID34;0.590279;0.608874;0.606824;0.653512;0.622545;0.733060;0.678058;0.658463;0.571873;0.645173;0.808356;0.783402;0.510105;0.591656;0.787983;0.874917;0.609416;0.875535;0.625122;0.731923;0.679741;0.690738;0.625025;0.548122;0.584290;0.752563;0.638666;0.759390;0.731638;0.638071;0.893317;0.942321;0.915744;0.723200;0.000000;0.377083;0.565271;0.666242;0.891836;0.691045;0.827125
ID35;0.707164;0.700403;0.666002;0.635419;0.687083;0.746198;0.721893;0.782869;0.643205;0.769194;0.888477;0.788704;0.540079;0.659880;0.868353;0.873738;0.685383;0.934545;0.694329;0.788119;0.802384;0.794693;0.679171;0.661170;0.611070;0.825921;0.756675;0.789387;0.738049;0.728114;0.926161;0.954648;0.942344;0.768941;0.377083;0.000000;0.651515;0.676879;0.927670;0.722233;0.900739
ID36;0.413496;0.503824;0.493220;0.607539;0.615565;0.613582;0.571305;0.648332;0.648907;0.668328;0.830089;0.809740;0.675973;0.387716;0.703350;0.831212;0.459915;0.833481;0.526840;0.626737;0.593135;0.614248;0.685885;0.581277;0.346376;0.702548;0.509959;0.699184;0.675405;0.723042;0.937322;0.949173;0.893169;0.550124;0.565271;0.651515;0.000000;0.510977;0.938833;0.727023;0.790888
ID37;0.535558;0.546908;0.560285;0.557516;0.711438;0.519782;0.570405;0.802793;0.755560;0.816123;0.916750;0.843628;0.695343;0.429654;0.843637;0.819960;0.541360;0.926721;0.611184;0.617740;0.744408;0.739980;0.776688;0.730379;0.479964;0.746245;0.592026;0.741363;0.644233;0.836067;0.959641;0.976334;0.948299;0.581028;0.666242;0.676879;0.510977;0.000000;0.960460;0.799333;0.893916
ID38;0.939089;0.942441;0.939028;0.949647;0.911278;0.962275;0.957049;0.923539;0.912734;0.869873;0.836239;0.887988;0.929313;0.944239;0.922110;0.977807;0.940665;0.943082;0.940750;0.963438;0.931673;0.934420;0.926080;0.870285;0.949106;0.949222;0.935692;0.958979;0.953129;0.782740;0.309428;0.839687;0.940001;0.947657;0.891836;0.927670;0.938833;0.960460;0.000000;0.816715;0.921476
ID39;0.761466;0.761065;0.748208;0.769284;0.744153;0.813115;0.785746;0.810768;0.725431;0.748159;0.819185;0.552625;0.768621;0.736082;0.853657;0.921528;0.758284;0.920540;0.759531;0.830489;0.819637;0.819816;0.758293;0.694871;0.716955;0.842360;0.785304;0.848307;0.785723;0.638021;0.822475;0.931968;0.917004;0.804060;0.691045;0.722233;0.727023;0.799333;0.816715;0.000000;0.872938
ID40;0.805527;0.855726;0.863327;0.896775;0.871192;0.895823;0.901968;0.653435;0.853581;0.701725;0.616825;0.882627;0.872485;0.861288;0.467670;0.952749;0.845822;0.481510;0.853973;0.916096;0.684857;0.686223;0.857382;0.815167;0.871854;0.845523;0.781102;0.898562;0.917150;0.806845;0.914535;0.838714;0.537083;0.826071;0.827125;0.900739;0.790888;0.893916;0.921476;0.872938;0.000000
