;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40
ID10;0.916358;0.938381;0.938833;0.953930;0.936428;0.960824;0.959258;0.812797;0.924977;0.734426;0.000000;0.914091;0.939989;0.937122;0.734103;0.981082;0.934250;0.785621;0.935113;0.969156;0.851449;0.850477;0.923740;0.886960;0.943690;0.939413;0.903475;0.956254;0.964266;0.817491;0.904947;0.873815;0.836990;0.938000;0.894023;0.940946;0.907157;0.956567;0.910817;0.900607;0.763008
ID11;0.907963;0.918806;0.910656;0.895897;0.903191;0.916603;0.931503;0.910972;0.886833;0.876154;0.914091;0.000000;0.898166;0.909945;0.933558;0.967632;0.906590;0.959825;0.900140;0.955022;0.907466;0.908994;0.893947;0.866903;0.908439;0.928028;0.916448;0.926844;0.923032;0.830853;0.939476;0.966127;0.951078;0.928564;0.878548;0.881872;0.894869;0.915182;0.940671;0.711859;0.937655
ID12;0.798842;0.838634;0.830810;0.845721;0.848712;0.867116;0.853431;0.878328;0.834497;0.870629;0.939989;0.898166;0.000000;0.794176;0.928849;0.938363;0.822162;0.962681;0.845632;0.885842;0.878590;0.879910;0.854670;0.824278;0.809805;0.867167;0.849704;0.884699;0.869939;0.860485;0.961341;0.982342;0.966742;0.860541;0.675589;0.701365;0.806663;0.820298;0.963361;0.869176;0.931901
ID13;0.504043;0.626563;0.649385;0.738549;0.771379;0.712332;0.685830;0.837211;0.806441;0.846469;0.937122;0.909945;0.794176;0.000000;0.878866;0.896884;0.636821;0.943255;0.692127;0.736393;0.800253;0.804549;0.827153;0.772740;0.504223;0.808019;0.678972;0.843297;0.785449;0.866198;0.971187;0.985173;0.968726;0.690948;0.743447;0.795094;0.558783;0.601060;0.971320;0.847980;0.925475
ID14;0.835273;0.882950;0.892401;0.928253;0.907365;0.921260;0.916904;0.759084;0.907027;0.798791;0.734103;0.933558;0.928849;0.878866;0.000000;0.961084;0.873273;0.578411;0.882558;0.929211;0.752562;0.757195;0.918203;0.876202;0.892125;0.901453;0.819984;0.928881;0.939977;0.894394;0.957654;0.904984;0.746476;0.890099;0.881421;0.929538;0.825843;0.915188;0.959477;0.921052;0.637296
ID15;0.917645;0.923883;0.851807;0.880020;0.884898;0.883544;0.896858;0.955723;0.936320;0.960300;0.981082;0.967632;0.938363;0.896884;0.961084;0.000000;0.902522;0.981325;0.897073;0.900503;0.932667;0.935395;0.944023;0.936092;0.905535;0.903467;0.925406;0.882188;0.867493;0.967785;0.988719;0.992581;0.986147;0.932127;0.933286;0.932615;0.907827;0.901075;0.988779;0.959162;0.975803
ID16;0.675866;0.563621;0.507951;0.708729;0.727011;0.782793;0.754960;0.810310;0.752438;0.821747;0.934250;0.906590;0.822162;0.636821;0.873273;0.902522;0.000000;0.938224;0.673844;0.809085;0.780414;0.785704;0.779113;0.715229;0.650445;0.815695;0.594307;0.818230;0.790235;0.846869;0.970039;0.983986;0.967351;0.802515;0.757313;0.813326;0.630057;0.702445;0.969425;0.862527;0.916472
ID17;0.915439;0.942719;0.946183;0.962756;0.947225;0.958429;0.958140;0.806161;0.944388;0.860342;0.785621;0.959825;0.962681;0.943255;0.578411;0.981325;0.938224;0.000000;0.937152;0.964610;0.810789;0.803324;0.949168;0.930616;0.952790;0.942020;0.890415;0.958489;0.969855;0.929408;0.969708;0.895648;0.664358;0.947764;0.933638;0.966165;0.909179;0.961967;0.970707;0.958626;0.650026
ID18;0.684355;0.690745;0.649638;0.649457;0.681312;0.705916;0.706286;0.810140;0.771234;0.839699;0.935113;0.900140;0.845632;0.692127;0.882558;0.897073;0.673844;0.937152;0.000000;0.753208;0.745442;0.750658;0.788521;0.742226;0.700996;0.766257;0.721364;0.796054;0.759731;0.859943;0.969203;0.980951;0.966658;0.812584;0.769323;0.819592;0.690105;0.758677;0.969471;0.863334;0.921235
ID19;0.754748;0.786164;0.765450;0.823957;0.832778;0.636908;0.551506;0.902582;0.863355;0.920547;0.969156;0.955022;0.885842;0.736393;0.929211;0.900503;0.809085;0.964610;0.753208;0.000000;0.841824;0.836097;0.863325;0.842923;0.769577;0.815967;0.808038;0.864534;0.761505;0.938436;0.984230;0.991271;0.976958;0.825598;0.845214;0.881506;0.770545;0.763707;0.981379;0.907396;0.956211
ID20;0.733916;0.805389;0.803053;0.847291;0.816460;0.827798;0.826541;0.665543;0.829725;0.758179;0.851449;0.907466;0.878590;0.800253;0.752562;0.932667;0.780414;0.810789;0.745442;0.841824;0.000000;0.524670;0.850376;0.791294;0.829869;0.805964;0.732981;0.858521;0.875004;0.854578;0.963547;0.956148;0.891125;0.861001;0.809340;0.890359;0.744614;0.853480;0.964628;0.900880;0.812956
ID21;0.764177;0.810976;0.797063;0.834088;0.803561;0.826113;0.809465;0.659933;0.818330;0.752187;0.850477;0.908994;0.879910;0.804549;0.757195;0.935395;0.785704;0.803324;0.750658;0.836097;0.524670;0.000000;0.839826;0.784237;0.830534;0.823042;0.755201;0.854148;0.859550;0.858238;0.965787;0.955101;0.890741;0.879581;0.817084;0.885603;0.761033;0.850562;0.966098;0.900988;0.813917
ID22;0.840211;0.801602;0.746385;0.800484;0.712339;0.861533;0.806477;0.804449;0.577105;0.816484;0.923740;0.893947;0.854670;0.827153;0.918203;0.944023;0.779113;0.949168;0.788521;0.863325;0.850376;0.839826;0.000000;0.653625;0.808442;0.850428;0.835620;0.834919;0.826563;0.767574;0.963567;0.981272;0.967457;0.921208;0.769250;0.808936;0.813680;0.874310;0.961622;0.862533;0.923216
