Taxa	TaxID
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JABABT01|s__JABABT01_sp016213525	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jababt01|s__jababt01_sp016213525
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACOWB01|s__JACOWB01_sp016177025	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacowb01|s__jacowb01_sp016177025
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACOWB01|s__JACOWB01_sp016187415	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacowb01|s__jacowb01_sp016187415
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACOWB01|s__JACOWB01_sp018920185	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacowb01|s__jacowb01_sp018920185
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACPAE01|s__JACPAE01_sp016181005	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacpae01|s__jacpae01_sp016181005
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACPAE01|s__JACPAE01_sp016187385	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacpae01|s__jacpae01_sp016187385
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACPJS01|s__JACPJS01_sp016187405	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacpjs01|s__jacpjs01_sp016187405
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JACQIA01|s__JACQIA01_sp016198705	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jacqia01|s__jacqia01_sp016198705
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__JAGVVV01|s__JAGVVV01_sp018304615	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__jagvvv01|s__jagvvv01_sp018304615
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__SCSR01|s__SCSR01_sp004297575	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__scsr01|s__scsr01_sp004297575
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__SpSt-734|s__SpSt-734_sp011363135	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__spst-734|s__spst-734_sp011363135
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__SpSt-742|s__SpSt-742_sp011335085	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__spst-742|s__spst-742_sp011335085
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__CG10238-14|f__SCSR01|g__SpSt-971|s__SpSt-971_sp011334385	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__cg10238-14|f__scsr01|g__spst-971|s__spst-971_sp011334385
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GCA-2688965|g__GCA-2688965|s__GCA-2688965_sp002688965	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gca-2688965|g__gca-2688965|s__gca-2688965_sp002688965
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__CAIKBN01|s__CAIKBN01_sp903825675	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__caikbn01|s__caikbn01_sp903825675
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__GW2011-AR5|s__GW2011-AR5_sp000806115	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__gw2011-ar5|s__gw2011-ar5_sp000806115
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__GW2011-AR5|s__GW2011-AR5_sp018304605	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__gw2011-ar5|s__gw2011-ar5_sp018304605
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__GW2011-AR5|s__GW2011-AR5_sp10154u	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__gw2011-ar5|s__gw2011-ar5_sp10154u
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPAG01|s__JACPAG01_sp016180945	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpag01|s__jacpag01_sp016180945
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPAH01|s__JACPAH01_sp016180925	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpah01|s__jacpah01_sp016180925
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPAH01|s__JACPAH01_sp016187365	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpah01|s__jacpah01_sp016187365
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPDL01|s__JACPDL01_sp016184005	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpdl01|s__jacpdl01_sp016184005
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPDL01|s__JACPDL01_sp018304565	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpdl01|s__jacpdl01_sp018304565
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPJW01|s__JACPJW01_sp016187335	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpjw01|s__jacpjw01_sp016187335
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPJW01|s__JACPJW01_sp016198625	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpjw01|s__jacpjw01_sp016198625
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPRW01|s__JACPRW01_sp016193585	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacprw01|s__jacprw01_sp016193585
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACPVU01|s__JACPVU01_sp016191585	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacpvu01|s__jacpvu01_sp016191585
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACQID01|s__JACQID01_sp016198645	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacqid01|s__jacqid01_sp016198645
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACQID01|s__JACQID01_sp016198685	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacqid01|s__jacqid01_sp016198685
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACQID01|s__JACQID01_sp018304585	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacqid01|s__jacqid01_sp018304585
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACQNW01|s__JACQNW01_sp016202845	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacqnw01|s__jacqnw01_sp016202845
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__GW2011-AR5|g__JACQNX01|s__JACQNX01_sp016202875	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__gw2011-ar5|g__jacqnx01|s__jacqnx01_sp016202875
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JACRAC01|g__JACPJV01|s__JACPJV01_sp016187395	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jacrac01|g__jacpjv01|s__jacpjv01_sp016187395
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JACRAC01|g__JACRAC01|s__JACRAC01_sp016213555	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jacrac01|g__jacrac01|s__jacrac01_sp016213555
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JACRAC01|g__JACRAC01|s__JACRAC01_sp016219465	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jacrac01|g__jacrac01|s__jacrac01_sp016219465
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JACRMX01|g__JACRMX01|s__JACRMX01_sp016219485	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jacrmx01|g__jacrmx01|s__jacrmx01_sp016219485
