Taxa	TaxID
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_sp._BT	2157|28889|183924|2281|118883|12914|513519
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_sulfidivorans_JP7	2157|28889|183924|2281|118883|12914|s__acidianus_sulfidivorans_jp7
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus_tengchongensis	2157|28889|183924|2281|118883|12914|146920
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_cuprina_Ar-4	2157|28889|183924|2281|118883|41980|s__metallosphaera_cuprina_ar-4
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_hakonensis	2157|28889|183924|2281|118883|41980|79601
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_prunae	2157|28889|183924|2281|118883|41980|47304
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_sedula	2157|28889|183924|2281|118883|41980|43687
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_sedula_DSM_5348	2157|28889|183924|2281|118883|41980|s__metallosphaera_sedula_dsm_5348
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_sp._J1	2157|28889|183924|2281|118883|41980|99938
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_sp._YN23	2157|28889|183924|2281|118883|41980|416876
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera_yellowstonensis_MK1	2157|28889|183924|2281|118883|41980|s__metallosphaera_yellowstonensis_mk1
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Stygiolobus|s__Stygiolobus_azoricus	2157|28889|183924|2281|118883|41674|41675
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Stygiolobus|s__Sulfolobus_sp.	2157|28889|183924|2281|118883|41674|2288
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobales_sp._MK5	2157|28889|183924|2281|118883|2284|1126828
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius	2157|28889|183924|2281|118883|2284|2285
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius_DSM_639	2157|28889|183924|2281|118883|2284|s__sulfolobus_acidocaldarius_dsm_639
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_HVE10/4	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_hve10/4
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_L.D.8.5	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_ld85
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_L.S.2.15	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_ls215
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_M.14.25	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_m1425
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_M.16.27	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_m1627
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_M.16.4	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_m164
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_REY15A	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_rey15a
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_Y.G.57.14	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_yg5714
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_islandicus_Y.N.15.51	2157|28889|183924|2281|118883|2284|s__sulfolobus_islandicus_yn1551
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_metallicus	2157|28889|183924|2281|118883|2284|47303
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_shibatae	2157|28889|183924|2281|118883|2284|2286
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_solfataricus	2157|28889|183924|2281|118883|2284|2287
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_solfataricus_98/2	2157|28889|183924|2281|118883|2284|s__sulfolobus_solfataricus_98/2
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_solfataricus_P2	2157|28889|183924|2281|118883|2284|s__sulfolobus_solfataricus_p2
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._CH7/99	2157|28889|183924|2281|118883|2284|175545
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._FF5/00	2157|28889|183924|2281|118883|2284|175543
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._HXB	2157|28889|183924|2281|118883|2284|578163
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._MK3	2157|28889|183924|2281|118883|2284|1134046
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._MV2/99	2157|28889|183924|2281|118883|2284|175544
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._MV5-C4	2157|28889|183924|2281|118883|2284|723286
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._MVSoil3/SC2	2157|28889|183924|2281|118883|2284|175548
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._MVSoil6/SC1	2157|28889|183924|2281|118883|2284|175549
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._NGB23/00	2157|28889|183924|2281|118883|2284|175547
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._NL8/00	2157|28889|183924|2281|118883|2284|175546
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._Sko-3	2157|28889|183924|2281|118883|2284|388343
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._Ta	2157|28889|183924|2281|118883|2284|388344
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_sp._Tu_B-1	2157|28889|183924|2281|118883|2284|388342
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_tokodaii	2157|28889|183924|2281|118883|2284|111955
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_tokodaii_str._7	2157|28889|183924|2281|118883|2284|s__sulfolobus_tokodaii_str_7
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_vallisabyssus	2157|28889|183924|2281|118883|2284|452950
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfurisphaera|s__Sulfurisphaera_ohwakuensis	2157|28889|183924|2281|118883|69655|69656
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum_pendens	2157|28889|183924|2266|114378|2268|2269
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum_pendens_Hrk_5	2157|28889|183924|2266|114378|2268|s__thermofilum_pendens_hrk_5
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga|s__Caldivirga_maquilingensis	2157|28889|183924|2266|2267|76886|76887
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga|s__Caldivirga_maquilingensis_IC-167	2157|28889|183924|2266|2267|76886|s__caldivirga_maquilingensis_ic-167
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_aerophilum	2157|28889|183924|2266|2267|2276|13773
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_aerophilum_str._IM2	2157|28889|183924|2266|2267|2276|s__pyrobaculum_aerophilum_str_im2
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_calidifontis_JCM_11548	2157|28889|183924|2266|2267|2276|s__pyrobaculum_calidifontis_jcm_11548
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_islandicum	2157|28889|183924|2266|2267|2276|2277
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_oguniense	2157|28889|183924|2266|2267|2276|99007
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_oguniense_TE7	2157|28889|183924|2266|2267|2276|s__pyrobaculum_oguniense_te7
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_sp._1860	2157|28889|183924|2266|2267|2276|1104324
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_sp._AQ1.S2	2157|28889|183924|2266|2267|2276|396374
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum_sp._M0H	2157|28889|183924|2266|2267|2276|278049
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermocladium|s__Thermocladium_modestius	2157|28889|183924|2266|2267|62608|62609
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_sp._IC-062	2157|28889|183924|2266|2267|2270|278052
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_tenax	2157|28889|183924|2266|2267|2270|2271
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_tenax_Kra_1	2157|28889|183924|2266|2267|2270|s__thermoproteus_tenax_kra_1
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus_uzoniensis_768-20	2157|28889|183924|2266|2267|2270|s__thermoproteus_uzoniensis_768-20
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_distributa	2157|28889|183924|2266|2267|164450|164451
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta_moutnovskia_768-28	2157|28889|183924|2266|2267|164450|s__vulcanisaeta_moutnovskia_768-28
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus	2157|28890|183980|2231|2232|2233|2234
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus_DSM_4304	2157|28890|183980|2231|2232|2233|s__archaeoglobus_fulgidus_dsm_4304
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_infectus	2157|28890|183980|2231|2232|2233|403219
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_lithotrophicus	2157|28890|183980|2231|2232|2233|138903
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus	2157|28890|183980|2231|2232|2233|84156
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus_DSM_5631	2157|28890|183980|2231|2232|2233|s__archaeoglobus_profundus_dsm_5631
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sp._Arc22	2157|28890|183980|2231|2232|2233|403220
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sp._PM70-1	2157|28890|183980|2231|2232|2233|s__archaeoglobus_sp_pm70-1
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus	2157|28890|183980|2231|2232|2233|58290
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus_SNP6	2157|28890|183980|2231|2232|2233|s__archaeoglobus_veneficus_snp6
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus_DSM_10642	2157|28890|183980|2231|2232|54260|s__ferroglobus_placidus_dsm_10642
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_ahangari	2157|28890|183980|2231|2232|190818|113653
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_sp._AF2T819	2157|28890|183980|2231|2232|190818|568412
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_sp._SBH6	2157|28890|183980|2231|2232|190818|565033
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Thermococcus_sp._AF1T1423	2157|28890|183980|2231|2232|190818|568419
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_litoreus	2157|28890|183963|2235|2236|367188|553468
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus	2157|28890|183963|2235|2236|367188|367189
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus_DX253	2157|28890|183963|2235|2236|367188|s__haladaptatus_paucihalophilus_dx253
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_sp._YIM_93656	2157|28890|183963|2235|2236|367188|1008152
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__haloarchaeon_Nie_11-1	2157|28890|183963|2235|2236|367188|421483
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali	2157|28890|183963|2235|2236|332246|413810
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali_B3	2157|28890|183963|2235|2236|332246|s__halalkalicoccus_jeotgali_b3
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_sp._YIM_93664	2157|28890|183963|2235|2236|332246|1008153
