Taxa	TaxID
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_curvus	2|1224|29547|213849|72294|194|200
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_lari	2|1224|29547|213849|72294|194|201
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_mucosalis	2|1224|29547|213849|72294|194|202
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_rectus	2|1224|29547|213849|72294|194|203
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_showae	2|1224|29547|213849|72294|194|204
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__campylobacteraceae|g__campylobacter|s__campylobacter_sputorum	2|1224|29547|213849|72294|194|206
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__helicobacteraceae|g__helicobacter|s__helicobacter_pylori	2|1224|29547|213849|72293|209|210
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__helicobacteraceae|g__helicobacter|s__helicobacter_cinaedi	2|1224|29547|213849|72293|209|213
k__bacteria|p__proteobacteria|c__epsilonproteobacteria|o__campylobacterales|f__helicobacteraceae|g__helicobacter|s__helicobacter_mustelae	2|1224|29547|213849|72293|209|217
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__alteromonadales|f__pseudoalteromonadaceae|g__pseudoalteromonas|s__pseudoalteromonas_carrageenovora	2|1224|1236|135622|267888|53246|227
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__hyphomicrobiales|f__brucellaceae|g__brucella|s__brucella_abortus	2|1224|28211|356|118882|234|235
