Taxa	TaxID
k__Archaea|p__Candidatus_Diapherotrites|c__Candidatus_Diapherotrites_unclassified|o__Candidatus_Diapherotrites_unclassified|f__Candidatus_Diapherotrites_unclassified|g__Candidatus_Iainarchaeum|s__Candidatus_Iainarchaeum_andersonii|t__SGB45703	2157|743725|c__candidatus_diapherotrites_unclassified|o__candidatus_diapherotrites_unclassified|f__candidatus_diapherotrites_unclassified|1462418|1462419
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB10580|o__OFGB10580|f__FGB10580	2157|51967|c__cfgb10580|o__ofgb10580|f__fgb10580
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB10580|o__OFGB10580|f__FGB10580|g__GGB32203	2157|51967|c__cfgb10580|o__ofgb10580|f__fgb10580|g__ggb32203
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB10580|o__OFGB10580|f__FGB10580|g__GGB32203|s__GGB32203_SGB46300|t__SGB46300	2157|51967|c__cfgb10580|o__ofgb10580|f__fgb10580|g__ggb32203|s__ggb32203_sgb46300
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB10580|o__OFGB10580|f__FGB10580|g__GGB32203|s__GGB32203_SGB58640|t__SGB58640	2157|51967|c__cfgb10580|o__ofgb10580|f__fgb10580|g__ggb32203|s__ggb32203_sgb58640
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB42504|o__OFGB42504|f__FGB42504	2157|51967|c__cfgb42504|o__ofgb42504|f__fgb42504
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB42504|o__OFGB42504|f__FGB42504|g__GGB46968	2157|51967|c__cfgb42504|o__ofgb42504|f__fgb42504|g__ggb46968
k__Archaea|p__Candidatus_Korarchaeota|c__CFGB42504|o__OFGB42504|f__FGB42504|g__GGB46968|s__GGB46968_SGB64885|t__SGB64885	2157|51967|c__cfgb42504|o__ofgb42504|f__fgb42504|g__ggb46968|s__ggb46968_sgb64885
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Korarchaeum	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|498845
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Korarchaeum|s__Candidatus_Korarchaeum_SGB58638|t__SGB58638	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|498845|s__candidatus_korarchaeum_sgb58638
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Korarchaeum|s__Candidatus_Korarchaeum_SGB58639|t__SGB58639	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|498845|s__candidatus_korarchaeum_sgb58639
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Korarchaeum|s__Candidatus_Korarchaeum_cryptofilum|t__SGB903	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|498845|498846
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Methanodesulfokores	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|2545700
k__Archaea|p__Candidatus_Korarchaeota|c__Candidatus_Korarchaeota_unclassified|o__Candidatus_Korarchaeota_unclassified|f__Candidatus_Korarchaeota_unclassified|g__Candidatus_Methanodesulfokores|s__Candidatus_Methanodesulfokores_washburnensis|t__SGB27555	2157|51967|c__candidatus_korarchaeota_unclassified|o__candidatus_korarchaeota_unclassified|f__candidatus_korarchaeota_unclassified|2545700|2478471
