Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.000164072973752098	0.000207398621771346	0.000122274413191766	0.000232428579076739	0.000148831449871335	0.000252318869283115	0.00023348147369646	0.000264106070279946	0.000332512296117002	0.000124450066821908	5.62112393642363e-05	9.9628993488842e-05	0.000118287496047751	0.000256472038136042	0.000221731262810038	0.000281398279823351
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0.000172276622439703	0.000229002644872528	0.00034801179139195	0.000506402363109223	0.000253745422731457	0.000575287021965501	0.000563468623187456	0.000267774210144945	0.000466589834873857	0.000287790779525662	0.000132096412505955	0.00016130408469622	5.53686151712875e-05	0.000286843726862679	0.000296181175870343	0.000617972692945398
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	0.000172276622439703	0.000229002644872528	0.00034801179139195	0.000506402363109223	0.000253745422731457	0.000575287021965501	0.000563468623187456	0.000267774210144945	0.000466589834873857	0.000287790779525662	0.000132096412505955	0.00016130408469622	5.53686151712875e-05	0.000286843726862679	0.000296181175870343	0.000617972692945398
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales	0.000590662705507552	0.00054874218677002	0.000918625719620193	0.00115091446161187	0.00086737017097147	0.00144326393229942	0.0012203298358535	0.00073362797299985	0.000783012826340036	0.000540579977757662	0.000921864325573475	0.000552703701973814	0.00022147446068515	0.000688424944470429	0.000887734289425591	0.00206450698759288
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae	0.000114851081626469	0.000123142931676737	0.000134815378647332	0.000193129060875358	0.00015249123962227	0.000269140127235322	0.000270838509487893	0.000212752112169956	0.000182345452709324	9.72266147046154e-05	5.34006773960245e-05	5.4558734529604e-05	0.000118287496047751	0.000131610651148758	0.000169940018942	0.00043221304417312
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma	0.000114851081626469	0.000123142931676737	0.000134815378647332	0.000193129060875358	0.00015249123962227	0.000269140127235322	0.000270838509487893	0.000212752112169956	0.000182345452709324	9.72266147046154e-05	5.34006773960245e-05	5.4558734529604e-05	0.000118287496047751	0.000131610651148758	0.000169940018942	0.00043221304417312
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma|s__cuniculiplasma_divulgatum	0.000114851081626469	0.000123142931676737	0.000134815378647332	0.000193129060875358	0.00015249123962227	0.000269140127235322	0.000270838509487893	0.000212752112169956	0.000182345452709324	9.72266147046154e-05	5.34006773960245e-05	5.4558734529604e-05	0.000118287496047751	0.000131610651148758	0.000169940018942	0.00043221304417312
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae	7.3832838188444e-05	0.000114501322436264	0.000150491585466789	0.000370538314470163	0.000170790188376942	0.000289325636777971	0.000329987149490996	9.53716364899804e-05	0.000171619249608775	7.38922271755077e-05	8.9937982982778e-05	6.40472100999699e-05	5.03351047011704e-05	0.000114737490745072	0.000141616682451667	0.00051037923301294
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma	7.3832838188444e-05	0.000114501322436264	0.000150491585466789	0.000370538314470163	0.000170790188376942	0.000289325636777971	0.000329987149490996	9.53716364899804e-05	0.000171619249608775	7.38922271755077e-05	8.9937982982778e-05	6.40472100999699e-05	5.03351047011704e-05	0.000114737490745072	0.000141616682451667	0.00051037923301294
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidarmanus	4.10182434380245e-05	3.67268392720092e-05	1.56762068194572e-05	8.98274701745851e-05	2.43985983395632e-05	8.74705413514797e-05	8.71664168466783e-05	1.4672559459997e-05	2.14524062010969e-05	3.11125167054769e-05	2.81056196821181e-05	2.13490700333233e-05	2.26507971155267e-05	4.04955849688488e-05	4.53173383845333e-05	8.27641999480443e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidiphilum	0	1.29624138607091e-05	6.89753100056118e-05	0.000132495518507513	9.39346036073181e-05	9.08347929419213e-05	0.00015565431579764	3.30132587849932e-05	1.07262031005484e-05	1.16671937645539e-05	5.62112393642363e-06	2.13490700333233e-05	2.01340418804682e-05	1.34985283229496e-05	4.53173383845333e-05	9.47190288294285e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae	0.000147665676376888	0.000168511380189219	9.71924822806348e-05	0.000398609398899721	0.000240326193644697	0.000279232882006647	0.000457623688445061	0.000117380475679976	0.000134077538756856	0.000175007906468308	0.000682966558275471	0.000294142742681343	1.51005314103511e-05	0.000138359915310233	0.00019988183180321	0.000394509353085678
