Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rosebushvirus|s__rosebushvirus_ta17a	0	0	0	0	0	0	0	0	0	0	1.42995542113975e-05	0	0	0	0	1.16227200000744e-05	0	0	0	0	0	0	0	0	0	0	0	1.91306511752265e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rosemountvirus	0	0	7.00840391730532e-06	0	0	0	0	0	0	0	0	9.74728411422725e-06	0	0	0	0	7.68642343953306e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rosemountvirus|s__rosemountvirus_birk	0	0	0	0	0	0	0	0	0	0	0	9.74728411422725e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rosemountvirus|s__rosemountvirus_bp63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68642343953306e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rosemountvirus|s__rosemountvirus_upfbp2	0	0	7.00840391730532e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__roufvirus	3.82798807964512e-05	9.82622646045566e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32454400001488e-05	0	2.74558729210413e-05	0	0	0	0	0	8.64757416808175e-05	0	0	9.52695341843761e-06	7.6522604700906e-06	0	0	0	0	3.48297773001454e-05	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__roufvirus|s__roufvirus_pis4a	3.82798807964512e-05	9.82622646045566e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32454400001488e-05	0	2.74558729210413e-05	0	0	0	0	0	8.64757416808175e-05	0	0	9.52695341843761e-06	7.6522604700906e-06	0	0	0	0	3.48297773001454e-05	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rowavirus	1.27599602654837e-05	0	0	1.43553500379843e-05	0	0	0	0	0	0	0	0	0	0	0	1.16227200000744e-05	0	0	0	0	0	0	0	0	6.24156296725901e-06	0	9.52695341843761e-06	1.91306511752265e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__rowavirus|s__rowavirus_rowa	1.27599602654837e-05	0	0	1.43553500379843e-05	0	0	0	0	0	0	0	0	0	0	0	1.16227200000744e-05	0	0	0	0	0	0	0	0	6.24156296725901e-06	0	9.52695341843761e-06	1.91306511752265e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ruthyvirus	1.27599602654837e-05	0	0	2.87107000759685e-05	2.51231063615599e-05	0	5.70286857140576e-05	0	1.96329926158351e-05	1.53232305231397e-05	2.14493313170962e-05	9.74728411422725e-06	0	0	0	2.32454400001488e-05	1.53728468790661e-05	2.74558729210413e-05	1.5434378194434e-05	3.11881889081077e-05	0	0	0	5.76504944538783e-05	2.4966251869036e-05	1.89939042862974e-05	2.85808602553128e-05	1.53045209401812e-05	0	0	0	0	0	1.56059290669948e-05
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ruthyvirus|s__ruthyvirus_dumpsterdude	1.27599602654837e-05	0	0	2.87107000759685e-05	2.51231063615599e-05	0	1.42571714285144e-05	0	1.96329926158351e-05	0	7.14977710569873e-06	0	0	0	0	0	7.68642343953306e-06	0	1.5434378194434e-05	0	0	0	0	5.76504944538783e-05	6.24156296725901e-06	0	1.90539068368752e-05	9.56532558761326e-06	0	0	0	0	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ruthyvirus|s__ruthyvirus_ruthy	0	0	0	0	0	0	4.27715142855432e-05	0	0	1.53232305231397e-05	7.14977710569873e-06	9.74728411422725e-06	0	0	0	1.16227200000744e-05	7.68642343953306e-06	0	0	3.11881889081077e-05	0	0	0	0	6.24156296725901e-06	1.89939042862974e-05	9.52695341843761e-06	5.73919535256795e-06	0	0	0	0	0	0
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ryyoungvirus	1.27599602654837e-05	1.63770441007594e-05	0	1.43553500379843e-05	1.256155318078e-05	0	1.42571714285144e-05	1.87857069324519e-05	0	3.06464610462794e-05	7.14977710569873e-06	0	0	2.42071961700343e-05	0	2.32454400001488e-05	2.30592703185992e-05	2.74558729210413e-05	3.08687563888679e-05	1.55940944540539e-05	0	0	1.95334894840483e-05	0	6.24156296725901e-06	0	4.7634767092188e-06	7.6522604700906e-06	0	2.7515970957443e-05	0	4.58484755565271e-05	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__ryyoungvirus|s__ryyoungvirus_bcepc6b	1.27599602654837e-05	1.63770441007594e-05	0	1.43553500379843e-05	1.256155318078e-05	0	1.42571714285144e-05	1.87857069324519e-05	0	3.06464610462794e-05	7.14977710569873e-06	0	0	2.42071961700343e-05	0	2.32454400001488e-05	2.30592703185992e-05	2.74558729210413e-05	3.08687563888679e-05	1.55940944540539e-05	0	0	1.95334894840483e-05	0	6.24156296725901e-06	0	4.7634767092188e-06	7.6522604700906e-06	0	2.7515970957443e-05	0	4.58484755565271e-05	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__saclayvirus	0	4.91311323022783e-05	4.20504235038319e-05	1.43553500379843e-05	1.256155318078e-05	0	0	1.87857069324519e-05	0	0	2.14493313170962e-05	9.74728411422725e-06	0	4.84143923400685e-05	0	0	0	0	0	0	1.3351371926898e-05	2.70875824156625e-05	0	0	0.000137314385279698	1.89939042862974e-05	4.7634767092188e-06	1.72175860577039e-05	0	0	5.42063298899666e-05	0	5.22446659502181e-05	0.000109241503468964
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__saclayvirus|s__acinetobacter_phage_vb_abam_acibel004	0	0	0	0	0	0	0	0	0	0	1.42995542113975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99325037380721e-05	1.89939042862974e-05	0	1.91306511752265e-06	0	0	0	0	0	7.80296453349742e-06
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__saclayvirus|s__acinetobacter_phage_vb_abam_phiabaa1	0	1.63770441007594e-05	7.00840391730532e-06	0	0	0	0	0	0	0	7.14977710569873e-06	0	0	2.42071961700343e-05	0	0	0	0	0	0	0	2.70875824156625e-05	0	0	2.4966251869036e-05	0	0	7.6522604700906e-06	0	0	0	0	3.48297773001454e-05	5.4620751734482e-05
k__viruses|k__heunggongvirae|p__uroviricota|c__caudoviricetes|g__saclayvirus|s__saclayvirus_aci011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3351371926898e-05	0	0	0	6.24156296725901e-06	0	0	0	0	0	0	0	0	0
