clade_name	reSRR9697535_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697569_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__	0.066949341664807	0	0.0114455762847659	0.0859598853868195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612182430364249	0.0697350069735007	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__|t__	0.066949341664807	0	0.0114455762847659	0.0859598853868195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242248062015504	0.0138753989177189	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.0446328944432046	0.113744075829384	0.0629506695662127	0.0286532951289398	0	0	0	0	0.0602409638554217	0	0.139737991266376	0.0853060354020047	0.0940733772342427	0	0	0	0	0	0.214263850627487	0.592747559274756	0	0	0.0559440559440559	0	0	0.0407166123778502	0.0212652844231792	0.002106149957877	0.0934797849964945	0	0	0	0.0292483182217023	0.00882768361581921
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0697350069735007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0697350069735007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0697350069735007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_paludicola_SANAE	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0.0348675034867503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_paludicola_SANAE|t__Unclassified_Methanocella_paludicola_SANAE	0	0	0	0	0	0	0	0	0	0	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella_sp._HZ254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348675034867503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0.0223164472216023	0.018957345971564	0.00572278814238297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407166123778502	0.0106326422115896	0	0	0	0	0	0.0292483182217023	0
