clade_name	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0.116822429906542	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Unclassified_Methanosphaera	0	0.116822429906542	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Unclassified_Methanothermobacter	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Unclassified_Methanothermobacter|t__	0	0	0	0.0639795265515035	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae	0.198807157057654	0.116822429906542	0.072463768115942	0	0	0.0705218617771509	0.0829875518672199	0	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__	0.198807157057654	0.116822429906542	0.072463768115942	0	0	0.0705218617771509	0.0829875518672199	0	0.240963855421687	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__|t__	0	0	0	0	0	0.0705218617771509	0.0829875518672199	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales	0	0.467289719626168	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales|g__	0	0.467289719626168	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales|g__|s__	0	0.467289719626168	0.072463768115942	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci	0.099403578528827	0.233644859813084	0.072463768115942	0	0.105652403592182	0.0705218617771509	0	0.0648929266709929	0.120481927710843	0.136054421768707	0.0591715976331361	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.099403578528827	0.233644859813084	0.072463768115942	0	0.105652403592182	0.0705218617771509	0	0.0648929266709929	0.120481927710843	0.136054421768707	0.0591715976331361	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0	0	0	0	0	0	0	0	0	0	0	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus	0	0	0	0	0	0	0	0	0	0	0	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Unclassified_Methanocaldococcus	0	0	0	0	0	0	0	0	0	0	0	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Unclassified_Methanocaldococcus|t__	0	0	0	0	0	0	0	0	0	0	0	0.0649772579597141
