Taxa	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales	0.000258195186954832	0.000407898991157022	0.000601558035311457	0.000485391217854033	0.000561627371471576	0.000327501192104339	0.000598987471578044	0.000421644413211525	0.000458879620697165	0.000790817814357495	0.000549010134727087	0.000428641989637415
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae	0.000229506832848739	0.000326319192925617	0.00037597377206966	0.000298702287910174	0.000347674087101452	0.000196500715262604	0.000479189977262436	0.000210822206605762	0.000458879620697165	0.000626064103033017	0.000387536565689709	0.000197834764448038
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus	0.000229506832848739	0.000326319192925617	0.00037597377206966	0.000298702287910174	0.000347674087101452	0.000196500715262604	0.000479189977262436	0.000210822206605762	0.000458879620697165	0.000626064103033017	0.000387536565689709	0.000197834764448038
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_saccharovorans	8.60650623182772e-05	0.000217546128617078	0.000263181640448762	0.000149351143955087	0.00024069744491639	0.000196500715262604	0.000279527486736421	7.02740688685875e-05	0.000282387458890563	0.000263605938119165	0.000129178855229903	6.59449214826792e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_sp._7a	0.000143441770530462	0.000108773064308539	0.000112792131620898	0.000149351143955087	0.000106976642185062	0	0.000199662490526015	0.000140548137737175	0.000176492161806602	0.000362458164913852	0.000258357710459806	0.000131889842965358
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae	2.86883541060924e-05	8.15797982314044e-05	0.000225584263241796	0.000186688929943859	0.000213953284370124	0.000131000476841736	0.000119797494315609	0.000210822206605762	0	0.000164753711324478	0.000161473569037379	0.000230807225189377
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera	2.86883541060924e-05	8.15797982314044e-05	0.000225584263241796	0.000186688929943859	0.000213953284370124	0.000131000476841736	0.000119797494315609	0.000210822206605762	0	0.000164753711324478	0.000161473569037379	0.000230807225189377
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera|s__caldisphaera_lagunensis	2.86883541060924e-05	8.15797982314044e-05	0.000225584263241796	0.000186688929943859	0.000213953284370124	0.000131000476841736	0.000119797494315609	0.000210822206605762	0	0.000164753711324478	0.000161473569037379	0.000230807225189377
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales	0.00129097593477416	0.00152282290031955	0.00139110295665774	0.0011948091516407	0.00114999890348942	0.00124450452999649	0.00159729992420812	0.00108924806746311	0.000988356106116971	0.00144983265965541	0.00171161983179621	0.00125295350817091
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae	0.000975404039607142	0.000924571046622583	0.00105272656179505	0.000896106863730523	0.000802324816387966	0.00091700333789215	0.00115804244505089	0.000737877723120169	0.00088246080903301	0.00108737449474156	0.0011949044108766	0.000956201361498849
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum	0.000229506832848739	0.000190352862539944	0.000338376394862694	0.000149351143955087	0.000213953284370124	0.000196500715262604	0.000319459984841624	0.000245959241040056	0.000317685891251884	0.000230655195854269	0.000258357710459806	0.000362697068154736
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_camini	8.60650623182772e-05	8.15797982314044e-05	0.000225584263241796	7.46755719775436e-05	8.02324816387966e-05	9.82503576313018e-05	0.000159729992420812	0.000140548137737175	0.000141193729445282	6.59014845297913e-05	9.68841414224271e-05	0.000197834764448038
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_pernix	0.000143441770530462	8.15797982314044e-05	0.000112792131620898	7.46755719775436e-05	0.000106976642185062	9.82503576313018e-05	0.000159729992420812	0.000105411103302881	0.000176492161806602	0.000164753711324478	0.000129178855229903	0.000164862303706698
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus	5.73767082121848e-05	8.15797982314044e-05	0.000225584263241796	7.46755719775436e-05	0.000133720802731328	0.00016375059605217	0.000119797494315609	0.000105411103302881	3.52984323613204e-05	9.88522267946869e-05	0.000161473569037379	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus|s__desulfurococcus_amylolyticus	2.86883541060924e-05	2.71932660771348e-05	7.51947544139321e-05	0	8.02324816387966e-05	0.000131000476841736	3.9932498105203e-05	3.51370344342937e-05	0	0	9.68841414224271e-05	0
