Taxa	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus|s__desulfurococcus_mucosus	0.000179802254720274	0.000217283751515026	0.000168371975450019	0.000143298472909117	0.000131149364174768	8.24652038072535e-05	0.000113774732098431	0.000122083575974441	0.00021129406553273	0.000205024225252407	0.000198900376062866
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus	0.000341004276193623	0.000301782988215314	0.000347968749263373	0.000375305524285782	0.000384704801579318	0.000206163009518134	0.000417174017694246	0.000438064596143581	0.000503377038475034	0.000574067830706741	0.00051329129306546
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus|s__ignicoccus_hospitalis	0.000310003887448749	0.000253497710100864	0.000280619959083365	0.000272949472207841	0.000306015183074458	0.000178674608249049	0.000332896438362075	0.000272892699236985	0.000279653910263908	0.000319837791393756	0.000301558634675958
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus|s__ignicoccus_islandicus	3.10003887448749e-05	4.82852781144502e-05	6.73487901800076e-05	0.00010235605207794	7.86896185048605e-05	2.74884012690845e-05	8.4277579332171e-05	0.000165171896906596	0.000223723128211126	0.000254230039312985	0.000211732658389502
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus	0.000136401710477449	9.65705562289005e-05	0.000179596773813354	0.000109179788883136	0.000139892655119752	9.62094044417958e-05	0.000257046616963121	0.000251348538770907	0.000416373599726262	0.000410048450504815	0.000340055481655867
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus|s__staphylothermus_hellenicus	8.06010107366746e-05	4.2249618350144e-05	0.000112247983633346	4.77661576363722e-05	5.2459745669907e-05	6.87210031727113e-05	0.000130630247964865	0.000143627736440518	0.000205079534193532	0.0002214261632726	0.000211732658389502
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus|s__staphylothermus_marinus	5.58006997407747e-05	5.43209378787565e-05	6.73487901800076e-05	5.45898944415682e-05	8.7432909449845e-05	2.74884012690845e-05	0.000113774732098431	9.33580286863369e-05	0.00021129406553273	0.000188622287232215	0.000121906682103047
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius	0.000316203965197724	0.000271604689393783	0.000213271168903357	0.000286596945818233	0.000227325564569597	0.000192418808883592	0.000147485763831299	0.000222622991482803	0.00042258813106546	0.000385445543474526	0.000417049175615687
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius|s__thermogladius_calderae	0.000316203965197724	0.000271604689393783	0.000213271168903357	0.000286596945818233	0.000227325564569597	0.000192418808883592	0.000147485763831299	0.000222622991482803	0.00042258813106546	0.000385445543474526	0.000417049175615687
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermosphaera	0.000161202021473349	0.000168998473400576	8.97983869066768e-05	0.000177417156935097	7.86896185048605e-05	0.00012369780571088	0.00029075764869599	0.000251348538770907	0.000304512035620699	0.000401847481494718	0.000436297599105641
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermosphaera|s__thermosphaera_aggregans	0.000161202021473349	0.000168998473400576	8.97983869066768e-05	0.000177417156935097	7.86896185048605e-05	0.00012369780571088	0.00029075764869599	0.000251348538770907	0.000304512035620699	0.000401847481494718	0.000436297599105641
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae	0.000626207852646472	0.000639779935016465	0.000359193547626707	0.000730139838155975	0.000480881001974148	0.000481047022208979	0.000467740565293549	0.000538604011651944	0.000820318136774129	0.000738087210908667	0.000840514492394691
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__hyperthermus	0.000217002721214124	0.000199176772222107	0.000101023185270011	0.000225183314571469	7.86896185048605e-05	0.00012369780571088	0.000130630247964865	0.000186716057372674	0.000205079534193532	0.0002214261632726	0.000263061787696048
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__hyperthermus|s__hyperthermus_butylicus	0.000217002721214124	0.000199176772222107	0.000101023185270011	0.000225183314571469	7.86896185048605e-05	0.00012369780571088	0.000130630247964865	0.000186716057372674	0.000205079534193532	0.0002214261632726	0.000263061787696048
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrodictium	0.000223202798963099	0.00021124809175072	0.000112247983633346	0.000252478261792253	0.000227325564569597	0.000219907210152676	0.000164341279697733	0.000172353283728622	0.000329370160977491	0.000262431008323081	0.000243813364206094
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrodictium|s__pyrodictium_delaneyi	0.000223202798963099	0.00021124809175072	0.000112247983633346	0.000252478261792253	0.000227325564569597	0.000219907210152676	0.000164341279697733	0.000172353283728622	0.000329370160977491	0.000262431008323081	0.000243813364206094
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrolobus	0.000186002332469249	0.000223319411279332	0.000134697580360015	0.000252478261792253	0.000166122527954706	0.00012369780571088	0.00017276903763095	0.000179534670550648	0.000279653910263908	0.000254230039312985	0.000320807058165913
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__pyrodictiaceae|g__pyrolobus|s__pyrolobus_fumarii	0.000186002332469249	0.000223319411279332	0.000134697580360015	0.000252478261792253	0.000166122527954706	0.00012369780571088	0.00017276903763095	0.000179534670550648	0.000279653910263908	0.000254230039312985	0.000320807058165913
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales	6.20007774897497e-05	0.000156927153871963	7.85735885433422e-05	0.000163769683324705	1.7486581889969e-05	2.74884012690845e-05	0.000126416368998256	0.00015799051008457	0.000198865002854334	0.000164019380201926	0.000243813364206094
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales|f__fervidicoccaceae	6.20007774897497e-05	0.000156927153871963	7.85735885433422e-05	0.000163769683324705	1.7486581889969e-05	2.74884012690845e-05	0.000126416368998256	0.00015799051008457	0.000198865002854334	0.000164019380201926	0.000243813364206094
k__archaea|p__crenarchaeota|c__thermoprotei|o__fervidicoccales|f__fervidicoccaceae|g__fervidicoccus	6.20007774897497e-05	0.000156927153871963	7.85735885433422e-05	0.000163769683324705	1.7486581889969e-05	2.74884012690845e-05	0.000126416368998256	0.00015799051008457	0.000198865002854334	0.000164019380201926	0.000243813364206094
