Taxonomy	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella sp900544655	0	0	0.250220754042268	0.245397476198165	0.315703374361003	0	0	0.396775970911483	0	0	0	0	0	0	0.0429741991324778	0.0673755525291189
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter	0	0	0	0	0.928827116215617	0.376916093279696	0	3.62340546910175	0	0	0	1.85204678931816	0	0	0	0.0779866939872983
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter provencensis	0	0	0	0	0	0	0	0	0	0	0	1.85204678931816	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	9.70169787185165	10.745905887017	17.4160048720052	3.48984183907383	10.5415138434771	5.74097628167071	1.04573899202328	16.3893399142056	13.1438766268634	3.72433580408777	8.76422752611276	1.51865903114886	10.5010399718583	12.0287424831276	1.72201178888691	3.5621460292644
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	9.70169787185165	10.745905887017	17.4160048720052	3.39192064444433	10.5415138434771	5.74097628167071	1.04573899202328	16.3893399142056	12.778238754983	3.72433580408777	8.76422752611276	1.51865903114886	10.5010399718583	11.6134064760068	1.72201178888691	3.5621460292644
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella bouchesdurhonensis	0	0	0	0.110729941723108	0	0	0	0	0	0	0	0	0	0	0	0.0799614857043568
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp900548365	0	0	0	0.146857026940384	0.517880173533276	0.564572483819738	0	0.675294906732221	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp900555555	0	0	0	0	0	0	0	10.3486468993517	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp902362275	0.913885313242437	0	13.9821313010306	0	8.41467758714202	2.96968229421521	0.643902235869068	0	1.02918648048396	0.400231008782995	7.54547452836515	0	0	0.570772117452446	0.486544609261523	0.955074232022363
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris	7.32682662246695	8.2572628186491	2.03744242994749	0	0	0	0	0	0	1.44908692973128	0.539892779569733	0	10.5010399718583	7.96261778411849	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei	1.46098593614226	1.97648458141882	1.3964311410271	1.58884620758988	1.60895608280185	2.20672150363576	0.401836756154211	5.36539810812168	6.63174520370044	1.87501786557349	0.678860218177877	1.51865903114886	0	1.94133074944772	1.23546717962539	2.52711031153768
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415336007120775	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma burkinafasonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415336007120775	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	0	0.748789005154527	0	0.934110446530436	0.690759053713481	0.576430173104969	0.297146536979342	0.525221984635394	1.27953601992081	0.183959359943703	0	0	0.489014904607412	0.742732270622094	0.194745196957894	0.432875202483914
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAAEEV01	0	0.397058798090938	0	0.623027060780448	0.415618050404808	0.386498889012366	0.297146536979342	0.279034638331941	0.514834393388079	0	0	0	0	0.391996035362981	0.131083507623152	0.15637878332538
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia_A	0	0.351730207063589	0	0.233787749672525	0.275141003308674	0.189931284092603	0	0	0.764701626532734	0.183959359943703	0	0	0.489014904607412	0.350736235259113	0.0636616893347425	0.276496419158534
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia_A|s__Slackia_A piriformis	0	0.351730207063589	0	0.233787749672525	0.275141003308674	0.189931284092603	0	0	0.764701626532734	0.183959359943703	0	0	0.316918750378383	0.350736235259113	0.0636616893347425	0.276496419158534
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__UMGS124	0	0	0	0.135521700030562	0.118118186141479	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__UMGS124|g__UMGS124	0	0	0	0.135521700030562	0.118118186141479	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__UMGS124|g__UMGS124|s__UMGS124 sp900555105	0	0	0	0.135521700030562	0.118118186141479	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota	16.9318159667675	11.7991003963045	6.84078891160774	3.53275452594903	2.37104368916135	11.7101906461741	17.6456899074191	5.4133956761592	1.21863862509493	18.1844218068393	38.2179339955892	24.1553266256575	6.1103721269693	9.11366353426345	2.26234875414732	3.72975186497266
k__Bacteria|p__Bacteroidota|c__Bacteroidia	16.9318159667675	11.7991003963045	6.84078891160774	3.53275452594903	2.37104368916135	11.7101906461741	17.6456899074191	5.4133956761592	1.21863862509493	18.1844218068393	38.2179339955892	24.1553266256575	6.1103721269693	9.11366353426345	2.26234875414732	3.72975186497266
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	16.9318159667675	11.7991003963045	6.84078891160774	3.53275452594903	2.37104368916135	11.7101906461741	17.6456899074191	5.4133956761592	1.21863862509493	18.1844218068393	38.2179339955892	24.1553266256575	6.1103721269693	9.11366353426345	2.26234875414732	3.72975186497266
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	16.9318159667675	11.7991003963045	6.84078891160774	3.08433747472633	2.27340444069559	9.40786642656476	17.246434554656	5.4133956761592	1.21863862509493	18.1844218068393	38.2179339955892	24.1553266256575	6.1103721269693	8.92934812043194	1.61283007735386	2.97439403928051
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Alloprevotella	2.03242093677107	0	0	0.413728501557861	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Alloprevotella|s__Alloprevotella sp000437675	2.03242093677107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0	0	0	1.82292530285462	1.03004671301931	2.41972702531104	1.19817539370976	0.881912846103766	0	0.360240984548768	0	0	6.1103721269693	0.328987781826886	1.03306802236605	2.13535193970094
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides finegoldii	0	0	0	0.086489909825243	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0.312364200274802	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp900766005	0	0	0	0.766780191247224	0.565314259869051	0	0.420207754018189	0	0	0.360240984548768	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris	0	0	0	0.44304850556	0.261913981283346	0.429361740440347	0	0.881912846103766	0	0	0	0	4.52432194531124	0.328987781826886	0.137355289822139	0.788230260327911
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis	0	0	0	0	0	0	0	0	0	0	0	0	1.27368598138326	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	2.53720886567688	0.969552753343055	0	0.419684009770175	0	0	0.915387388138933	0.559854012807745	1.21863862509493	0	1.73894342912677	0.153071945775347	0	1.26883923139999	0.579762054987815	0.839042099579578
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprocola	0	0	0	0.254678810496227	0	0	0	0	0	0	0.390414433676154	0	0	0.59765256229825	0.375992164192391	0.353407580991796
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola coprophilus	0.99901014114353	0.969552753343055	0	0	0	0	0	0	0	0	1.34852899545062	0.153071945775347	0	0.671186669101737	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius_A	1.53819872453335	0	0	0	0	0	0.915387388138933	0.559854012807745	0	0	0	0	0	0	0	0.485634518587782
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus	0	0	0	0.165005199273948	0	0	0	0	1.21863862509493	0	0	0	0	0	0.203769890795425	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella	12.3621861643195	10.8295476429615	6.84078891160774	0.42799966054367	1.24335772767628	6.98813940125372	15.1328717728073	3.97162881724769	0	17.8241808222906	36.4789905664624	24.0022546798821	0	7.33152110720507	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella copri	12.3621861643195	10.8295476429615	5.71399987342209	0	0	4.48305876673608	15.1328717728073	3.97162881724769	0	16.0982043705063	36.4789905664624	22.2930158578808	0	7.01450832272452	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella lascolaii	0	0	0	0.42799966054367	0	1.14341797302641	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp002251385	0	0	0	0	0	0.627383604592959	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp900544825	0	0	1.12678903818565	0	1.24335772767628	0.734279056898271	0	0	0	1.72597645178428	0	1.70923882200129	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp900553465	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317012784480548	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae	0	0	0	0.119094963225921	0	0.655641913138965	0	0	0	0	0	0	0	0.184315413831514	0.205425930271976	0.210614654531786
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter	0	0	0	0.119094963225921	0	0.655641913138965	0	0	0	0	0	0	0	0.184315413831514	0.205425930271976	0.210614654531786
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter sp905193145	0	0	0	0.119094963225921	0	0.655641913138965	0	0	0	0	0	0	0	0.184315413831514	0.205425930271976	0.210614654531786
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	0	0	0	0.121282998671364	0	0.685361163353783	0.173231821478442	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Limisoma	0	0	0	0.121282998671364	0	0.685361163353783	0.173231821478442	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Limisoma|s__Limisoma sp900541935	0	0	0	0.121282998671364	0	0.348834283558996	0.173231821478442	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Limisoma|s__Limisoma sp900556245	0	0	0	0	0	0.336526879794787	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0	0	0	0	0	0.265478435521677	0	0	0	0	0	0	0	0	0.043985534814764	0.249294575874646
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0	0	0	0	0	0.265478435521677	0	0	0	0	0	0	0	0	0.043985534814764	0.249294575874646
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes dispar	0	0	0	0	0	0.265478435521677	0	0	0	0	0	0	0	0	0.043985534814764	0.068473450447004
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180821125427642
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0	0	0	0.208039089325416	0.0976392484657558	0.387317415650208	0.226023531284647	0	0	0	0	0	0	0	0.361082520548205	0.295448595285714
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0	0	0	0.208039089325416	0.0976392484657558	0.387317415650208	0.226023531284647	0	0	0	0	0	0	0	0.361082520548205	0.295448595285714
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae	0	0	0	0.134129729980951	0.0976392484657558	0	0	0	0	0	0	0	0	0	0.125540060717848	0.194379912461794
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__UBA932	0	0	0	0	0	0.308525291944698	0	0	0	0	0	0	0	0	0.0390246911585128	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__UBA932|g__Cryptobacteroides	0	0	0	0	0	0.308525291944698	0	0	0	0	0	0	0	0	0.0390246911585128	0
k__Bacteria|p__Campylobacterota	2.89395559419452	0.307870546716892	0.655576639469075	1.21888855248187	1.56607966907755	0.224486360412747	0.655263389796062	1.79833412115595	0.656586370630596	0.411773879261192	0.31340769598009	0.192724030982706	0	0.472542070049856	0.121296525487981	0.666974588033294
k__Bacteria|p__Campylobacterota|c__Campylobacteria	2.89395559419452	0.307870546716892	0.655576639469075	1.21888855248187	1.56607966907755	0.224486360412747	0.655263389796062	1.79833412115595	0.656586370630596	0.411773879261192	0.31340769598009	0.192724030982706	0	0.472542070049856	0.121296525487981	0.666974588033294
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales	2.89395559419452	0.307870546716892	0.655576639469075	1.21888855248187	1.56607966907755	0.224486360412747	0.655263389796062	1.79833412115595	0.656586370630596	0.411773879261192	0.31340769598009	0.192724030982706	0	0.472542070049856	0.121296525487981	0.666974588033294
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae	2.89395559419452	0.307870546716892	0.53184221632998	0.250767283687822	0	0	0.154600139849582	0.681778553136557	0.656586370630596	0	0.31340769598009	0.192724030982706	0	0.472542070049856	0.0812355621005915	0.19995910481205
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter_D	2.89395559419452	0.307870546716892	0.53184221632998	0.250767283687822	0	0	0.154600139849582	0.681778553136557	0.656586370630596	0	0.31340769598009	0.192724030982706	0	0.472542070049856	0.0812355621005915	0.19995910481205
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter_D|s__Campylobacter_D helveticus	0	0	0.53184221632998	0.250767283687822	0	0	0.154600139849582	0.681778553136557	0	0	0	0	0	0	0.0812355621005915	0.19995910481205
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter_D|s__Campylobacter_D upsaliensis	2.89395559419452	0.307870546716892	0	0	0	0	0	0	0.656586370630596	0	0.31340769598009	0.192724030982706	0	0.472542070049856	0	0
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae	0	0	0.123734423139094	0.968121268794052	1.56607966907755	0.224486360412747	0.500663249946481	1.1165555680194	0	0.411773879261192	0	0	0	0	0.0400609633873895	0.467015483221245
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter_B	0	0	0	0.968121268794052	0.213247818807469	0.224486360412747	0.500663249946481	1.1165555680194	0	0.411773879261192	0	0	0	0	0.0400609633873895	0.467015483221245
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter_B|s__Helicobacter_B canis	0	0	0	0.968121268794052	0.213247818807469	0.224486360412747	0.500663249946481	1.1165555680194	0	0.411773879261192	0	0	0	0	0.0400609633873895	0.467015483221245
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter_C	0	0	0.123734423139094	0	1.35283185027008	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter_C|s__Helicobacter_C labetoulli	0	0	0	0	1.35283185027008	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiota	0	0	0	0	0.116063111643467	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiota|c__Chlamydiia	0	0	0	0	0.116063111643467	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales	0	0	0	0	0.116063111643467	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae	0	0	0	0	0.116063111643467	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota_I	0	0	0	0	0	0	0	0	0	0	0	0.256450277213405	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia	0	0	0	0	0	0	0	0	0	0	0	0.256450277213405	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia|o__Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0.256450277213405	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0.256450277213405	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0.129184431166645	0	0	0	0
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella	0	0	0	0	0	0	0	0	0	0	0	0.127265846046761	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Desulfobacterota_I|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella excrementigallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0773074929369614	0.0719246272250353
k__Bacteria|p__Firmicutes	0.569977870446923	0.324048137547078	9.06270558845342	6.57255201821155	4.25218328941681	8.23696804740584	2.76498674487913	4.66750908031736	0.384752407355958	0.581646825959691	2.95074127596866	0.460487381297905	1.16266477161812	0.454009896764062	3.5582623292451	6.47194307529274
k__Bacteria|p__Firmicutes_A	6.15413296962097	11.716270560747	5.673866782118	25.606154870952	15.5365995038498	22.630259485531	12.7178074843718	12.3714055971736	25.6968332286008	10.7440945347919	4.69658867987559	3.43144482451562	11.968924403547	15.2202175462451	12.0394478324486	24.0485866773853
k__Bacteria|p__Firmicutes_A|c__Clostridia	6.15413296962097	11.716270560747	5.673866782118	25.606154870952	15.5365995038498	22.630259485531	12.7178074843718	12.3714055971736	25.6968332286008	10.7440945347919	4.69658867987559	3.43144482451562	11.968924403547	15.2202175462451	12.0394478324486	24.0485866773853
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales	0	0	0	0.701150667367695	0	0	0.264581147286018	0	0	0	0	0	0	0	0.336276526784615	0.378100202040169
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0	0	0.701150667367695	0	0	0.264581147286018	0	0	0	0	0	0	0	0.336276526784615	0.378100202040169
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_P	0	0	0	0.701150667367695	0	0	0.264581147286018	0	0	0	0	0	0	0	0.336276526784615	0.378100202040169
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_P|s__Clostridium_P perfringens	0	0	0	0.701150667367695	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_P|s__Clostridium_P ventriculi	0	0	0	0	0	0	0.264581147286018	0	0	0	0	0	0	0	0.336276526784615	0.378100202040169
