Taxa	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales	0.000659225362982773	0.000918521500126049	0.00080365544232736	0.00110949423538802	0.00109876950376497	0.000637912068593128	0.000665512726606033	0.00113292509587546	0.000783389809145688	0.000937212698008631	0.00231240989175958	0.00198382387895437	0.000619182415760348	0.000490356025559667	0.00152461581923437	0.0017611679492065	0.000787420043224569	0.0021057888278454	0.00084928531110576	0.000600421972699108	0.000815338933052346	0.00108649350691657	0.000363519677690223	0.00105025240737354	0.000534249469320664	0.000540329936150649	0.000971638181061545	0.000702871092458284	0.000741041989044121	0.000863009449566409	0.00119640499868522	0.00153733029134889	0.00185421405760953	0.000849011194080886	0.000473864997504943	0.000274474584168146	0.000657743348930677	0.000809595384320489	0.00143028853789723	0.000879562025520308	0.00133440426677755
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae	0.000659225362982773	0.000918521500126049	0.00080365544232736	0.00110949423538802	0.00109876950376497	0.000637912068593128	0.000665512726606033	0.00113292509587546	0.000783389809145688	0.000937212698008631	0.00231240989175958	0.00198382387895437	0.000619182415760348	0.000490356025559667	0.00152461581923437	0.0017611679492065	0.000787420043224569	0.0021057888278454	0.00084928531110576	0.000600421972699108	0.000815338933052346	0.00108649350691657	0.000363519677690223	0.00105025240737354	0.000534249469320664	0.000540329936150649	0.000971638181061545	0.000702871092458284	0.000741041989044121	0.000863009449566409	0.00119640499868522	0.00153733029134889	0.00185421405760953	0.000849011194080886	0.000473864997504943	0.000274474584168146	0.000657743348930677	0.000809595384320489	0.00143028853789723	0.000879562025520308	0.00133440426677755
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halobiforma	0	0	1.52024245324178e-05	2.52401883171524e-05	5.9073629234676e-05	8.21933946648267e-06	7.84274256943137e-06	3.13894074793611e-05	2.1976281774714e-05	1.75376627621376e-05	9.12426794640073e-05	6.71842942263848e-05	3.77873637027193e-05	0	4.5521060556463e-05	1.08669351041125e-05	0	5.67469067244052e-05	2.05921078053166e-05	7.5119817853329e-06	0	1.83081416040561e-05	0	3.49072331930513e-05	0	8.04746713415859e-06	9.11724834776249e-06	1.84792399895136e-05	1.36597601667119e-05	2.72378397703684e-05	6.39687161816873e-05	5.78859998724314e-05	5.02182973935916e-05	2.63416360932017e-05	1.96566221187236e-05	1.47039955804364e-05	0	1.23552709253729e-05	7.55774237347365e-05	2.49521141991577e-05	4.7985463304166e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halobiforma|s__halobiforma_lacisalsi	0	0	1.52024245324178e-05	2.52401883171524e-05	5.9073629234676e-05	8.21933946648267e-06	7.84274256943137e-06	3.13894074793611e-05	2.1976281774714e-05	1.75376627621376e-05	9.12426794640073e-05	6.71842942263848e-05	3.77873637027193e-05	0	4.5521060556463e-05	1.08669351041125e-05	0	5.67469067244052e-05	2.05921078053166e-05	7.5119817853329e-06	0	1.83081416040561e-05	0	3.49072331930513e-05	0	8.04746713415859e-06	9.11724834776249e-06	1.84792399895136e-05	1.36597601667119e-05	2.72378397703684e-05	6.39687161816873e-05	5.78859998724314e-05	5.02182973935916e-05	2.63416360932017e-05	1.96566221187236e-05	1.47039955804364e-05	0	1.23552709253729e-05	7.55774237347365e-05	2.49521141991577e-05	4.7985463304166e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halopiger	1.17349017494316e-05	1.14271039707625e-05	1.03652894539212e-05	2.63142388838398e-05	2.67385900746428e-05	1.50687890218849e-05	9.52333026288095e-06	3.02268368319773e-05	1.68053919453695e-05	3.50753255242751e-05	5.43277022762792e-05	0.000102663640615599	2.25398309805694e-05	0	2.5138496128196e-05	0	1.19790067427673e-05	3.14500928834053e-05	2.00355643511188e-05	1.77068142082847e-05	1.53180670599074e-05	8.83841318816501e-06	9.82485615378981e-06	2.50421455515368e-05	0	1.72445724303398e-05	1.30246404968036e-05	1.45194028489035e-05	1.84406762250611e-05	2.22203429705637e-05	3.1667681278063e-05	3.77782314956921e-05	3.32213351988375e-05	2.70170626596941e-05	1.3338422151991e-05	1.71546615105091e-05	1.50820130964996e-05	1.88580450966218e-05	2.67078113949821e-05	3.34585167670523e-05	4.33911104346182e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halopiger|s__halopiger_xanaduensis	1.17349017494316e-05	1.14271039707625e-05	1.03652894539212e-05	2.63142388838398e-05	2.67385900746428e-05	1.50687890218849e-05	9.52333026288095e-06	3.02268368319773e-05	1.68053919453695e-05	3.50753255242751e-05	5.43277022762792e-05	0.000102663640615599	2.25398309805694e-05	0	2.5138496128196e-05	0	1.19790067427673e-05	3.14500928834053e-05	2.00355643511188e-05	1.77068142082847e-05	1.53180670599074e-05	8.83841318816501e-06	9.82485615378981e-06	2.50421455515368e-05	0	1.72445724303398e-05	1.30246404968036e-05	1.45194028489035e-05	1.84406762250611e-05	2.22203429705637e-05	3.1667681278063e-05	3.77782314956921e-05	3.32213351988375e-05	2.70170626596941e-05	1.3338422151991e-05	1.71546615105091e-05	1.50820130964996e-05	1.88580450966218e-05	2.67078113949821e-05	3.34585167670523e-05	4.33911104346182e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halostagnicola	8.97374839662413e-06	1.41478430114202e-05	0	1.23515815169044e-05	1.24365535230897e-05	5.47955964432178e-06	0	2.20888423002911e-05	0	1.61346497411665e-05	0.000107958895549016	2.18915116018557e-05	0	0	5.5032923956321e-05	8.69354808328999e-05	0	6.42675811095673e-05	1.00177821755594e-05	5.36570127523778e-06	9.0515850808544e-06	1.13636740990693e-05	0	0	0	1.03467434582039e-05	1.17221764471232e-05	1.51793757056719e-05	0	1.21853493709543e-05	1.33004261367865e-05	4.63087998979452e-05	4.32649946775558e-05	8.10511879790822e-06	7.02022218525841e-06	0	0	1.43061031767476e-05	1.13650261255243e-05	7.37221555884204e-06	3.93072412172423e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halostagnicola|s__halostagnicola_larsenii	8.97374839662413e-06	1.41478430114202e-05	0	1.23515815169044e-05	1.24365535230897e-05	5.47955964432178e-06	0	2.20888423002911e-05	0	1.61346497411665e-05	0.000107958895549016	2.18915116018557e-05	0	0	5.5032923956321e-05	8.69354808328999e-05	0	6.42675811095673e-05	1.00177821755594e-05	5.36570127523778e-06	9.0515850808544e-06	1.13636740990693e-05	0	0	0	1.03467434582039e-05	1.17221764471232e-05	1.51793757056719e-05	0	1.21853493709543e-05	1.33004261367865e-05	4.63087998979452e-05	4.32649946775558e-05	8.10511879790822e-06	7.02022218525841e-06	0	0	1.43061031767476e-05	1.13650261255243e-05	7.37221555884204e-06	3.93072412172423e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena	0.000111826710788701	0.000140390134497939	8.84504700067946e-05	0.000140163598952698	0.000139289399458605	9.36091439238305e-05	5.65797856794691e-05	0.000238908268037359	0.000107295963958898	0.000173272108089919	0.000422780965150019	0.000374420336362774	0.000117339708340023	7.12428257030406e-05	0.000398139425165483	0.000100700265298109	0.000129373272821887	0.00061874639259743	0.000110195603931154	6.5461555557901e-05	0.000220023145042307	0.000158460122159244	3.53694821536433e-05	0.00016998304859225	0.000104181822792615	8.85221384757445e-05	0.000205138087824656	0.000112195385650618	0.000119522901458729	0.000141923480908762	0.000224840537074248	0.000252261094180912	0.000567080465952249	0.00031609963311842	7.58183996007909e-05	4.16613208112364e-05	0.000189363053322717	0.000149563805938725	0.000358566574260291	0.00017976864093484	0.00037418451704206
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_daqingensis	1.38057667640371e-05	7.1827510673364e-05	3.24779069556199e-05	3.65177192673695e-05	2.67385900746428e-05	1.36988991108045e-05	8.96313436506442e-06	2.32514129476749e-05	1.61590307167015e-05	1.89406757831086e-05	3.3432432170018e-05	1.50975942081764e-05	1.19328516955956e-05	2.37476085676802e-05	1.83443079854403e-05	1.52137091457575e-05	6.70824377594967e-05	1.70924417844594e-05	2.33748250763053e-05	0	6.96275775450338e-06	8.20709796043893e-06	9.82485615378981e-06	1.21416463280178e-05	1.52461204086753e-05	1.20712007012379e-05	6.57744345088579e-05	1.38594299921352e-05	2.59535443167526e-05	1.7202846170759e-05	1.14003652601027e-05	5.24020630424116e-05	2.08599081481073e-05	1.95873704282782e-05	0	1.14364410070061e-05	2.01093507953328e-05	3.51149805247441e-05	2.3866554863601e-05	1.75798986403156e-05	2.3992731652083e-05
