;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID25;0.534742;0.920463;0.912752;0.904223;0.669541;0.910228;0.921535;0.902357;0.613521;0.906954;0.896409;0.820930;0.921123;0.895532;0.908162;0.913434;0.869205;0.793137;0.905697;0.908129;0.915993;0.869685;0.632114;0.903181;0.910688;0.000000;0.475911;0.905972;0.907539;0.536011;0.876054;0.927296;0.914801;0.901298;0.931836;0.851089;0.915728;0.922368;0.917663;0.927955;0.903685;0.905826;0.916619;0.916235;0.910461;0.922678;0.891525;0.892836;0.912125;0.924751;0.902826;0.917404;0.911930;0.900683;0.901622;0.894800;0.887702;0.902036;0.905810;0.909630;0.897435;0.901662
ID26;0.517142;0.924067;0.921532;0.912863;0.651645;0.914754;0.923209;0.916560;0.570707;0.909588;0.897092;0.825950;0.920231;0.892363;0.906171;0.907847;0.873575;0.775595;0.907230;0.905366;0.910971;0.881839;0.630583;0.907664;0.920589;0.475911;0.000000;0.904022;0.901893;0.540536;0.860907;0.933911;0.917234;0.902478;0.921067;0.846349;0.916145;0.925430;0.922620;0.927506;0.896657;0.896070;0.920513;0.921358;0.914586;0.915225;0.900681;0.902699;0.916350;0.921055;0.905439;0.914087;0.911689;0.911220;0.912133;0.903166;0.898167;0.898931;0.899884;0.918018;0.905201;0.909739
ID27;0.878150;0.716253;0.687795;0.857005;0.843261;0.635177;0.768198;0.820534;0.934667;0.633877;0.705627;0.910435;0.952174;0.670009;0.723791;0.825340;0.933120;0.911778;0.705641;0.749370;0.843646;0.867601;0.907398;0.658932;0.701057;0.905972;0.904022;0.000000;0.604761;0.863624;0.948308;0.984353;0.684036;0.735494;0.878069;0.917614;0.675554;0.681356;0.769651;0.774557;0.736170;0.795831;0.690212;0.715057;0.717621;0.847240;0.673303;0.758685;0.746041;0.810717;0.698965;0.804599;0.686512;0.706657;0.738356;0.701737;0.758332;0.712293;0.784836;0.780967;0.671816;0.679613
ID28;0.868888;0.744289;0.637422;0.826641;0.813753;0.702684;0.725401;0.819384;0.927530;0.633527;0.710719;0.895313;0.947950;0.685355;0.682465;0.772893;0.925894;0.904328;0.743486;0.704186;0.816053;0.859929;0.895647;0.682422;0.675708;0.907539;0.901893;0.604761;0.000000;0.858406;0.946110;0.983147;0.649472;0.661458;0.826005;0.899708;0.695310;0.644384;0.773927;0.770295;0.704016;0.753746;0.708163;0.740106;0.652997;0.822678;0.658182;0.758400;0.713603;0.783440;0.683934;0.823279;0.648016;0.695752;0.739128;0.644450;0.718410;0.691890;0.772795;0.765656;0.676720;0.654317
ID29;0.536543;0.894905;0.877654;0.883723;0.658372;0.879007;0.896469;0.864720;0.686812;0.873193;0.884272;0.876751;0.964390;0.891537;0.879963;0.919876;0.926900;0.850755;0.883877;0.886285;0.927132;0.922268;0.706784;0.852775;0.905471;0.536011;0.540536;0.863624;0.858406;0.000000;0.932201;0.976163;0.891124;0.879702;0.931618;0.893157;0.874889;0.892461;0.910744;0.909216;0.882271;0.900422;0.903609;0.906124;0.869951;0.919594;0.873279;0.901590;0.900386;0.926149;0.882343;0.924395;0.876267;0.884412;0.895868;0.863400;0.879002;0.880103;0.906415;0.901284;0.862516;0.883871
ID30;0.897438;0.955360;0.955436;0.923106;0.850449;0.952240;0.953052;0.949267;0.724861;0.948560;0.940328;0.624058;0.563464;0.933121;0.946137;0.933166;0.553284;0.561200;0.950761;0.943268;0.934319;0.601083;0.713098;0.947922;0.948434;0.876054;0.860907;0.948308;0.946110;0.932201;0.000000;0.825180;0.949176;0.939144;0.933134;0.560715;0.953418;0.951138;0.940828;0.960962;0.942709;0.939119;0.944396;0.941805;0.947868;0.941120;0.941167;0.929856;0.942583;0.939815;0.941017;0.936972;0.950594;0.939588;0.935189;0.942655;0.933579;0.943610;0.938630;0.948024;0.943556;0.944736
ID31;0.957437;0.987802;0.987641;0.963153;0.926089;0.986581;0.986082;0.982475;0.892323;0.982982;0.979633;0.879901;0.882399;0.974185;0.983353;0.964095;0.858629;0.873297;0.985675;0.982012;0.961719;0.861050;0.870028;0.984274;0.984794;0.927296;0.933911;0.984353;0.983147;0.976163;0.825180;0.000000;0.985236;0.980512;0.955715;0.860778;0.985959;0.984601;0.967476;0.988728;0.975199;0.967683;0.979531;0.974944;0.983898;0.956677;0.981031;0.966451;0.979815;0.966571;0.980685;0.959997;0.985876;0.978331;0.971325;0.980990;0.971986;0.980640;0.967934;0.984348;0.982939;0.983369
ID32;0.877968;0.621811;0.650467;0.858617;0.843515;0.734751;0.756209;0.808762;0.927358;0.696997;0.695893;0.889540;0.942180;0.710322;0.715034;0.832477;0.924035;0.913132;0.697507;0.705342;0.853380;0.849843;0.893291;0.693432;0.624239;0.914801;0.917234;0.684036;0.649472;0.891124;0.949176;0.985236;0.000000;0.718415;0.881303;0.900161;0.732368;0.657210;0.809843;0.758263;0.762082;0.815854;0.659038;0.712173;0.746623;0.883762;0.635794;0.768735;0.716628;0.800549;0.612208;0.805373;0.696833;0.670722;0.734719;0.689419;0.761289;0.735111;0.822074;0.740817;0.652489;0.645975
ID33;0.886652;0.756523;0.755101;0.846077;0.847029;0.738167;0.761263;0.841808;0.917462;0.697075;0.622287;0.881924;0.936173;0.658464;0.615509;0.757835;0.914592;0.890243;0.717420;0.617121;0.790064;0.852466;0.881024;0.721305;0.713320;0.901298;0.902478;0.735494;0.661458;0.879702;0.939144;0.980512;0.718415;0.000000;0.758483;0.892584;0.784375;0.758471;0.811522;0.819352;0.694667;0.745120;0.790452;0.804172;0.713253;0.829942;0.710841;0.777448;0.745164;0.812696;0.734431;0.832115;0.722226;0.734851;0.766405;0.671960;0.714902;0.733240;0.792559;0.762548;0.663490;0.660684
ID34;0.938180;0.909233;0.894590;0.926911;0.921884;0.895806;0.890954;0.925073;0.927545;0.875607;0.862618;0.916365;0.948534;0.870333;0.826382;0.656807;0.930046;0.916583;0.868214;0.814190;0.650317;0.903744;0.917064;0.875609;0.868951;0.931836;0.921067;0.878069;0.826005;0.931618;0.933134;0.955715;0.881303;0.758483;0.000000;0.920777;0.895318;0.884585;0.782031;0.916860;0.822799;0.759562;0.864244;0.838530;0.854111;0.728319;0.835733;0.742356;0.836004;0.769036;0.837637;0.750568;0.870789;0.832302;0.783851;0.819894;0.747738;0.833064;0.763186;0.874159;0.847628;0.826116
ID35;0.856614;0.906682;0.904464;0.856799;0.802703;0.912210;0.897809;0.896493;0.726938;0.905495;0.890599;0.596837;0.683843;0.890217;0.888432;0.905469;0.516256;0.570462;0.900842;0.886963;0.915234;0.609330;0.662411;0.895385;0.901845;0.851089;0.846349;0.917614;0.899708;0.893157;0.560715;0.860778;0.900161;0.892584;0.920777;0.000000;0.908000;0.907071;0.915164;0.920080;0.897735;0.906684;0.906193;0.909453;0.887779;0.922576;0.881544;0.895261;0.893239;0.909911;0.888871;0.916983;0.902694;0.888440;0.894700;0.879849;0.878764;0.899674;0.914204;0.894756;0.884625;0.887901
