;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID10;0.777879;0.497416;0.542817;0.689772;0.731792;0.460624;0.499993;0.691079;0.849824;0.486365;0.000000;0.785331;0.879297;0.503473;0.429403;0.690175;0.846453;0.810726;0.490392;0.513813;0.735474;0.753311;0.803098;0.545511;0.537976;0.812265;0.813388;0.545150;0.551253;0.792552;0.887377;0.960080;0.533616;0.451681;0.758425;0.802774;0.581491;0.588274;0.730634;0.602980;0.553054;0.654640;0.655300;0.689150;0.533593;0.767383;0.522520;0.650272;0.582222;0.703687;0.558732;0.745418;0.569387;0.590352;0.651651;0.558442;0.643586;0.593306;0.697949;0.584408;0.490088;0.531409
ID11;0.722802;0.825016;0.822617;0.682948;0.639751;0.829109;0.828827;0.825278;0.518511;0.821113;0.785331;0.000000;0.551255;0.791978;0.809643;0.835244;0.462776;0.455549;0.828650;0.807714;0.848085;0.463666;0.480761;0.813457;0.812068;0.696252;0.703505;0.835595;0.810467;0.780549;0.453550;0.785556;0.801055;0.788788;0.845640;0.425351;0.843908;0.827471;0.842583;0.862312;0.826575;0.836209;0.819199;0.824619;0.811957;0.870513;0.790418;0.808786;0.812055;0.847057;0.799193;0.853429;0.815334;0.805396;0.812459;0.796344;0.798849;0.816602;0.847691;0.816504;0.789479;0.799548
ID12;0.892192;0.900094;0.900857;0.841110;0.814908;0.903821;0.900490;0.911571;0.674224;0.893729;0.879297;0.551255;0.000000;0.868877;0.885384;0.895513;0.482045;0.489703;0.892829;0.882556;0.905945;0.501238;0.652140;0.898203;0.893469;0.853779;0.852248;0.908714;0.901050;0.931230;0.392238;0.789547;0.890681;0.880005;0.902106;0.519575;0.906639;0.900101;0.910422;0.911952;0.892191;0.901494;0.907346;0.909882;0.890129;0.924290;0.881841;0.892506;0.898446;0.914498;0.891387;0.917313;0.902665;0.890167;0.895999;0.889149;0.896154;0.889367;0.905906;0.894298;0.886648;0.886802
ID13;0.782066;0.577895;0.594476;0.766629;0.732451;0.601566;0.654919;0.740203;0.838588;0.465098;0.503473;0.791978;0.868877;0.000000;0.517704;0.720549;0.841918;0.800526;0.530951;0.541499;0.736264;0.725092;0.798940;0.574406;0.547076;0.810826;0.805646;0.503770;0.521323;0.804299;0.874627;0.949670;0.550775;0.490828;0.770434;0.802154;0.629514;0.599217;0.734712;0.668262;0.587274;0.666807;0.633813;0.666637;0.632912;0.800302;0.572855;0.691501;0.646327;0.756837;0.589509;0.746578;0.612259;0.612239;0.667776;0.591674;0.663391;0.573635;0.700649;0.655783;0.532021;0.547758
ID14;0.755175;0.528284;0.542810;0.691224;0.717815;0.496137;0.490130;0.680178;0.854073;0.519552;0.429403;0.809643;0.885384;0.517704;0.000000;0.542427;0.855477;0.827259;0.455404;0.312598;0.610521;0.762928;0.811328;0.499822;0.535871;0.831774;0.828440;0.567142;0.517986;0.785656;0.897781;0.967251;0.556462;0.444574;0.704132;0.799260;0.575471;0.561843;0.694857;0.558438;0.476236;0.563891;0.660494;0.686068;0.471544;0.730144;0.468807;0.616214;0.569326;0.670830;0.529683;0.705742;0.478560;0.548822;0.613645;0.439094;0.540187;0.562705;0.669500;0.540117;0.451426;0.485742
ID15;0.820347;0.749894;0.725923;0.821099;0.802767;0.722552;0.680245;0.799605;0.847178;0.719353;0.690175;0.835244;0.895513;0.720549;0.542427;0.000000;0.850987;0.835098;0.662571;0.543478;0.344869;0.793594;0.821927;0.682687;0.682789;0.840661;0.831246;0.702621;0.629850;0.851639;0.874707;0.930679;0.713029;0.610092;0.488989;0.827266;0.719012;0.688054;0.570974;0.728980;0.586677;0.501556;0.680059;0.653663;0.639862;0.523652;0.588723;0.470835;0.612190;0.563446;0.625189;0.545629;0.681395;0.572172;0.519200;0.575249;0.478335;0.653164;0.569944;0.687531;0.642452;0.633882
ID16;0.806051;0.877881;0.865913;0.794157;0.727599;0.874278;0.863372;0.862427;0.581179;0.867352;0.846453;0.462776;0.482045;0.841918;0.855477;0.850987;0.000000;0.375073;0.872581;0.852820;0.866055;0.416635;0.531093;0.861122;0.859887;0.768667;0.775529;0.874625;0.862013;0.863759;0.382442;0.752279;0.858797;0.842626;0.869239;0.347942;0.873972;0.861540;0.862463;0.892343;0.858849;0.861467;0.864926;0.865939;0.849106;0.871214;0.842086;0.834061;0.851886;0.862245;0.845903;0.860720;0.864054;0.843883;0.842596;0.845722;0.836803;0.849344;0.856630;0.851632;0.846656;0.847619
ID17;0.668519;0.855188;0.838747;0.807061;0.585551;0.846402;0.853375;0.844166;0.461965;0.824055;0.810726;0.455549;0.489703;0.800526;0.827259;0.835098;0.375073;0.000000;0.834740;0.823585;0.846520;0.462079;0.420075;0.819833;0.832419;0.657189;0.633446;0.837861;0.825364;0.740273;0.390047;0.775091;0.840150;0.802197;0.846011;0.399054;0.846215;0.833868;0.836025;0.871214;0.832777;0.837385;0.849920;0.850149;0.826233;0.850761;0.812363;0.822348;0.844330;0.864233;0.819460;0.860578;0.832627;0.818387;0.822300;0.810877;0.802242;0.813911;0.834273;0.838656;0.802010;0.808720
ID18;0.774049;0.471269;0.521633;0.719450;0.731963;0.491390;0.606165;0.687962;0.862609;0.503310;0.490392;0.828650;0.892829;0.530951;0.455404;0.662571;0.872581;0.834740;0.000000;0.416304;0.679106;0.781193;0.825006;0.449984;0.507041;0.827648;0.830212;0.545166;0.591705;0.791918;0.906144;0.971755;0.535517;0.559357;0.767119;0.819574;0.584706;0.590583;0.727098;0.591371;0.547135;0.630139;0.617977;0.660727;0.547680;0.749408;0.519799;0.664973;0.634279;0.726142;0.485378;0.710467;0.506193;0.578719;0.641195;0.528584;0.609299;0.561641;0.681885;0.582379;0.449674;0.522261
ID19;0.752926;0.562953;0.540277;0.707314;0.724681;0.588538;0.563586;0.668241;0.850606;0.562586;0.513813;0.807714;0.882556;0.541499;0.312598;0.543478;0.852820;0.823585;0.416304;0.000000;0.550967;0.752456;0.808600;0.495895;0.510066;0.831719;0.827096;0.599195;0.543431;0.795791;0.892628;0.964659;0.544809;0.446258;0.686611;0.796886;0.619354;0.558131;0.697310;0.588319;0.479430;0.546741;0.618130;0.653619;0.528040;0.736038;0.500932;0.637115;0.595441;0.695337;0.495204;0.681475;0.495540;0.542300;0.606735;0.466899;0.539106;0.575036;0.669545;0.555865;0.424988;0.444529
