ID	reSRR9697535_taxonomic_profile	reSRR9697536_taxonomic_profile	reSRR9697537_taxonomic_profile	reSRR9697538_taxonomic_profile	reSRR9697539_taxonomic_profile	reSRR9697540_taxonomic_profile	reSRR9697541_taxonomic_profile	reSRR9697542_taxonomic_profile	reSRR9697543_taxonomic_profile	reSRR9697544_taxonomic_profile	reSRR9697545_taxonomic_profile	reSRR9697546_taxonomic_profile	reSRR9697547_taxonomic_profile	reSRR9697548_taxonomic_profile	reSRR9697549_taxonomic_profile	reSRR9697550_taxonomic_profile	reSRR9697551_taxonomic_profile	reSRR9697552_taxonomic_profile	reSRR9697553_taxonomic_profile	reSRR9697554_taxonomic_profile	reSRR9697555_taxonomic_profile	reSRR9697556_taxonomic_profile	reSRR9697557_taxonomic_profile	reSRR9697558_taxonomic_profile	reSRR9697559_taxonomic_profile	reSRR9697560_taxonomic_profile	reSRR9697561_taxonomic_profile	reSRR9697562_taxonomic_profile	reSRR9697563_taxonomic_profile	reSRR9697564_taxonomic_profile	reSRR9697566_taxonomic_profile	reSRR9697567_taxonomic_profile	reSRR9697568_taxonomic_profile	reSRR9697569_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.0	0.0	0.0	0.0	1.52517	0.0	0.0	0.0	1.45675	0.0	0.0	0.72966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75135	0.32408	1.74288	0.20276	0.02311	0.2684	0.0	0.0	0.0	0.0	0.17193
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0.0	0.0	0.0	0.0	1.52517	0.0	0.0	0.0	1.45675	0.0	0.0	0.72966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75135	0.32408	1.74288	0.20276	0.02311	0.2684	0.0	0.0	0.0	0.0	0.17193
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0.0	0.0	0.0	0.0	1.52517	0.0	0.0	0.0	1.45675	0.0	0.0	0.72966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75135	0.32408	1.74288	0.20276	0.02311	0.2684	0.0	0.0	0.0	0.0	0.17193
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae	0.0	0.0	0.08216	0.0	0.37053	0.0	2.00884	0.0	0.0	0.0	0.06288	0.13131	0.0	0.0	0.0	0.20389	0.27441	0.60312	0.0	0.0	0.19867	0.22965	0.19005	0.0	0.06386	0.86374	0.31048	0.09865	0.0	0.0	0.0	0.74193	0.0	0.08548
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas	0.0	0.0	0.08216	0.0	0.37053	0.0	2.00884	0.0	0.0	0.0	0.06288	0.13131	0.0	0.0	0.0	0.20389	0.27441	0.60312	0.0	0.0	0.19867	0.22965	0.19005	0.0	0.06386	0.86374	0.31048	0.09865	0.0	0.0	0.0	0.74193	0.0	0.08548
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas|s__Cellulomonas_unclassified	0.0	0.0	0.08216	0.0	0.37053	0.0	2.00884	0.0	0.0	0.0	0.06288	0.13131	0.0	0.0	0.0	0.20389	0.27441	0.60312	0.0	0.0	0.19867	0.22965	0.19005	0.0	0.06386	0.86374	0.31048	0.09865	0.0	0.0	0.0	0.74193	0.0	0.08548
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae	0.0	0.0	0.16449	0.18127	0.0	0.0	0.0	0.0	4.50881	0.0	0.21021	0.44345	0.0	0.0	0.0	0.84627	0.0	0.0	0.0	0.0	0.0	0.0	0.47735	0.0	0.0	0.0	0.0	0.06313	0.0	0.0	0.0	0.0	0.0	0.2766
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium	0.0	0.0	0.11902	0.18127	0.0	0.0	0.0	0.0	1.15115	0.0	0.109	0.44345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47735	0.0	0.0	0.0	0.0	0.00267	0.0	0.0	0.0	0.0	0.0	0.2766
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_paraconglomeratum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_paraconglomeratum|t__GCF_000233655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
