Taxa	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|g__luteimicrobium	0.00123771614575192	0.0030297531586405	0.00224969765745501	0.00175135270463408	0.007021908228056	0.00208193803447753	0.00585969745711942	0.0015592136753935	0.00316091181114946	0.000597605990402448	0.00412542138998817	0.0018227421293605	0.00217744161024647	0.00181553971275257	0.00411310579396788	0.0052650921600337	0.00206764790523439	0.0045851307778139	0.00137365965930462	0.00218317322356754	0.00328443749401692	0.00300672164813853	0.00185568150098459	0.00253662175597065	0.00178508700863608	0.0036848174315417	0.00266278348045331	0.00206802339204199	0.00121978298253655	0.00308178874723361	0.00235797535021355	0.0040621749343083	0.0015325102012064	0.00235649528911622
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|g__luteimicrobium|s__luteimicrobium_xylanilyticum	0.00123771614575192	0.0030297531586405	0.00224969765745501	0.00175135270463408	0.007021908228056	0.00208193803447753	0.00585969745711942	0.0015592136753935	0.00316091181114946	0.000597605990402448	0.00412542138998817	0.0018227421293605	0.00217744161024647	0.00181553971275257	0.00411310579396788	0.0052650921600337	0.00206764790523439	0.0045851307778139	0.00137365965930462	0.00218317322356754	0.00328443749401692	0.00300672164813853	0.00185568150098459	0.00253662175597065	0.00178508700863608	0.0036848174315417	0.00266278348045331	0.00206802339204199	0.00121978298253655	0.00308178874723361	0.00235797535021355	0.0040621749343083	0.0015325102012064	0.00235649528911622
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|g__pengzhenrongella	0.00140359562920321	0.00258757296791999	0.00208149596343968	0.0020097490053178	0.00567782203771255	0.00224208711405273	0.00526089625712181	0.00174707074471802	0.00243449108436356	0.00049034337674047	0.00329604724572711	0.00168628015176131	0.00113605649230251	0.00123456700467175	0.00152035593704423	0.00516048768003303	0.00161414892230194	0.00323979300468287	0.00196016603069311	0.00224554960138376	0.00208281402059609	0.00170651769218674	0.00125014332697909	0.00233484502538207	0.00200354171249014	0.00467250045442916	0.00214356451914846	0.00181932492676404	0.00173932017880211	0.00269656515382941	0.0021140468657087	0.00424556883653441	0.00151509531255633	0.00196634706244135
k__bacteria|p__actinobacteria|c__actinomycetia|o__micrococcales|g__pengzhenrongella|s__pengzhenrongella_sicca	0.00140359562920321	0.00258757296791999	0.00208149596343968	0.0020097490053178	0.00567782203771255	0.00224208711405273	0.00526089625712181	0.00174707074471802	0.00243449108436356	0.00049034337674047	0.00329604724572711	0.00168628015176131	0.00113605649230251	0.00123456700467175	0.00152035593704423	0.00516048768003303	0.00161414892230194	0.00323979300468287	0.00196016603069311	0.00224554960138376	0.00208281402059609	0.00170651769218674	0.00125014332697909	0.00233484502538207	0.00200354171249014	0.00467250045442916	0.00214356451914846	0.00181932492676404	0.00173932017880211	0.00269656515382941	0.0021140468657087	0.00424556883653441	0.00151509531255633	0.00196634706244135
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales	0.0659562346122854	0.171615045131858	0.0805195526059208	0.247098640203823	0.313297697881833	0.109541970429433	1.16887419956675	0.219417056971038	0.152941012477356	0.0378790258532013	0.244665372557011	0.104559116693316	0.149912121296752	0.0905833280682682	0.145994893775989	0.263219739841685	0.124520059720436	0.297456927226561	0.202545345045557	0.230168834141835	0.153020073654178	0.126404203342689	0.0633275729072845	0.101032491530422	0.214884529836793	0.604651949049991	0.20469612114855	0.196257524276414	0.0772529222273147	0.24373647074103	0.262819390471503	1.64035758876632	0.103879810797684	0.0945797331105223
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae	0.0659562346122854	0.171615045131858	0.0805195526059208	0.247098640203823	0.313297697881833	0.109541970429433	1.16887419956675	0.219417056971038	0.152941012477356	0.0378790258532013	0.244665372557011	0.104559116693316	0.149912121296752	0.0905833280682682	0.145994893775989	0.263219739841685	0.124520059720436	0.297456927226561	0.202545345045557	0.230168834141835	0.153020073654178	0.126404203342689	0.0633275729072845	0.101032491530422	0.214884529836793	0.604651949049991	0.20469612114855	0.196257524276414	0.0772529222273147	0.24373647074103	0.262819390471503	1.64035758876632	0.103879810797684	0.0945797331105223
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinocatenispora	0.00302411058291965	0.00604312927318023	0.00308369772361434	0.0114699246803494	0.0119209139685602	0.00368342883022948	0.0123181961142364	0.00484671238857258	0.00551687092504968	0.00122585844185118	0.00823654322576494	0.00349927499700758	0.00558561108715399	0.00319534989444452	0.00813118934187049	0.0109253568000699	0.00322061142116435	0.00713852695947074	0.00537116361166302	0.00675224289860533	0.00522038642341713	0.00475387071394876	0.00250028665395818	0.00314195194773637	0.00514928944798868	0.010218720506028	0.00722619416788492	0.00286577154604893	0.00313981175134408	0.00487032685946741	0.00677579123624582	0.0171748389434751	0.00276896729536156	0.00437746310329206
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinocatenispora|s__actinocatenispora_sera	0.00150567531132708	0.00284960567353214	0.0014507396108822	0.00330173050873638	0.00569038359089333	0.0018897591389873	0.00597375482854753	0.00229185624575913	0.00294494889237527	0.000597605990402448	0.00411827161288247	0.00172526928821822	0.00189342748717085	0.00147663896637209	0.00207691480685507	0.00564864192003615	0.00152191184102755	0.00337707236928808	0.00271645056222038	0.00277574881282159	0.00244330106262234	0.00235661967016263	0.00089854051626622	0.00155656335025471	0.00264018113515056	0.00491942121015103	0.00283426864198519	0.00127027523803504	0.00149084586754467	0.00283414500861663	0.00363182410262776	0.00795012566150181	0.00128870176010538	0.00244232789898469
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinocatenispora|s__actinocatenispora_thailandica	0.00150567531132708	0.00319352359964809	0.00162594970881483	0.00816819417161304	0.00623053037766687	0.00176163987532714	0.00633018411426039	0.002536070435881	0.00255228904005857	0.000612929220925588	0.00411112183577677	0.00176425842467513	0.00364484791280388	0.00171871092807243	0.00604069992843467	0.0052650921600337	0.00169101315669727	0.00373399871726162	0.00263927867124821	0.00396089999132968	0.00277708536079479	0.00239725104378613	0.00160174613769196	0.00155656335025471	0.00250286674987086	0.00529929929587697	0.00438716204919052	0.00159358324289637	0.00162637731004873	0.00203618185085078	0.00314396713361806	0.00922471328197326	0.00146285064660611	0.00192733223977386
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes	0.0170855867954827	0.0598580961882757	0.0185372283612726	0.0485210831283868	0.103105228507842	0.0294994604577509	0.433446525769695	0.0762136130249572	0.0412292844932538	0.00830519094354171	0.0668003674985432	0.0224674898832938	0.023052479656305	0.0312999046478543	0.034330180042722	0.0879374995205628	0.0391315817306628	0.046537704601165	0.0446979592510808	0.0383614723569725	0.0580384137662258	0.0408887056564425	0.0145133826866479	0.0204082750366729	0.0870073877635906	0.265914660008164	0.0622538771127805	0.0223484267028996	0.021459145063143	0.0910503478981788	0.0909853247203089	0.943002275551539	0.0314164591247312	0.0268812128178986
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_derwentensis	0.00130151594707934	0.004765719833321	0.00156988247747639	0.00386158916021776	0.00861722548201506	0.0026264449050332	0.0385228771998459	0.00773971125617016	0.00316091181114946	0.000704868604064426	0.00513353996189169	0.00197869867518813	0.00208277023588793	0.00198499008594281	0.00271492131615042	0.00561377376003593	0.00331284850243875	0.00395364570062995	0.00341099758096991	0.00319678936308104	0.00417897941311908	0.003209878516256	0.00154314566923981	0.0021330682947935	0.0066535061230981	0.0199815873091849	0.00487780015024006	0.00164140987083443	0.00182967447380482	0.00693402468127563	0.00756178301965034	0.0643162415106963	0.00222910574720931	0.0021068004240443
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_friuliensis	0.00178639443716772	0.00699299783102428	0.00215858840653004	0.0062015112164092	0.0134031772438922	0.0037795182779746	0.0674364208568731	0.00916742498303651	0.00569356785859219	0.00107262613661978	0.00783615570784581	0.00288519609781127	0.0031241553538319	0.00372790821018527	0.00416740422029089	0.00941440320006025	0.00578787684996839	0.00650704188228679	0.00450683843277472	0.00470941652512427	0.00590130639168893	0.00444236351616865	0.00162127962717601	0.00270957323933228	0.0120087671490063	0.0327264970852904	0.00812172778921806	0.00284281476463866	0.00219109165381565	0.0133452459143598	0.0120338052355726	0.147164436841341	0.00322175440026345	0.00321482138780094
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_ianthinogenes	0.0021181534040703	0.00730416166893871	0.00224969765745501	0.00590004886561153	0.0125741147339607	0.00333110085516405	0.0480181533712365	0.00984371043260477	0.00486898216872712	0.000842777678772683	0.00852968408709858	0.00240757917621413	0.00298214829229408	0.00367949381784521	0.00435744871242142	0.00936791232005996	0.00448887128868731	0.00532643934668201	0.00660591386721774	0.00464704014730805	0.00719638946859804	0.00551232302158731	0.00179708103253244	0.00224836928370125	0.0110163586372121	0.0339231130553272	0.00735480803903383	0.00241620124343111	0.00262027455507851	0.00990574954467947	0.0123590432149124	0.102113724759497	0.00412732861006723	0.00288709687739405
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_missouriensis	0.00174811455637127	0.00594486700857568	0.00182218501849938	0.00427789431131931	0.0101120503105279	0.00233817656179785	0.0454661196855324	0.00873535372359011	0.00394623151578286	0.000842777678772683	0.00707827933464174	0.00222238077804381	0.002792805543577	0.00263858438253373	0.00339365164518802	0.00685740480004389	0.00318986572740622	0.00422820442984036	0.00339556320277547	0.00366461219670266	0.00467298017441431	0.0038599804942319	0.00126967681646314	0.00158538859748165	0.00835745281315981	0.0261736001065178	0.00609248671109085	0.00245063641554652	0.002236268801317	0.00830982322914778	0.00813094948349498	0.0816102864906183	0.00226393552450945	0.00292611170006153
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_sp._l3-i22	0.00356002891406996	0.0122172748991665	0.00360231961349493	0.00973292732575333	0.0196462691747399	0.00650205263075292	0.0721555445997114	0.0155545653400701	0.00748017018663319	0.00209928258167014	0.0137776204826815	0.00399638648683317	0.00402353341023805	0.00665697894675942	0.00640721430611498	0.0144237955200923	0.00795544825991672	0.00900552631810155	0.0138755059967961	0.00793739407711342	0.018331433655631	0.0101849309882891	0.00300815738054343	0.00438143757849475	0.0174826178712925	0.0478076570886106	0.0119896708771037	0.00492996880785587	0.00386264611136573	0.0141432090721257	0.0164245179566599	0.190647131059151	0.0108146458516952	0.00538404552811322
k__bacteria|p__actinobacteria|c__actinomycetia|o__micromonosporales|f__micromonosporaceae|g__actinoplanes|s__actinoplanes_sp._n902-109	0.0021947131656632	0.00940042331383592	0.00265618508465872	0.00703412151861229	0.0157396261355173	0.00429199533261523	0.0694894535425792	0.00896078220677953	0.007264207267859	0.00113391905871234	0.00994533995402693	0.00378194623632017	0.0031241553538319	0.00593076306165839	0.00561988712443136	0.0266508969601706	0.00603384240003345	0.00700124759486553	0.00501617291319104	0.00562946809791345	0.00731655181594012	0.00553941060400298	0.00199241592737292	0.00259427225042452	0.0120087671490063	0.0386336013183289	0.0102986366453311	0.00313933985785467	0.00356899465260694	0.0191786317573378	0.0115730514315079	0.161331615788308	0.00311726506836302	0.00408875341555265
