Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0.000118524378263442	3.31347128197873e-05	0.000102045085559702	3.7735507301066e-05	0	0.000119484210559855	0	0.000104741654708661	0	7.31538091892889e-05	0	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	5.813294423016e-05	0.000413515335216206	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0.000118524378263442	3.31347128197873e-05	0.000102045085559702	3.7735507301066e-05	0	0.000119484210559855	0	0.000104741654708661	0	7.31538091892889e-05	0	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	5.813294423016e-05	0.000413515335216206	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0.000118524378263442	3.31347128197873e-05	0.000102045085559702	3.7735507301066e-05	0	0.000119484210559855	0	0.000104741654708661	0	7.31538091892889e-05	0	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	5.813294423016e-05	0.000413515335216206	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	8.46602701881727e-05	6.62694256395745e-05	0.000255112713899255	0.000150942029204264	0.000100724765046895	0.000199140350933092	0.000138855235779662	0	0.000175416007833377	1.89658023824082e-05	0	0	0	5.48487381499301e-05	0	0	5.813294423016e-05	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	8.46602701881727e-05	6.62694256395745e-05	0.000255112713899255	0.000150942029204264	0.000100724765046895	0.000199140350933092	0.000138855235779662	0	0.000175416007833377	1.89658023824082e-05	0	0	0	5.48487381499301e-05	0	0	5.813294423016e-05	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	6.77282161505382e-05	6.62694256395745e-05	5.1022542779851e-05	0.000226413043806396	0.000100724765046895	0.000199140350933092	6.94276178898309e-05	0	0.000245582410966728	0.0174322817897735	0.00848856918320797	0.000722808835133328	0.0344192209351676	0.00383941167049511	0.00982977540657985	0.0203034038702112	0.0489479390417947	0	0	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota	0.00306470178081185	0.00258450759994341	0.00158169882617538	0.0035471376863002	0.0020144953009379	0.00234985614101049	0.00242996662614408	0.00209483309417322	0.00326273774570082	0.00117317034736897	0.00164294887416928	0.00120468139188888	0.00232912021365796	0.00257789069304672	0.000338957772640684	0.00109255984951809	0.00162772243844448	0.000827030670432413	0.00219617182848386	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.00264140042987099	0.00228629518456532	0.00153067628339553	0.00316978261328954	0.00196413291841445	0.00219054386026401	0.00229111139036442	0.00178060813004724	0.00301715533473409	0.00110001653817968	0.00164294887416928	0.00120468139188888	0.00181153794395619	0.00241334447859693	0.000338957772640684	0.000910466541265075	0.00133705771729368	0.000413515335216206	0.00219617182848386	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00106671940437098	0.000695828969215532	0.00051022542779851	0.00124527174093518	0.00115833479803929	0.00111518596522532	0.00111084188623729	0.000733191582960628	0.00108757924856694	0.00067193128440532	0.00136912406180774	0.000722808835133328	0.00155274680910531	0.00126152097744839	0	0.000546279924759045	0.000697595330761919	0.000413515335216206	0	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000524893675166671	0.000265077702558298	0.000255112713899255	0.000603768116817055	0.00060434859028137	0.000517764912426039	0.000624848561008478	0.000209483309417322	0.000456081620366781	0.00050394846330399	0.000958386843265416	0.000481872556755552	0.00129395567425442	0.000877579810398882	0	0.000455233270632537	0.00046506355384128	0.000413515335216206	0	0
