ID	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	12.02547	14.63263	6.1403	11.32358	6.83209	8.15825	3.72165	2.02511	2.55633	2.62949	4.71843
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia	0.19279	0.0	0.0	0.0	0.10961	0.0	0.07597	0.0	0.0	0.56831	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_unclassified	0.19279	0.0	0.0	0.0	0.10961	0.0	0.07597	0.0	0.0	0.56831	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas	11.83269	14.63263	6.1403	11.32358	6.72247	8.15825	3.64567	2.02511	2.55633	2.06118	4.71843
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris	11.83269	14.63263	4.74417	9.71108	5.39596	8.15825	3.64567	1.55566	2.55633	1.89392	4.63943
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris|t__Rhodopseudomonas_palustris_unclassified	11.83269	14.63263	4.74417	9.71108	5.39596	8.15825	3.64567	1.55566	2.55633	1.89392	4.63943
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_unclassified	0.0	0.0	1.39613	1.6125	1.32651	0.0	0.0	0.46945	0.0	0.16725	0.079
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.4848	0.59149	0.0	0.0	0.89082
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.4848	0.59149	0.0	0.0	0.89082
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1.77569	1.92287	0.81688	2.19333	1.26925	0.94434	3.27461	1.48564	2.13457	1.19896	1.28088
