X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0195489287	0.0083711192	0	0.0646273954	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	0.0195489287	0.0083711192	0	0.0646273954	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis	0.0195489287	0.0083711192	0	0.0646273954	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis	0.0195489287	0.0083711192	0	0.0646273954	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_14582]	0.0195489287	0	0	0.0214593029	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_22560]	0	0.0083711192	0	0.0166067939	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_24579]	0	0	0	0.0265612986	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus Rokubacteria	0	0	0	0	0	0	0	0.007018434	0	0	0
k__Bacteria|p__Candidatus Rokubacteria|c__Candidatus Rokubacteria class incertae sedis	0	0	0	0	0	0	0	0.007018434	0	0	0
k__Bacteria|p__Candidatus Rokubacteria|c__Candidatus Rokubacteria class incertae sedis|o__Candidatus Rokubacteria order incertae sedis	0	0	0	0	0	0	0	0.007018434	0	0	0
k__Bacteria|p__Candidatus Rokubacteria|c__Candidatus Rokubacteria class incertae sedis|o__Candidatus Rokubacteria order incertae sedis|f__Candidatus Rokubacteria fam. incertae sedis	0	0	0	0	0	0	0	0.007018434	0	0	0
k__Bacteria|p__Candidatus Rokubacteria|c__Candidatus Rokubacteria class incertae sedis|o__Candidatus Rokubacteria order incertae sedis|f__Candidatus Rokubacteria fam. incertae sedis|g__Candidatus Rokubacteria gen. incertae sedis	0	0	0	0	0	0	0	0.007018434	0	0	0
