run_accession	library_name	read_count	fastq_ftp
SRR5935793	MSM79H6F_MGX	1771479	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935793/SRR5935793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935793/SRR5935793_2.fastq.gz
SRR5935794	CSM79HIB_MGX	13404063	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935794/SRR5935794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935794/SRR5935794_2.fastq.gz
SRR5935795	MSM79HEY_MGX	11924297	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935795/SRR5935795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935795/SRR5935795_2.fastq.gz
SRR5935796	CSM7KOMP_MGX	14959235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935796/SRR5935796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935796/SRR5935796_2.fastq.gz
SRR5935797	HSM7J4G1_MGX	8439357	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935797/SRR5935797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935797/SRR5935797_2.fastq.gz
SRR5935798	HSM7CZ1A_MGX	20086542	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935798/SRR5935798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935798/SRR5935798_2.fastq.gz
SRR5935799	MSM79HAJ_MGX	9090205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935799/SRR5935799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935799/SRR5935799_2.fastq.gz
SRR5935800	MSM79HDC_MGX	15080696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935800/SRR5935800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935800/SRR5935800_2.fastq.gz
SRR5935801	PSM7J1A8_MGX	13162386	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935801/SRR5935801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935801/SRR5935801_2.fastq.gz
SRR5935802	HSM7CYYD_MGX	16720060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935802/SRR5935802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935802/SRR5935802_2.fastq.gz
SRR5935803	PSM6XBUQ_MGX	18392491	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935803/SRR5935803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935803/SRR5935803_2.fastq.gz
SRR5935804	CSM7KOLA_MGX	13253368	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935804/SRR5935804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935804/SRR5935804_2.fastq.gz
SRR5935805	HSM6XRQI_MGX	2823474	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935805/SRR5935805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935805/SRR5935805_2.fastq.gz
SRR5935806	PSM7J19J_MGX	14472574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935806/SRR5935806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935806/SRR5935806_2.fastq.gz
SRR5935807	CSM67UAU_MGX	16708997	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935807/SRR5935807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935807/SRR5935807_2.fastq.gz
SRR5935808	CSM79HGP_MGX	15500933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935808/SRR5935808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935808/SRR5935808_2.fastq.gz
SRR5935809	PSM6XBQY_MGX	1539039	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935809/SRR5935809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935809/SRR5935809_2.fastq.gz
SRR5935810	MSM6J2RO_MGX	15280552	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935810/SRR5935810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935810/SRR5935810_2.fastq.gz
SRR5935811	CSM67UBN_MGX	10067025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935811/SRR5935811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935811/SRR5935811_2.fastq.gz
SRR5935812	MSM6J2LV_MGX	9108174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935812/SRR5935812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935812/SRR5935812_2.fastq.gz
SRR5935813	HSM67VES_MGX	16980616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935813/SRR5935813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935813/SRR5935813_2.fastq.gz
SRR5935814	CSM67UDR_MGX	5072545	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935814/SRR5935814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935814/SRR5935814_2.fastq.gz
SRR5935815	HSM6XRTM_MGX	7153468	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935815/SRR5935815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935815/SRR5935815_2.fastq.gz
SRR5935816	HSM6XRUN_MGX	12244248	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935816/SRR5935816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935816/SRR5935816_2.fastq.gz
SRR5935817	MSM6J2QP_MGX	14261195	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935817/SRR5935817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935817/SRR5935817_2.fastq.gz
SRR5935818	PSM7J17V_MGX	8877621	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935818/SRR5935818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935818/SRR5935818_2.fastq.gz
SRR5935819	HSM7J4MS_MGX	10896278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935819/SRR5935819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935819/SRR5935819_2.fastq.gz
SRR5935820	PSM7J16Y_MGX	12062510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935820/SRR5935820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935820/SRR5935820_2.fastq.gz
SRR5935821	HSM7J4KA_MGX	297656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935821/SRR5935821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935821/SRR5935821_2.fastq.gz
SRR5935822	HSM7J4JD_MGX	13365245	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935822/SRR5935822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935822/SRR5935822_2.fastq.gz
SRR5935823	PSM7J141_MGX	20770968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935823/SRR5935823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935823/SRR5935823_2.fastq.gz
