clade_name	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter	0	0.0106700810926163	0	0.0115180833909238	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Unclassified_Methanobrevibacter|t__	0	0.0106700810926163	0	0.0115180833909238	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Unclassified_Methanosphaera	0	0	0	0	0	0	0	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Unclassified_Methanosphaera|t__	0	0	0	0	0	0	0	0	0	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae	0.0419419104540212	0	0	0	0	0	0.00627549419516787	0.0185563184264242	0.0315490587864129	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__	0.0419419104540212	0	0	0	0	0	0.00627549419516787	0.0185563184264242	0.0315490587864129	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Unclassified_Methanobacteriaceae|s__|t__	0.0419419104540212	0	0	0	0	0	0.00627549419516787	0.0185563184264242	0.0315490587864129	0	0.0101533150573662
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae	0	0	0	0	0	0	0	0	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus	0	0	0	0	0	0	0	0	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Unclassified_Methanothermus	0	0	0	0	0	0	0	0	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Unclassified_Methanothermus|t__	0	0	0	0	0	0	0	0	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales	0	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales|g__	0	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales|g__|s__	0	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Unclassified_Methanobacteriales|g__|s__|t__	0	0	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci	0.0104854776135053	0.0320102432778489	0	0.0345542501727713	0.0181983621474067	0	0.0188264825855036	0.0556689552792726	0.0210327058576086	0.0463231036479444	0.0406132602294649
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.0104854776135053	0.0320102432778489	0	0.0345542501727713	0.0181983621474067	0	0.0188264825855036	0.0556689552792726	0.0210327058576086	0.0463231036479444	0.0406132602294649
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0	0.0213401621852326	0	0.0230361667818475	0.0181983621474067	0	0.00627549419516787	0.0278344776396363	0.0210327058576086	0.0115807759119861	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus	0	0.0106700810926163	0	0.0115180833909238	0.0181983621474067	0	0	0.0092781592132121	0.0105163529288043	0.0115807759119861	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Unclassified_Methanocaldococcus	0	0.0106700810926163	0	0.0115180833909238	0.0181983621474067	0	0	0.0092781592132121	0.0105163529288043	0.0115807759119861	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Unclassified_Methanocaldococcus|t__	0	0.0106700810926163	0	0.0115180833909238	0	0	0	0.0092781592132121	0.0105163529288043	0.0115807759119861	0.0203066301147325
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Unclassified_Methanocaldococcaceae	0	0.0106700810926163	0	0.0115180833909238	0	0	0.00627549419516787	0.0185563184264242	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Unclassified_Methanocaldococcaceae|s__	0	0.0106700810926163	0	0.0115180833909238	0	0	0.00627549419516787	0.0185563184264242	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Unclassified_Methanocaldococcaceae|s__|t__	0	0.0106700810926163	0	0.0115180833909238	0	0	0.00627549419516787	0.0185563184264242	0.0105163529288043	0	0
