clade_name	NCBI_tax_id	reSRR9320199_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320187_taxonomic_profile
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.055222449099841885	0.08624981767819144	0.07585411708593298	0.20960521297153	0.7148412112076161	0.031124800139688737	0.058504433253158926	0	0.07221903782924123	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2|1224|28211|356	0	0	0	0	0	0	0.009443537755324556	0	0.008351916013638066	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	2|1224|28211|356|41294	0	0	0	0	0	0	0.009443537755324556	0	0.008351916013638066	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium	2|1224|28211|356|41294|374	0	0	0	0	0	0	0.009443537755324556	0	0.008351916013638066	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei	2|1224|28211|356|41294|374|1437360	0	0	0	0	0	0	0.009443537755324556	0	0.008351916013638066	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei|t__SGB11350	2|1224|28211|356|41294|374|1437360|SGB11350	0	0	0	0	0	0	0.009443537755324556	0	0.008351916013638066	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.055222449099841885	0.08624981767819144	0.07585411708593298	0.20960521297153	0.7148412112076161	0.031124800139688737	0.04906089549783437	0	0.0638670577283416	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.055222449099841885	0.08624981767819144	0.07585411708593298	0.20960521297153	0.7148412112076161	0.031124800139688737	0.04906089549783437	0	0.0638670577283416	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidibrevibacterium	2|1224|28211|204441|433|2603324	0	0.0003212365578316765	0	0.0010879019761869029	0.001006124738715891	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidibrevibacterium|s__Acidibrevibacterium_fodinaquatile	2|1224|28211|204441|433|2603324|1969806	0	0.0003212365578316765	0	0.0010879019761869029	0.001006124738715891	0	0	0	0	0	0
