Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales	3.10006436728591	1.51884302910698	0	2.61145921183405	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4	3.10006436728591	1.51884302910698	0	2.61145921183405	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota_D	0.824245162270867	0	0	1.08989528913669	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobiota	0	0	0	0	0	0	0.454197782418797	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia	0	0	0	0	0	0	0.454197782418797	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565	0	0	0	0	0	0	0.454197782418797	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565|f__UBA9628	0	0	0	0	0	0	0.454197782418797	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565|f__UBA9628|g__GWA2-66-18	0	0	0	0	0	0	0.454197782418797	0	0	0	0
k__Bacteria|p__Eremiobacterota	1.2047342435733	2.12401699439253	0	1.24225211825678	0	0	0	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Eremiobacteria	1.2047342435733	2.12401699439253	0	1.24225211825678	0	0	0	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales	1.2047342435733	2.12401699439253	0	1.24225211825678	0	0	0	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae	1.2047342435733	2.12401699439253	0	1.24225211825678	0	0	0	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Hemerobacter	0	0.695202175481659	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Tyrphobacter	1.2047342435733	1.42881481891087	0	1.24225211825678	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirota	1.03187777628867	0.974420320429883	0	0.811089055004018	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirota|c__UBA9217	1.03187777628867	0.974420320429883	0	0.811089055004018	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirota|c__UBA9217|o__UBA9217	1.03187777628867	0.974420320429883	0	0.811089055004018	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirota|c__UBA9217|o__UBA9217|f__UBA9217	1.03187777628867	0.974420320429883	0	0.811089055004018	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirota|c__UBA9217|o__UBA9217|f__UBA9217|g__GWC2-56-14	0	0.974420320429883	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Patescibacteria	0	0	0	0	0	0	1.01969327773877	1.47489954016869	2.3036916787492	1.93993383064642	1.52925699831038
k__Bacteria|p__Patescibacteria|c__Paceibacteria	0	0	0	0	0	0	1.01969327773877	1.47489954016869	2.3036916787492	1.93993383064642	1.52925699831038
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257	0	0	0	0	0	0	0.594420013242539	0.824244589276473	2.3036916787492	1.26256964879854	1.52925699831038
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20	0	0	0	0	0	0	0.594420013242539	0.824244589276473	1.33312930899547	1.26256964879854	1.52925699831038
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__CAIWCR01	0	0	0	0	0	0	0.594420013242539	0.824244589276473	1.33312930899547	1.26256964879854	1.52925699831038
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__GWB1-50-10	0	0	0	0	0	0	0	0	0.97056236975373	0	0
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A	0	0	0	0	0	0	0.425273264496233	0.650654950892217	0	0.677364181847888	0
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103	0	0	0	0	0	0	0.425273264496233	0.650654950892217	0	0.677364181847888	0
k__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103|g__C7867-001	0	0	0	0	0	0	0.425273264496233	0.650654950892217	0	0.677364181847888	0
k__Bacteria|p__Proteobacteria	2.34194660218121	3.03794785982293	0	2.66064972239422	0	0	10.2263558862253	6.03530920804394	1.15720349231789	1.51817684502168	1.4221781510725
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	0	0	0	0	0	3.56568721647793	1.39945820885737	0	0.538573816403935	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales	0	0	0	0	0	0	3.17297167259555	1.39945820885737	0	0.538573816403935	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae	0	0	0	0	0	0	3.17297167259555	1.39945820885737	0	0.538573816403935	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidiphilium	0	0	0	0	0	0	0.885824734049833	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium rubrum	0	0	0	0	0	0	0.454978686606716	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium sp002279355	0	0	0	0	0	0	0.430846047443116	0	0	0	0
