#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR9320199_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320187_taxonomic_profile
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidisphaera|s__Acidisphaera_rubrifaciens	2|1224|28211|204441|433|50714|50715	0	0.0007658252691908818	0	0.0035540446056778812	0.007148671926911376	0	0.024715554876233455	0.0012973443115379631	0.005090839099622275	0.007514522634825558	0.00410213509057467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	2|1224|28211|204441|	0	0.0003747890731456603	0	0.017353213855165226	0.11929846521723365	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified	2|1224|28211|204441||	0	0.0003747890731456603	0	0.017353213855165226	0.11929846521723365	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified|s__Rhodospirillales_bacterium_20_60_12	2|1224|28211|204441|||1970565	0	0.0003747890731456603	0	0.017353213855165226	0.11929846521723365	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6817953961582659	0.9439515405597084	0.6469321245954761	1.36228814455865	1.71776367630811	0.6286693824781651	0.4148325018059343	0.4850930407434402	0.6474417983928363	0.4981888993905689	0.4063285608865079
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.004548152416762335	0.0004637614128337336	0.0005817352239618108	0.009340464529748922	0.022721272581144463	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	2|1224|28216|80840|119060	0.002682586185038303	0	0.0005817352239618108	0	0.002375734580965716	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea	2|1224|28216|80840|119060|93217	0.002682586185038303	0	0.0005817352239618108	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_thiooxydans	2|1224|28216|80840|119060|93217|445709	0.002682586185038303	0	0.0005817352239618108	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	2|1224|28216|80840|119060|48736	0	0	0	0	0.002375734580965716	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii	2|1224|28216|80840|119060|48736|329	0	0	0	0	0.002375734580965716	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	2|1224|28216|80840|	0.001865480066363	0.0004637614128337336	0	0.009340464529748922	0.02034553800017875	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Thiomonas	2|1224|28216|80840||32012	0.001865480066363	0.0004637614128337336	0	0.009340464529748922	0.02034553800017875	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Thiomonas|s__Thiomonas_delicata	2|1224|28216|80840||32012|364030	0	0	0	0.004611284573657536	0.007631939417057727	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Thiomonas|s__Thiomonas_sp_X19	2|1224|28216|80840||32012|1050370	0.001865480066363	0.0004637614128337336	0	0.004729179956091385	0.012713598583121022	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales	2|1224|28216|1442155	0.528991037382878	0.7310283529258447	0.5567575136413629	1.0472549768719843	1.2882658198734795	0.02543387845580626	0.028759834936776113	0	0.03176047320880049	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae	2|1224|28216|1442155|1442156	0.528991037382878	0.7310283529258447	0.5567575136413629	1.0472549768719843	1.2882658198734795	0.02543387845580626	0.028759834936776113	0	0.03176047320880049	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae|g__Ferrovum	2|1224|28216|1442155|1442156|416212	0.528991037382878	0.7310283529258447	0.5567575136413629	1.0472549768719843	1.2882658198734795	0.02543387845580626	0.028759834936776113	0	0.03176047320880049	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae|g__Ferrovum|s__Ferrovum_sp_Z_31	2|1224|28216|1442155|1442156|416212|1789004	0.528991037382878	0.7310283529258447	0.5567575136413629	1.0472549768719843	1.2882658198734795	0.02543387845580626	0.028759834936776113	0	0.03176047320880049	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.14825620635862555	0.2124593156963845	0.08959287573015147	0.30569254405383617	0.406776583853486	0.6032355040223588	0.3860726668691582	0.4850930407434402	0.6156813251840358	0.4981888993905689	0.4063285608865079
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	2|1224|28216|32003|90627	0.14825620635862555	0.2124593156963845	0.08959287573015147	0.30569254405383617	0.406776583853486	0.6032355040223588	0.3860726668691582	0.4850930407434402	0.6156813251840358	0.4981888993905689	0.4063285608865079
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella	2|1224|28216|32003|90627|96	0.14825620635862555	0.2124593156963845	0.08959287573015147	0.30569254405383617	0.406776583853486	0.6032355040223588	0.3860726668691582	0.4850930407434402	0.6156813251840358	0.4981888993905689	0.4063285608865079
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__Gallionella|s__Candidatus_Gallionella_acididurans	2|1224|28216|32003|90627|96|1796491	0.14825620635862555	0.2124593156963845	0.08959287573015147	0.30569254405383617	0.406776583853486	0.6032355040223588	0.3860726668691582	0.4850930407434402	0.6156813251840358	0.4981888993905689	0.4063285608865079
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0	0	0	0	0	0	0	0.008741353668604734	0	0.0006566358368384012	0.004519499764732742
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified	2|1224|28221|	0	0	0	0	0	0	0	0.008741353668604734	0	0.0006566358368384012	0.004519499764732742
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified	2|1224|28221||	0	0	0	0	0	0	0	0.008741353668604734	0	0.0006566358368384012	0.004519499764732742
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__Deltaproteobacteria_unclassified	2|1224|28221|||	0	0	0	0	0	0	0	0.008741353668604734	0	0.0006566358368384012	0.004519499764732742
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_unclassified|f__Deltaproteobacteria_unclassified|g__Deltaproteobacteria_unclassified|s__Deltaproteobacteria_bacterium_CG2_30_66_27	2|1224|28221||||1805127	0	0	0	0	0	0	0	0.008741353668604734	0	0.0006566358368384012	0.004519499764732742
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.04636041085015928	0.023082961703744617	0.07693384118258215	0.016817991093346786	0.005263205330879258	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.04636041085015928	0.023082961703744617	0.07693384118258215	0.016817991093346786	0.005263205330879258	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	2|1224|1236|91347|1903411	0.04636041085015928	0.023082961703744617	0.07693384118258215	0.016817991093346786	0.005263205330879258	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia	2|1224|1236|91347|1903411|613	0.04636041085015928	0.023082961703744617	0.07693384118258215	0.016817991093346786	0.005263205330879258	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_fonticola	2|1224|1236|91347|1903411|613|47917	0.04636041085015928	0.023082961703744617	0.07693384118258215	0.016817991093346786	0.005263205330879258	0	0	0	0	0	0
k__Viruses	10239	0.08574297843314957	0.07949463028070476	0.07064204165477264	0.03903737265666216	0.02348852680982684	0	0.1643241255189473	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified	10239|	0.08574297843314957	0.07949463028070476	0.07064204165477264	0.03903737265666216	0.02348852680982684	0	0.1643241255189473	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.08574297843314957	0.07949463028070476	0.07064204165477264	0.03903737265666216	0.02348852680982684	0	0.1643241255189473	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified	10239|||28883|	0	0.0416073344007382	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified|g__Caudovirales_unclassified	10239|||28883||	0	0.0416073344007382	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified|g__Caudovirales_unclassified|s__Enterobacteria_phage_P4	10239|||28883|||10680	0	0.0416073344007382	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Eah2virus	10239|||28883|10662|2169623	0.012174045364260005	0	0.019789786345672897	0.018684111121101996	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Eah2virus|s__Erwinia_virus_EaH2	10239|||28883|10662|2169623|2169883	0.012174045364260005	0	0.019789786345672897	0.018684111121101996	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified	10239|||28883|10662|	0.013307206027204107	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__Myoviridae_unclassified|s__Pseudomonas_phage_OBP	10239|||28883|10662||1124849	0.013307206027204107	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__P2virus	10239|||28883|10662|140410	0	0.010440931693556794	0	0	0	0	0.1643241255189473	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__P2virus|s__Burkholderia_phage_KS14	10239|||28883|10662|140410|910475	0	0	0	0	0	0	0.1643241255189473	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Myoviridae|g__P2virus|s__Salmonella_virus_PsP3	10239|||28883|10662|140410|12407	0	0.010440931693556794	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae	10239|||28883|10744	0	0	0	0	0	0	0	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__Podoviridae_unclassified	10239|||28883|10744|	0	0	0	0	0	0	0	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae|g__Podoviridae_unclassified|s__Xanthomonas_citri_phage_CP2	10239|||28883|10744||1188795	0	0	0	0	0	0	0	0	0	0	0.03557320559629985
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0	0	0	0	0.006693406415914016	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified	10239|||28883|10699|	0	0	0	0	0.006693406415914016	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Yersinia_phage_PY54	10239|||28883|10699||172667	0	0	0	0	0.006693406415914016	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.06026172704168545	0.02744625366176419	0.05085225530909975	0.02035326153556017	0.016795120393912826	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae	10239||||10501	0.06026172704168545	0.02744625366176419	0.05085225530909975	0.02035326153556017	0.016795120393912826	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Chlorovirus	10239||||10501|181083	0.06026172704168545	0.02744625366176419	0.05085225530909975	0.02035326153556017	0.016795120393912826	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis_turfacea_chlorella_virus_1	10239||||10501|181083|322019	0.06026172704168545	0.02744625366176419	0.05085225530909975	0.02035326153556017	0.016795120393912826	0	0	0	0	0	0
