clade_name	reSRR16235394_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235409_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0.00559783084054929	0.00351899966569503	0	0.0331161000481121	0	0	0	0.00866547371978458	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum	0	0.000516001197122777	0	0	0	0	0	0	0	0	0	0	0.00080071103139588	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_ruminantium	0	0.000516001197122777	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp._Eg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp._HMLN12	0	0	0	0	0	0	0	0	0	0	0	0	0.00240213309418764	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Unclassified_Bifidobacterium	6.74861081112922	5.51089278527126	0.598334950251562	0.0934565190876936	0.689232922242631	0.30204747130549	0.00750863493016969	4.43755740644702	1.05377321159004	0.328869377672064	0.664229985239334	4.45665313408521	11.824099800623	5.25992002460781	0.104362213242547	0.00456295651502441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__swine_fecal_bacterium_RF2C-Pec1	0	0	0.00180493197662613	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0.000586499944282505	0	0	0.00146560947369964	0	0	0	0.00160142206279176	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Unclassified_Gardnerella	0	0	0	0	0	0.000586499944282505	0	0	0.00146560947369964	0	0	0	0.00160142206279176	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Unclassified_Bifidobacteriaceae	0.0667596065110252	0.0696601616115749	0.0121832908422264	0.00121966093426028	0.019067611300621	0.0117299988856501	0	0.121842254893997	0.0205185326317949	0.00611850004971281	0.00652682525178484	0.035961715937106	0.277046016862974	0.0476776376499539	0.00330904578573929	0.000233997770001252
