X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.286384528	0	0.1772960152	0.115830081	0	0	0	0	0.5072554471	0.006618073	0.1068879265	0.0961356053	0	0	0	0	0.0126355538	0.1888244611	0	0.3329644752
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0	0	0	0	0	0	0	0	0.1105278404	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae	0	0	0	0	0	0	0	0	0.1105278404	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Hoeflea	0	0	0	0	0	0	0	0	0.1105278404	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Hoeflea|s__Hoeflea species incertae sedis [ext_mOTU_v3_31497]	0	0	0	0	0	0	0	0	0.1105278404	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0.286384528	0	0.1772960152	0.115830081	0	0	0	0	0.3967276067	0.005696548	0.1068879265	0.0961356053	0	0	0	0	0.0126355538	0.1888244611	0	0.3329644752
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae	0.0746552801	0	0	0	0	0	0	0	0.3967276067	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas	0.0746552801	0	0	0	0	0	0	0	0.3967276067	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas oceanitis	0	0	0	0	0	0	0	0	0.2793785427	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas species incertae sedis [ext_mOTU_v3_22110]	0.0391565711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas species incertae sedis [ext_mOTU_v3_22166]	0.035498709	0	0	0	0	0	0	0	0.117349064	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0.2117292479	0	0.1772960152	0.115830081	0	0	0	0	0	0.005696548	0.1068879265	0.0961356053	0	0	0	0	0.0126355538	0.1888244611	0	0.3329644752
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Loktanella	0.1131056014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Loktanella|s__Loktanella atrilutea	0.0681987646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Loktanella|s__Loktanella salsilacus	0.0449068368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Maribius	0	0	0	0	0	0	0	0	0	0.000457278	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Maribius|s__Maribius salinus/pelagius	0	0	0	0	0	0	0	0	0	0.000457278	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.0052392701	0.1068879265	0	0	0	0	0	0.0126355538	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae gen. incertae sedis|s__Rhodobacteraceae species incertae sedis [ext_mOTU_v3_21525]	0	0	0	0	0	0	0	0	0	0.0052392701	0.1068879265	0	0	0	0	0	0.0126355538	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Sulfitobacter	0.0642389138	0	0.1772960152	0.115830081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Sulfitobacter|s__Sulfitobacter species incertae sedis [ext_mOTU_v3_22055]	0.0642389138	0	0.1772960152	0.115830081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Tranquillimonas	0	0	0	0	0	0	0	0	0	0	0	0.0961356053	0	0	0	0	0	0.1888244611	0	0.3329644752
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Tranquillimonas|s__Tranquillimonas alkanivorans	0	0	0	0	0	0	0	0	0	0	0	0.0961356053	0	0	0	0	0	0.1888244611	0	0.3329644752
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia	0.0343847328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia rosea	0.0343847328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0	0	0	0	0	0	0	0	0	0.000921525	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0.000921525	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Limimonas	0	0	0	0	0	0	0	0	0	0.000921525	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Limimonas|s__Limimonas halophila	0	0	0	0	0	0	0	0	0	0.000921525	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0.1006696967	0	0.0500244354	0	0	0	0	0.1306238114	0.0358819985	0.1950838008	0.3336637432	0	0.0476649314	0.0867513568	0.035119423	0.174663782	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	0	0	0	0.0500244354	0	0	0	0	0	0.0118239764	0.0552398916	0.3336637432	0	0	0	0.0129500162	0.1202007011	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	0	0	0	0.0500244354	0	0	0	0	0	0.0118239764	0	0.191158271	0	0	0	0.0129500162	0.1202007011	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0.191158271	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas|s__Alteromonas sp. RW2A1	0	0	0	0	0	0	0	0	0	0	0	0.191158271	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Glaciecola	0	0	0	0.0500244354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Glaciecola|s__Glaciecola nitratireducens	0	0	0	0.0500244354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter	0	0	0	0	0	0	0	0	0	0.0118239764	0	0	0	0	0	0.0129500162	0.1202007011	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter adhaerens/manganoxydans	0	0	0	0	0	0	0	0	0	0.0009695264	0	0	0	0	0	0	0.0587879646	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter daqiaonensis	0	0	0	0	0	0	0	0	0	0.0005510416	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter sp.	0	0	0	0	0	0	0	0	0	0.0008917607	0	0	0	0	0	0	0.0232977969	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter species incertae sedis [ext_mOTU_v3_28404]	0	0	0	0	0	0	0	0	0	0.0094116477	0	0	0	0	0	0.0129500162	0.0381149397	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	0	0	0	0	0	0	0	0	0	0	0.0552398916	0.1425054722	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0.0552398916	0.1425054722	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas ruthenica	0	0	0	0	0	0	0	0	0	0	0.0552398916	0.0595117643	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas sp.	0	0	0	0	0	0	0	0	0	0	0	0.0829937079	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0	0	0	0	0	0	0	0	0	0.0190388717	0.1398439092	0	0	0.0476649314	0.0867513568	0.0221694067	0.0255503463	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	0	0	0	0	0	0	0	0	0	0.0190388717	0.1398439092	0	0	0.0476649314	0.0867513568	0.0221694067	0.0255503463	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Halofilum	0	0	0	0	0	0	0	0	0	0.0190388717	0.1398439092	0	0	0.0476649314	0.0867513568	0.0221694067	0.0255503463	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Halofilum|s__Halofilum ochraceum	0	0	0	0	0	0	0	0	0	0.0190388717	0.1398439092	0	0	0.0476649314	0.0867513568	0.0221694067	0.0255503463	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis	0	0.1006696967	0	0	0	0	0	0	0	0.0028387895	0	0	0	0	0	0	0.0289127346	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis	0	0.1006696967	0	0	0	0	0	0	0	0.0028387895	0	0	0	0	0	0	0.0289127346	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis	0	0.1006696967	0	0	0	0	0	0	0	0.0028387895	0	0	0	0	0	0	0.0289127346	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__Gammaproteobacteria species incertae sedis [ext_mOTU_v3_21961]	0	0	0	0	0	0	0	0	0	0.0028387895	0	0	0	0	0	0	0.0289127346	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__gamma proteobacterium NOR5-3	0	0.1006696967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0	0	0	0	0	0	0	0	0	0.002180361	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	0	0	0	0	0	0	0	0	0	0.002180361	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	0	0	0	0	0	0	0	0	0	0.002180361	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas salina	0	0	0	0	0	0	0	0	0	0.0018760401	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas shengliensis	0	0	0	0	0	0	0	0	0	0.0003043209	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	0	0	0	0	0	0	0	0	0.1306238114	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	0	0	0	0	0	0	0	0	0.1306238114	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio	0	0	0	0	0	0	0	0	0.1306238114	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio mytili	0	0	0	0	0	0	0	0	0.1306238114	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis|s__Verrucomicrobiales species incertae sedis [ext_mOTU_v3_31524]	0	0.1096707519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
