X.mOTUs2_clade	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0	0	0.2323414959	0	0.1080096229	0.1143718187	0.2044456837	0	0	0	0	0.1015068521
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas species incertae sedis [ext_mOTU_v3_22322]	0	0	0.0957818266	0	0	0	0.103086497	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas species incertae sedis [ext_mOTU_v3_31445]	0	0	0.1365596693	0	0.1080096229	0.1143718187	0.1013591867	0	0	0	0	0.1015068521
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0	0	0.076182914	0.0671127741	0	0	0.1384375138	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae	0	0	0	0.0671127741	0	0	0.1384375138	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas	0	0	0	0.0671127741	0	0	0.1384375138	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas species incertae sedis [ext_mOTU_v3_22109]	0	0	0	0	0	0	0.0613984775	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas species incertae sedis [ext_mOTU_v3_22110]	0	0	0	0.0671127741	0	0	0.0770390363	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0	0	0.076182914	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Loktanella	0	0	0.076182914	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Loktanella|s__Loktanella species incertae sedis [ext_mOTU_v3_31542]	0	0	0.076182914	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0533570588	0.0665164437	0	0.0832730522	0	0	0	0.1107460546	0.0827125704	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0533570588	0.0665164437	0	0.0832730522	0	0	0	0.1107460546	0.0827125704	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0	0	0	0	0	0	0	0	0.0827125704	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter	0	0	0	0	0	0	0	0	0.0827125704	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter xylosoxidans	0	0	0	0	0	0	0	0	0.0827125704	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.0533570588	0	0	0.0832730522	0	0	0	0.1107460546	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	0.0533570588	0	0	0.0832730522	0	0	0	0.1107460546	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp.	0.0533570588	0	0	0.0832730522	0	0	0	0.1107460546	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	0.0665164437	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae gen. incertae sedis	0	0.0665164437	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae gen. incertae sedis|s__Comamonadaceae species incertae sedis [ext_mOTU_v3_22335]	0	0.0665164437	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.1038932404	0.1471764157	0	0	0	0.110773865	0	0	0.1198271854	0.0797069578	0	0.1165280455
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis	0.1038932404	0.1471764157	0	0	0	0.110773865	0	0	0.1198271854	0.0797069578	0	0.1165280455
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis	0.1038932404	0.1471764157	0	0	0	0.110773865	0	0	0.1198271854	0.0797069578	0	0.1165280455
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis|g__Deltaproteobacteria gen. incertae sedis	0.1038932404	0.1471764157	0	0	0	0.110773865	0	0	0.1198271854	0.0797069578	0	0.1165280455
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria order incertae sedis|f__Deltaproteobacteria fam. incertae sedis|g__Deltaproteobacteria gen. incertae sedis|s__Deltaproteobacteria bacterium CG2_30_66_27	0.1038932404	0.1471764157	0	0	0	0.110773865	0	0	0.1198271854	0.0797069578	0	0.1165280455
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.1365498694	0.0392670602	0.2023285134	0	0	0.0335553621	0	0	0	0.0349739893	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.1365498694	0.0392670602	0	0	0	0.0335553621	0	0	0	0.0349739893	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.1365498694	0.0392670602	0	0	0	0.0335553621	0	0	0	0.0349739893	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.1365498694	0.0392670602	0	0	0	0.0335553621	0	0	0	0.0349739893	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli	0.1365498694	0.0392670602	0	0	0	0.0335553621	0	0	0	0.0349739893	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis	0	0	0.2023285134	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis	0	0	0.2023285134	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis	0	0	0.2023285134	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__Gammaproteobacteria species incertae sedis [ext_mOTU_v3_31608]	0	0	0.2023285134	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria class [Acidithiobacillia/Betaproteobacteria]	0.1492468394	0.0828874531	0	0	0	0	0	0	0.1156270572	0.0668154091	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria class [Acidithiobacillia/Betaproteobacteria]|o__Acidithiobacillales	0.1492468394	0.0828874531	0	0	0	0	0	0	0.1156270572	0.0668154091	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria class [Acidithiobacillia/Betaproteobacteria]|o__Acidithiobacillales|f__Acidithiobacillales fam. incertae sedis	0.1492468394	0.0828874531	0	0	0	0	0	0	0.1156270572	0.0668154091	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria class [Acidithiobacillia/Betaproteobacteria]|o__Acidithiobacillales|f__Acidithiobacillales fam. incertae sedis|g__Acidithiobacillales gen. incertae sedis	0.1492468394	0.0828874531	0	0	0	0	0	0	0.1156270572	0.0668154091	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria class [Acidithiobacillia/Betaproteobacteria]|o__Acidithiobacillales|f__Acidithiobacillales fam. incertae sedis|g__Acidithiobacillales gen. incertae sedis|s__Acidithiobacillales sp.	0.1492468394	0.0828874531	0	0	0	0	0	0	0.1156270572	0.0668154091	0	0
k__Bacteria|p__Verrucomicrobia	0	0	0	0.097116132	0.2090793265	0	0.1504384301	0.1037972825	0	0	0.1649176982	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis	0	0	0	0.097116132	0.1614701357	0	0.1504384301	0.1037972825	0	0	0.1649176982	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis|o__Verrucomicrobia order incertae sedis	0	0	0	0.097116132	0.1614701357	0	0.1504384301	0.1037972825	0	0	0.1649176982	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis|o__Verrucomicrobia order incertae sedis|f__Verrucomicrobia fam. incertae sedis	0	0	0	0.097116132	0.1614701357	0	0.1504384301	0.1037972825	0	0	0.1649176982	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis|o__Verrucomicrobia order incertae sedis|f__Verrucomicrobia fam. incertae sedis|g__Verrucomicrobia gen. incertae sedis	0	0	0	0.097116132	0.1614701357	0	0.1504384301	0.1037972825	0	0	0.1649176982	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis|o__Verrucomicrobia order incertae sedis|f__Verrucomicrobia fam. incertae sedis|g__Verrucomicrobia gen. incertae sedis|s__Verrucomicrobia species incertae sedis [ext_mOTU_v3_16089]	0	0	0	0	0.0837381512	0	0	0	0	0	0.0969844978	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia class incertae sedis|o__Verrucomicrobia order incertae sedis|f__Verrucomicrobia fam. incertae sedis|g__Verrucomicrobia gen. incertae sedis|s__Verrucomicrobia species incertae sedis [ext_mOTU_v3_19322]	0	0	0	0.097116132	0.0777319844	0	0.1504384301	0.1037972825	0	0	0.0679332004	0.1560705955
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	0	0.0476091908	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	0	0.0476091908	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis	0	0	0	0	0.0476091908	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis	0	0	0	0	0.0476091908	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiales fam. incertae sedis|g__Verrucomicrobiales gen. incertae sedis|s__Verrucomicrobiales species incertae sedis [ext_mOTU_v3_19037]	0	0	0	0	0.0476091908	0	0	0	0	0	0	0
